block	site	year	month	burn_unburnt	time_since_burn	no_samples	sequenced	lat	long
buf01	buf01u	2018	May	u	NA	5	1	-23.943611	132.786667
buf01	buf01b	2018	May	b	1	5	1	-23.943611	132.786389
buf02	buf02b	2018	May	b	2	5	1	-23.938056	132.873889
buf02	buf02u	2018	May	u	NA	5	1	-23.937778	132.874167
buf03	buf03u	2018	May	u	NA	5	1	-23.940278	132.977778
buf03	buf03b	2018	May	b	2	5	1	-23.940556	132.978056
buf04	buf04b	2018	May	b	1	5	0	-23.966667	133.060278
buf04	buf04u	2018	May	u	NA	5	0	-23.966667	133.060278
buf05	buf05u	2018	May	u	NA	5	1	-23.966389	133.153333
buf05	buf05b	2018	May	b	1	5	1	-23.965	133.153333
buf06	buf06b	2018	May	b	2	5	1	-23.9575	133.245833
buf06	buf06u	2018	May	u	NA	5	1	-23.956944	133.245556
buf07	buf07b	2018	May	b	1	5	1	-23.907778	133.330833
buf07	buf07u	2018	May	u	NA	5	1	-23.907778	133.330833
buf08	buf08u	2018	May	u	NA	5	1	-23.845833	133.453611
buf08	buf08b	2018	May	b	2	5	1	-23.846111	133.454167
buf09	buf09u	2018	May	u	NA	5	0	-23.796111	133.504444
buf09	buf09b	2018	May	b	1	5	0	-23.796111	133.504167
buf10	buf10u	2018	May	u	NA	5	1	-23.768333	133.626389
buf10	buf10b	2018	May	b	1	5	1	-23.768056	133.626111
buf11	buf11b1	2019	May	b	1	10	1	-23.916858	132.735055
buf11	buf11b2	2019	May	b	1	10	1	-23.916858	132.735055
buf11	buf11b3	2019	May	b	1	10	1	-23.916858	132.735055
