lind	locus
1	L6
2	L7
3	L8
4	L9
5	L11
6	L12
7	L17
8	L25
9	L26
10	L29
11	L31
12	L37
13	L41
14	L44
15	L47
16	L49
17	L53
18	L54
19	L55
20	L57
21	L59
22	L64
23	L72
24	L73
25	L80
26	L82
27	L83
28	L86
29	L88
30	L91
31	L92
32	L94
33	L97
34	L98
35	L99
36	L100
37	L103
38	L109
39	L111
40	L115
41	L116
42	L117
43	L118
44	L123
45	L128
46	L129
47	L130
48	L131
49	L140
50	L144
51	L151
52	L153
53	L154
54	L157
55	L159
56	L164
57	L165
58	L169
59	L171
60	L176
61	L177
62	L178
63	L183
64	L185
65	L188
66	L190
67	L193
68	L194
69	L196
70	L198
71	L199
72	L201
73	L205
74	L207
75	L209
76	L211
77	L214
78	L217
79	L219
80	L221
81	L222
82	L224
83	L226
84	L227
85	L231
86	L232
87	L233
88	L236
89	L237
90	L238
91	L240
92	L245
93	L248
94	L253
95	L254
96	L256
97	L260
98	L264
99	L265
100	L270
101	L274
102	L275
103	L276
104	L278
105	L279
106	L280
107	L282
108	L283
109	L284
110	L287
111	L288
112	L292
113	L293
114	L294
115	L298
116	L300
117	L301
118	L302
119	L304
120	L307
121	L308
122	L309
123	L310
124	L311
125	L314
126	L316
127	L318
128	L319
129	L320
130	L321
131	L322
132	L325
133	L326
134	L327
135	L328
136	L329
137	L331
138	L334
139	L336
140	L339
141	L340
142	L343
143	L350
144	L352
145	L353
146	L354
147	L356
148	L357
149	L358
150	L360
151	L363
152	L366
153	L367
154	L369
155	L372
156	L376
157	L377
158	L379
159	L382
160	L383
161	L384
162	L385
163	L389
164	L390
165	L393
166	L394
167	L395
168	L396
169	L397
170	L398
171	L399
172	L400
173	L401
174	L405
175	L407
176	L408
177	L409
178	L410
179	L412
180	L413
181	L414
182	L415
183	L416
184	L418
185	L419
186	L420
187	L421
188	L422
189	L423
190	L424
191	L425
192	L426
193	L427
194	L428
195	L430
196	L431
197	L432
198	L433
199	L434
200	L435
201	L436
202	L437
203	L438
204	L439
205	L440
206	L441
207	L442
208	L443
209	L444
210	L445
211	L447
212	L448
213	L449
214	L450
215	L451
216	L452
217	L453
218	L454
219	L457
220	L458
221	L459
222	L460
223	L461
224	L462
225	L463
226	L464
227	L465
228	L466
229	L467
230	L468
231	L469
232	L470
233	L471
234	L472
235	L473
236	L474
237	L476
238	L477
239	L478
240	L479
241	L480
242	L481
243	L482
244	L483
245	L484
246	L485
247	L486
248	L487
249	L488
250	L489
251	L490
252	L491
253	L492
254	L493
255	L494
256	L495
257	L496
258	L497
259	L498
260	L499
261	L500
262	L502
263	L503
264	L504
265	L505
266	L506
267	L507
268	L508
269	L509
270	L510
