lind	locus
1	L8
2	L9
3	L29
4	L59
5	L130
6	L153
7	L185
8	L205
9	L274
10	L287
11	L376
12	L428
13	L433
14	L447
15	L473
16	L480
17	L482
18	L490
19	L524
20	L534
21	L548
22	L551
23	L554
24	L565
25	L582
26	L592
27	L602
28	L613
29	L619
30	L624
31	L673
32	L707
33	L713
34	L715
35	L741
36	L746
37	L768
38	L782
39	L784
40	L808
41	L813
42	L815
43	L821
44	L822
45	L824
46	L871
47	L890
48	L899
49	L929
50	L936
51	L938
52	L940
53	L949
54	L950
55	L956
56	L960
57	L968
58	L982
59	L1006
60	L1008
61	L1028
62	L1044
63	L1046
64	L1050
65	L1064
66	L1071
67	L1098
68	L1130
69	L1131
70	L1138
71	L1139
72	L1150
73	L1161
74	L1185
75	L1196
76	L1205
77	L1229
78	L1242
79	L1243
80	L1253
81	L1280
82	L1281
83	L1306
84	L1316
85	L1336
86	L1347
87	L1350
88	L1352
89	L1362
90	L1370
91	L1372
92	L1373
93	L1382
94	L1385
95	L1389
96	L1396
97	L1406
98	L1413
99	L1421
100	L1471
101	L1486
102	L1499
103	L1501
104	L1504
105	L1515
106	L1522
107	L1548
108	L1550
109	L1551
110	L1575
111	L1596
112	L1601
113	L1625
114	L1628
115	L1631
116	L1633
117	L1635
118	L1640
119	L1641
120	L1650
121	L1689
122	L1704
123	L1723
124	L1727
125	L1753
126	L1783
127	L1786
128	L1787
129	L1797
130	L1801
131	L1820
132	L1838
133	L1840
134	L1854
135	L1856
136	L1863
137	L1864
138	L1885
139	L1888
140	L1895
141	L1906
142	L1910
143	L1913
144	L1919
145	L1928
146	L1930
147	L1932
148	L1944
149	L1953
150	L1966
151	L1981
152	L1996
153	L2013
154	L2014
155	L2018
156	L2020
157	L2023
158	L2084
159	L2088
160	L2096
161	L2108
162	L2117
163	L2119
164	L2126
165	L2128
166	L2132
167	L2141
168	L2184
169	L2188
170	L2199
171	L2204
172	L2205
173	L2231
174	L2232
175	L2234
176	L2254
177	L2371
178	L2377
179	L2388
180	L2391
181	L2393
182	L2405
183	L2409
184	L2419
185	L2421
186	L2447
187	L2458
188	L2481
189	L2500
190	L2507
191	L2536
192	L2548
193	L2560
194	L2569
195	L2571
196	L2580
197	L2583
198	L2617
199	L2640
200	L2650
201	L2651
202	L2696
203	L2708
204	L2762
205	L2784
206	L2797
207	L2817
208	L2824
209	L2862
210	L2873
211	L2881
212	L2919
213	L2928
214	L2930
215	L2931
216	L2938
217	L2961
218	L2973
219	L2990
220	L3003
221	L3025
222	L3030
223	L3043
224	L3047
225	L3058
226	L3060
227	L3075
228	L3100
229	L3110
230	L3119
231	L3120
232	L3131
233	L3140
234	L3145
235	L3159
236	L3175
237	L3181
238	L3187
239	L3188
240	L3223
241	L3243
242	L3251
243	L3284
244	L3300
245	L3304
246	L3317
247	L3340
248	L3352
249	L3364
250	L3390
251	L3396
252	L3417
253	L3436
254	L3466
255	L3475
256	L3491
257	L3500
258	L3505
259	L3548
260	L3581
261	L3595
262	L3599
263	L3609
264	L3617
265	L3629
266	L3646
267	L3654
268	L3666
269	L3673
270	L3679
271	L3680
272	L3744
273	L3774
274	L3779
275	L3798
276	L3808
277	L3809
278	L3811
279	L3840
280	L3851
281	L3854
282	L3864
283	L3871
284	L3872
285	L3877
286	L3907
287	L3922
288	L3923
289	L3929
290	L3948
291	L3949
292	L3961
293	L3987
294	L4025
295	L4051
296	L4066
297	L4093
298	L4095
299	L4127
300	L4130
301	L4131
302	L4149
303	L4185
304	L4192
305	L4202
306	L4218
307	L4225
308	L4238
309	L4242
310	L4260
311	L4268
312	L4283
313	L4290
314	L4303
315	L4315
316	L4329
317	L4339
318	L4346
319	L4359
320	L4373
321	L4383
322	L4398
323	L4412
324	L4440
325	L4456
326	L4475
327	L4519
328	L4521
329	L4524
330	L4595
331	L4599
332	L4604
333	L4606
334	L4610
335	L4644
336	L4653
337	L4677
338	L4687
339	L4738
340	L4742
341	L4753
342	L4765
343	L4779
344	L4785
345	L4790
346	L4796
347	L4811
348	L4818
349	L4853
350	L4865
351	L4872
352	L4883
353	L4923
354	L4946
355	L4947
356	L4953
357	L4978
358	L4983
359	L4985
360	L4998
361	L5024
362	L5035
363	L5084
364	L5086
365	L5093
366	L5104
367	L5112
368	L5113
369	L5137
370	L5160
371	L5168
372	L5194
373	L5199
374	L5225
375	L5226
376	L5227
377	L5246
378	L5249
379	L5255
380	L5276
381	L5290
382	L5340
383	L5349
384	L5358
385	L5359
386	L5362
387	L5364
388	L5374
389	L5385
390	L5395
391	L5411
392	L5429
393	L5434
394	L5448
395	L5453
396	L5465
397	L5483
398	L5484
399	L5498
400	L5513
401	L5515
402	L5518
403	L5520
404	L5528
405	L5546
406	L5567
407	L5571
408	L5577
409	L5606
410	L5614
411	L5632
412	L5644
413	L5646
414	L5657
415	L5664
416	L5667
417	L5695
418	L5711
419	L5735
420	L5741
421	L5784
422	L5809
423	L5817
424	L5890
425	L5896
426	L5913
427	L5961
428	L5977
429	L5978
430	L5980
431	L5987
432	L5999
433	L6010
434	L6021
435	L6030
436	L6086
437	L6105
438	L6112
439	L6128
440	L6136
441	L6157
442	L6158
443	L6159
444	L6177
445	L6182
446	L6196
447	L6207
448	L6228
449	L6246
450	L6268
451	L6275
452	L6283
453	L6317
454	L6324
455	L6325
456	L6328
457	L6336
458	L6350
459	L6355
460	L6360
461	L6364
462	L6386
463	L6392
464	L6409
465	L6410
466	L6414
467	L6416
468	L6420
469	L6441
470	L6442
471	L6449
472	L6452
473	L6457
474	L6461
475	L6463
476	L6482
477	L6506
478	L6508
479	L6531
480	L6532
481	L6546
482	L6572
483	L6589
484	L6600
485	L6611
486	L6617
487	L6618
488	L6624
489	L6628
490	L6663
491	L6664
492	L6665
493	L6666
494	L6732
495	L6749
496	L6781
497	L6786
498	L6793
499	L6800
500	L6804
501	L6807
502	L6811
503	L6853
504	L6866
505	L6903
506	L6905
507	L6918
508	L6923
509	L6937
510	L6968
511	L6970
512	L6977
513	L6989
514	L6996
515	L7013
516	L7018
517	L7031
518	L7033
519	L7039
520	L7040
521	L7050
522	L7053
523	L7066
524	L7083
525	L7097
526	L7121
527	L7143
528	L7150
529	L7158
530	L7168
531	L7178
532	L7183
533	L7198
534	L7264
535	L7313
536	L7332
537	L7349
538	L7353
539	L7372
540	L7414
541	L7415
542	L7423
543	L7450
544	L7495
545	L7502
546	L7507
547	L7522
548	L7584
549	L7597
550	L7616
551	L7661
552	L7674
553	L7679
554	L7681
555	L7692
556	L7704
557	L7714
558	L7743
559	L7752
560	L7756
561	L7765
562	L7774
563	L7791
564	L7798
565	L7818
566	L7830
567	L7833
568	L7849
569	L7853
570	L7858
571	L7872
572	L7874
573	L7876
574	L7878
575	L7882
576	L7888
577	L7924
578	L7934
579	L7951
580	L7992
581	L7994
582	L8000
583	L8021
584	L8037
585	L8038
586	L8045
587	L8055
588	L8086
589	L8093
590	L8126
591	L8144
592	L8151
593	L8154
594	L8195
595	L8203
596	L8215
597	L8224
598	L8229
599	L8264
600	L8377
601	L8411
602	L8432
603	L8453
604	L8471
605	L8478
606	L8483
607	L8484
608	L8508
609	L8511
610	L8560
611	L8565
612	L8577
613	L8592
614	L8620
615	L8643
616	L8645
617	L8650
618	L8658
619	L8672
620	L8676
621	L8677
622	L8686
623	L8692
624	L8693
625	L8694
626	L8718
627	L8740
628	L8753
629	L8766
630	L8776
631	L8788
632	L8795
633	L8801
634	L8803
635	L8813
636	L8817
637	L8829
638	L8834
639	L8844
640	L8865
641	L8867
642	L8872
643	L8886
644	L8891
645	L8892
646	L8895
647	L8901
648	L8906
649	L8907
650	L8909
651	L8928
652	L8929
653	L8933
654	L8951
655	L8953
656	L8964
657	L9010
658	L9014
659	L9018
660	L9020
661	L9028
662	L9042
663	L9059
664	L9075
665	L9083
666	L9094
667	L9104
668	L9110
669	L9115
670	L9117
671	L9156
672	L9160
673	L9178
674	L9179
675	L9182
676	L9183
677	L9225
678	L9228
679	L9251
680	L9266
681	L9283
682	L9321
683	L9339
684	L9344
685	L9348
686	L9350
687	L9356
688	L9364
689	L9374
690	L9378
691	L9402
692	L9404
693	L9421
694	L9426
695	L9437
696	L9444
697	L9446
698	L9449
699	L9456
700	L9465
701	L9474
702	L9485
703	L9490
704	L9516
705	L9520
706	L9549
707	L9550
708	L9562
709	L9573
710	L9589
711	L9623
712	L9660
713	L9669
714	L9679
715	L9716
716	L9718
717	L9733
718	L9735
719	L9740
720	L9749
721	L9763
722	L9767
723	L9772
724	L9775
725	L9808
726	L9815
727	L9846
728	L9859
729	L9894
730	L9902
731	L9915
732	L9918
733	L9923
734	L9940
735	L9945
736	L9951
737	L9973
738	L9978
739	L9985
740	L9998
741	L10001
742	L10007
743	L10016
744	L10028
745	L10039
746	L10057
747	L10076
748	L10084
749	L10086
750	L10141
751	L10154
752	L10171
753	L10176
754	L10181
755	L10209
756	L10211
757	L10216
758	L10245
759	L10261
760	L10284
761	L10288
762	L10296
763	L10315
764	L10332
765	L10388
766	L10394
767	L10436
768	L10471
769	L10691
770	L10733
771	L10824
772	L10977
773	L11204
774	L11221
775	L11304
776	L11366
777	L11404
778	L11424
779	L11484
780	L11558
781	L11604
782	L11620
783	L11622
784	L11625
785	L11628
786	L11638
787	L11646
788	L11659
789	L11662
790	L11673
791	L11682
792	L11685
793	L11687
794	L11765
795	L11766
796	L11821
797	L11846
798	L11877
799	L11916
800	L11919
801	L11953
802	L11956
803	L11963
804	L11979
805	L11988
806	L11992
807	L11993
808	L12005
809	L12019
810	L12029
811	L12033
812	L12102
813	L12104
814	L12123
815	L12151
816	L12156
817	L12161
818	L12163
819	L12178
820	L12192
821	L12200
822	L12251
823	L12266
824	L12275
825	L12278
826	L12279
827	L12284
828	L12347
829	L12352
830	L12356
831	L12371
832	L12380
833	L12386
834	L12411
835	L12412
836	L12422
837	L12425
838	L12429
839	L12464
840	L12477
841	L12484
842	L12495
843	L12497
844	L12503
845	L12524
846	L12531
847	L12551
848	L12564
849	L12575
850	L12578
851	L12591
852	L12624
853	L12640
854	L12649
855	L12650
856	L12679
857	L12691
858	L12706
859	L12711
860	L12751
861	L12773
862	L12797
863	L12840
864	L12843
865	L12891
866	L12901
867	L12904
868	L12937
869	L12942
870	L12949
871	L12954
872	L12965
873	L12982
874	L12995
875	L13029
876	L13035
877	L13037
878	L13052
879	L13054
880	L13060
881	L13064
882	L13069
883	L13084
884	L13107
885	L13123
886	L13125
887	L13146
888	L13164
889	L13176
890	L13190
891	L13202
892	L13216
893	L13241
894	L13265
895	L13275
896	L13286
897	L13289
898	L13297
899	L13299
900	L13321
901	L13325
902	L13328
903	L13347
904	L13360
905	L13368
906	L13407
907	L13449
908	L13457
909	L13502
910	L13505
911	L13564
912	L13570
913	L13601
914	L13632
915	L13639
916	L13640
917	L13648
918	L13654
919	L13660
920	L13661
921	L13740
922	L13762
923	L13765
924	L13786
925	L13807
926	L13810
927	L13817
928	L13819
929	L13841
930	L13849
931	L13850
932	L13861
933	L13865
934	L13867
935	L13869
936	L13921
937	L13945
938	L13966
939	L13993
940	L14002
941	L14007
942	L14013
943	L14025
944	L14034
945	L14042
946	L14056
947	L14060
948	L14069
949	L14075
950	L14101
951	L14119
952	L14121
953	L14123
954	L14129
955	L14137
956	L14162
957	L14166
958	L14180
959	L14190
960	L14223
961	L14231
962	L14235
963	L14254
964	L14255
965	L14261
966	L14319
967	L14320
968	L14321
969	L14323
970	L14336
971	L14343
972	L14350
973	L14382
974	L14388
975	L14391
976	L14403
977	L14456
978	L14460
979	L14471
980	L14482
981	L14486
982	L14489
983	L14498
984	L14499
985	L14509
986	L14511
987	L14516
988	L14518
989	L14541
990	L14546
991	L14561
992	L14568
993	L14570
994	L14572
995	L14578
996	L14587
997	L14595
998	L14603
999	L14615
1000	L14618
1001	L14624
1002	L14626
1003	L14635
1004	L14636
1005	L14682
1006	L14719
1007	L14722
1008	L14733
1009	L14752
1010	L14757
1011	L14785
1012	L14823
1013	L14883
1014	L14910
1015	L14915
1016	L14923
1017	L14939
1018	L14949
1019	L14952
1020	L14955
1021	L14961
1022	L14967
1023	L14993
1024	L15002
1025	L15009
1026	L15029
1027	L15047
1028	L15060
1029	L15097
1030	L15114
1031	L15123
1032	L15125
1033	L15138
1034	L15152
1035	L15168
1036	L15201
1037	L15202
1038	L15205
1039	L15227
1040	L15237
1041	L15280
1042	L15290
1043	L15291
1044	L15313
1045	L15374
1046	L15394
1047	L15429
1048	L15491
1049	L15515
1050	L15547
1051	L15553
1052	L15562
1053	L15595
1054	L15612
1055	L15618
1056	L15621
1057	L15622
1058	L15654
1059	L15655
1060	L15664
1061	L15668
1062	L15683
1063	L15700
1064	L15724
1065	L15768
1066	L15784
1067	L15807
1068	L15808
1069	L15819
1070	L15831
1071	L15832
1072	L15855
1073	L15859
1074	L15903
1075	L15908
1076	L15914
1077	L15940
1078	L15951
1079	L15955
1080	L16047
1081	L16052
1082	L16056
1083	L16108
1084	L16126
1085	L16152
1086	L16161
1087	L16162
1088	L16167
1089	L16168
1090	L16184
1091	L16233
1092	L16299
1093	L16346
1094	L16439
1095	L16481
1096	L16489
1097	L16530
1098	L16572
1099	L16604
1100	L16660
1101	L16664
1102	L16672
1103	L16684
1104	L16724
1105	L16754
1106	L16822
1107	L16849
1108	L16850
1109	L16882
1110	L16883
1111	L16909
1112	L16919
1113	L16938
1114	L16953
1115	L16974
1116	L17038
1117	L17046
1118	L17053
1119	L17125
1120	L17132
1121	L17151
1122	L17165
1123	L17178
1124	L17233
1125	L17240
1126	L17246
1127	L17254
1128	L17261
1129	L17264
1130	L17277
1131	L17348
1132	L17357
1133	L17366
1134	L17383
1135	L17384
1136	L17386
1137	L17388
1138	L17403
1139	L17407
1140	L17422
1141	L17438
1142	L17439
1143	L17446
1144	L17448
1145	L17454
1146	L17459
1147	L17472
1148	L17480
1149	L17496
1150	L17504
1151	L17510
1152	L17517
1153	L17527
1154	L17540
1155	L17552
1156	L17595
1157	L17616
1158	L17620
1159	L17622
1160	L17634
1161	L17643
1162	L17649
1163	L17663
1164	L17669
1165	L17681
1166	L17692
1167	L17702
1168	L17724
1169	L17734
1170	L17751
1171	L17758
1172	L17809
1173	L17812
1174	L17817
1175	L17846
1176	L17852
1177	L17868
1178	L17870
1179	L17874
1180	L17876
1181	L17904
1182	L17906
1183	L17922
1184	L17932
1185	L17934
1186	L17936
1187	L17940
1188	L17965
1189	L17966
1190	L17980
1191	L17984
1192	L18014
1193	L18017
1194	L18061
1195	L18064
1196	L18073
1197	L18078
1198	L18089
1199	L18091
1200	L18096
1201	L18106
1202	L18109
1203	L18113
1204	L18122
1205	L18164
1206	L18169
1207	L18202
1208	L18230
1209	L18245
1210	L18257
1211	L18272
1212	L18311
1213	L18355
1214	L18370
1215	L18385
1216	L18395
1217	L18399
1218	L18414
1219	L18424
1220	L18425
1221	L18431
1222	L18443
1223	L18464
1224	L18475
1225	L18511
1226	L18512
1227	L18519
1228	L18523
1229	L18527
1230	L18537
1231	L18560
1232	L18583
1233	L18594
1234	L18602
1235	L18609
1236	L18625
1237	L18628
1238	L18629
1239	L18635
1240	L18662
1241	L18666
1242	L18668
1243	L18676
1244	L18679
1245	L18706
1246	L18718
1247	L18746
1248	L18747
1249	L18757
1250	L18771
1251	L18777
1252	L18792
1253	L18795
1254	L18798
1255	L18821
1256	L18826
1257	L18874
1258	L18882
1259	L18899
1260	L18905
1261	L18915
1262	L18920
1263	L18922
1264	L18944
1265	L18991
1266	L19000
1267	L19002
1268	L19011
1269	L19033
1270	L19102
1271	L19103
1272	L19106
1273	L19125
1274	L19140
1275	L19156
1276	L19159
1277	L19182
1278	L19184
1279	L19194
1280	L19205
1281	L19212
1282	L19213
1283	L19239
1284	L19243
1285	L19256
1286	L19257
1287	L19284
1288	L19339
1289	L19340
1290	L19344
1291	L19384
1292	L19385
1293	L19404
1294	L19409
1295	L19414
1296	L19415
1297	L19421
1298	L19444
1299	L19451
1300	L19452
1301	L19471
1302	L19472
1303	L19490
1304	L19507
1305	L19533
1306	L19552
1307	L19554
1308	L19564
1309	L19575
1310	L19579
1311	L19581
1312	L19588
1313	L19591
1314	L19606
1315	L19638
1316	L19651
1317	L19655
1318	L19660
1319	L19665
1320	L19669
1321	L19675
1322	L19779
1323	L19799
1324	L19812
1325	L19835
1326	L19859
1327	L19881
1328	L19883
1329	L19903
1330	L19934
1331	L19938
1332	L19939
1333	L19949
1334	L19951
1335	L19952
1336	L19953
1337	L19967
1338	L19984
1339	L20004
1340	L20011
1341	L20012
1342	L20040
1343	L20062
1344	L20065
1345	L20095
1346	L20104
1347	L20107
1348	L20127
1349	L20158
1350	L20160
1351	L20165
1352	L20171
1353	L20175
1354	L20178
1355	L20189
1356	L20236
1357	L20257
1358	L20278
1359	L20290
1360	L20318
1361	L20320
1362	L20322
1363	L20324
1364	L20334
1365	L20352
1366	L20405
1367	L20417
1368	L20444
1369	L20474
1370	L20485
1371	L20497
1372	L20525
1373	L20538
1374	L20547
1375	L20557
1376	L20574
1377	L20583
1378	L20594
1379	L20598
1380	L20605
1381	L20607
1382	L20614
1383	L20626
1384	L20635
1385	L20656
1386	L20657
1387	L20678
1388	L20681
1389	L20686
1390	L20687
1391	L20719
1392	L20825
1393	L20835
1394	L20842
1395	L20845
1396	L20851
1397	L20862
1398	L20869
1399	L20878
1400	L20885
1401	L20887
1402	L20901
1403	L20915
1404	L20917
1405	L20934
1406	L20939
1407	L20946
1408	L20948
1409	L20953
1410	L20956
1411	L20969
1412	L21012
1413	L21027
1414	L21031
1415	L21045
1416	L21056
1417	L21081
1418	L21083
1419	L21085
1420	L21087
1421	L21099
1422	L21128
1423	L21139
1424	L21163
1425	L21173
1426	L21180
1427	L21186
1428	L21188
1429	L21205
1430	L21222
1431	L21234
1432	L21243
1433	L21247
1434	L21262
1435	L21266
1436	L21267
1437	L21283
1438	L21293
1439	L21302
1440	L21352
1441	L21365
1442	L21371
1443	L21382
1444	L21395
1445	L21402
1446	L21404
1447	L21406
1448	L21410
1449	L21424
1450	L21444
1451	L21449
1452	L21459
1453	L21468
1454	L21498
1455	L21515
1456	L21520
1457	L21542
1458	L21557
1459	L21579
1460	L21584
1461	L21605
1462	L21608
1463	L21618
1464	L21620
1465	L21624
1466	L21655
1467	L21659
1468	L21677
1469	L21684
1470	L21698
1471	L21716
1472	L21717
1473	L21741
1474	L21751
1475	L21758
1476	L21768
1477	L21772
1478	L21781
1479	L21790
1480	L21794
1481	L21799
1482	L21832
1483	L21843
1484	L21855
1485	L21890
1486	L21892
1487	L21908
1488	L21926
1489	L21973
1490	L21974
1491	L21978
1492	L21997
1493	L22007
1494	L22072
1495	L22081
1496	L22096
1497	L22114
1498	L22123
1499	L22126
1500	L22128
1501	L22132
1502	L22148
1503	L22150
1504	L22156
1505	L22162
1506	L22167
1507	L22168
1508	L22180
1509	L22185
1510	L22196
1511	L22208
1512	L22225
1513	L22256
1514	L22307
1515	L22346
1516	L22350
1517	L22353
1518	L22360
1519	L22386
1520	L22390
1521	L22413
1522	L22419
1523	L22428
1524	L22435
1525	L22471
1526	L22500
1527	L22504
1528	L22506
1529	L22536
1530	L22549
1531	L22589
1532	L22590
1533	L22592
1534	L22625
1535	L22640
1536	L22650
1537	L22665
1538	L22677
1539	L22684
1540	L22719
1541	L22728
1542	L22745
1543	L22771
1544	L22791
1545	L22794
1546	L22795
1547	L22832
1548	L22834
1549	L22849
1550	L22865
1551	L22883
1552	L22884
1553	L22910
1554	L22914
1555	L22937
1556	L22949
1557	L22959
1558	L22964
1559	L22974
1560	L22983
1561	L22986
1562	L23003
1563	L23021
1564	L23050
1565	L23053
1566	L23063
1567	L23069
1568	L23075
1569	L23086
1570	L23089
1571	L23100
1572	L23104
1573	L23107
1574	L23116
1575	L23165
1576	L23178
1577	L23184
1578	L23191
1579	L23204
1580	L23210
1581	L23211
1582	L23242
1583	L23244
1584	L23275
1585	L23276
1586	L23290
1587	L23315
1588	L23329
1589	L23333
1590	L23334
1591	L23337
1592	L23350
1593	L23375
1594	L23392
1595	L23416
1596	L23435
1597	L23446
1598	L23452
1599	L23486
1600	L23491
1601	L23532
1602	L23562
1603	L23570
1604	L23586
1605	L23594
1606	L23599
1607	L23601
1608	L23604
1609	L23609
1610	L23623
1611	L23640
1612	L23647
1613	L23659
1614	L23675
1615	L23679
1616	L23686
1617	L23697
1618	L23713
1619	L23725
1620	L23735
1621	L23756
1622	L23758
1623	L23774
1624	L23803
1625	L23805
1626	L23811
1627	L23830
1628	L23833
1629	L23859
1630	L23871
1631	L23873
1632	L23898
1633	L23903
1634	L23906
1635	L23910
1636	L23923
1637	L23950
1638	L23951
1639	L23955
1640	L23962
1641	L23964
1642	L24000
1643	L24003
1644	L24022
1645	L24037
1646	L24059
1647	L24062
1648	L24076
1649	L24085
1650	L24102
1651	L24163
1652	L24165
1653	L24166
1654	L24179
1655	L24199
1656	L24201
1657	L24212
1658	L24215
1659	L24222
1660	L24248
1661	L24256
1662	L24257
1663	L24261
1664	L24263
1665	L24270
1666	L24285
1667	L24319
1668	L24326
1669	L24330
1670	L24337
1671	L24342
1672	L24359
1673	L24361
1674	L24388
1675	L24422
1676	L24426
1677	L24431
1678	L24434
1679	L24440
1680	L24467
1681	L24482
1682	L24488
1683	L24496
1684	L24500
1685	L24501
1686	L24518
1687	L24533
1688	L24537
1689	L24543
1690	L24553
1691	L24556
1692	L24568
1693	L24571
1694	L24576
1695	L24638
1696	L24649
1697	L24687
1698	L24715
1699	L24721
1700	L24723
1701	L24726
1702	L24732
1703	L24736
1704	L24746
1705	L24754
1706	L24777
1707	L24782
1708	L24794
1709	L24805
1710	L24827
1711	L24829
1712	L24835
1713	L24836
1714	L24861
1715	L24889
1716	L24900
1717	L24903
1718	L24917
1719	L24932
1720	L24976
1721	L25003
1722	L25013
1723	L25019
1724	L25040
1725	L25041
1726	L25054
1727	L25067
1728	L25087
1729	L25099
1730	L25104
1731	L25105
1732	L25117
1733	L25118
1734	L25130
1735	L25131
1736	L25140
1737	L25152
1738	L25157
1739	L25175
1740	L25177
1741	L25190
1742	L25248
1743	L25279
1744	L25294
1745	L25299
1746	L25302
1747	L25328
1748	L25332
1749	L25334
1750	L25344
1751	L25347
1752	L25349
1753	L25352
1754	L25355
1755	L25358
1756	L25380
1757	L25391
1758	L25402
1759	L25415
1760	L25451
1761	L25457
1762	L25459
1763	L25472
1764	L25482
1765	L25496
1766	L25501
1767	L25512
1768	L25532
1769	L25591
1770	L25599
1771	L25602
1772	L25616
1773	L25621
1774	L25623
1775	L25637
1776	L25642
1777	L25649
1778	L25667
1779	L25680
1780	L25705
1781	L25729
1782	L25739
1783	L25743
1784	L25775
1785	L25784
1786	L25797
1787	L25809
1788	L25820
1789	L25821
1790	L25823
1791	L25830
1792	L25846
1793	L25851
1794	L25877
1795	L25887
1796	L25900
1797	L25908
1798	L25915
1799	L25933
1800	L25942
1801	L25947
1802	L25950
1803	L25953
1804	L25958
1805	L25960
1806	L25969
1807	L25990
1808	L25993
1809	L25998
1810	L26009
1811	L26014
1812	L26019
1813	L26060
1814	L26086
1815	L26091
1816	L26106
1817	L26167
1818	L26168
1819	L26198
1820	L26209
1821	L26216
1822	L26233
1823	L26243
1824	L26247
1825	L26250
1826	L26251
1827	L26257
1828	L26278
1829	L26282
1830	L26315
1831	L26325
1832	L26338
1833	L26353
1834	L26383
1835	L26391
1836	L26398
1837	L26410
1838	L26415
1839	L26419
1840	L26430
1841	L26434
1842	L26455
1843	L26462
1844	L26465
1845	L26479
1846	L26491
1847	L26493
1848	L26499
1849	L26503
1850	L26509
1851	L26511
1852	L26515
1853	L26599
1854	L26600
1855	L26604
1856	L26632
1857	L26643
1858	L26646
1859	L26657
1860	L26662
1861	L26687
1862	L26709
1863	L26719
1864	L26758
1865	L26767
1866	L26776
1867	L26783
1868	L26797
1869	L26805
1870	L26807
1871	L26827
1872	L26840
1873	L26859
1874	L26872
1875	L26876
1876	L26878
1877	L26879
1878	L26901
1879	L26906
1880	L26924
1881	L26950
1882	L26955
1883	L26998
1884	L27003
1885	L27020
1886	L27033
1887	L27058
1888	L27072
1889	L27079
1890	L27080
1891	L27092
1892	L27117
1893	L27156
1894	L27181
1895	L27206
1896	L27214
1897	L27225
1898	L27245
1899	L27287
1900	L27295
1901	L27335
1902	L27340
1903	L27359
1904	L27365
1905	L27388
1906	L27397
1907	L27426
1908	L27440
1909	L27450
1910	L27499
1911	L27544
1912	L27553
1913	L27559
1914	L27562
1915	L27570
1916	L27573
1917	L27581
1918	L27609
1919	L27614
1920	L27625
1921	L27626
1922	L27645
1923	L27656
1924	L27673
1925	L27687
1926	L27698
1927	L27701
1928	L27712
1929	L27722
1930	L27728
1931	L27751
1932	L27775
1933	L27779
1934	L27781
1935	L27786
1936	L27812
1937	L27814
1938	L27836
1939	L27841
1940	L27865
1941	L27868
1942	L27880
1943	L27907
1944	L27913
1945	L27920
1946	L27927
1947	L27928
1948	L27932
1949	L27934
