lind	locus
1	L64
2	L165
3	L169
4	L194
5	L198
6	L276
7	L319
8	L322
9	L363
10	L366
11	L367
12	L394
13	L400
14	L422
15	L516
16	L569
17	L594
18	L598
19	L600
20	L604
21	L606
22	L617
23	L623
24	L628
25	L630
26	L635
27	L641
28	L643
29	L666
30	L675
31	L678
32	L679
33	L681
34	L684
35	L709
36	L729
37	L754
38	L759
39	L770
40	L778
41	L799
42	L817
43	L835
44	L848
45	L883
46	L885
47	L897
48	L900
49	L912
50	L919
51	L927
52	L933
53	L966
54	L972
55	L981
56	L984
57	L1002
58	L1018
59	L1032
60	L1054
61	L1057
62	L1067
63	L1085
64	L1088
65	L1090
66	L1101
67	L1114
68	L1122
69	L1140
70	L1143
71	L1147
72	L1156
73	L1183
74	L1186
75	L1189
76	L1191
77	L1192
78	L1197
79	L1211
80	L1219
81	L1234
82	L1236
83	L1244
84	L1245
85	L1264
86	L1268
87	L1270
88	L1287
89	L1303
90	L1313
91	L1317
92	L1318
93	L1346
94	L1353
95	L1366
96	L1376
97	L1387
98	L1397
99	L1411
100	L1429
101	L1500
102	L1517
103	L1562
104	L1569
105	L1591
106	L1598
107	L1634
108	L1644
109	L1646
110	L1653
111	L1654
112	L1655
113	L1657
114	L1659
115	L1675
116	L1676
117	L1690
118	L1698
119	L1716
120	L1718
121	L1737
122	L1749
123	L1755
124	L1792
125	L1796
126	L1807
127	L1830
128	L1841
129	L1860
130	L1868
131	L1880
132	L1883
133	L1889
134	L1891
135	L1893
136	L1897
137	L1899
138	L1909
139	L1915
140	L1917
141	L1922
142	L1923
143	L1955
144	L1960
145	L1979
146	L1987
147	L1997
148	L1999
149	L2025
150	L2027
151	L2066
152	L2101
153	L2107
154	L2112
155	L2124
156	L2136
157	L2143
158	L2190
159	L2192
160	L2194
161	L2200
162	L2212
163	L2216
164	L2223
165	L2255
166	L2266
167	L2269
168	L2273
169	L2285
170	L2291
171	L2294
172	L2329
173	L2364
174	L2378
175	L2380
176	L2386
177	L2387
178	L2392
179	L2434
180	L2448
181	L2455
182	L2460
183	L2480
184	L2486
185	L2511
186	L2518
187	L2526
188	L2554
189	L2558
190	L2559
191	L2577
192	L2581
193	L2592
194	L2595
195	L2597
196	L2599
197	L2604
198	L2611
199	L2626
200	L2630
201	L2632
202	L2636
203	L2646
204	L2652
205	L2653
206	L2654
207	L2655
208	L2659
209	L2660
210	L2661
211	L2664
212	L2673
213	L2700
214	L2709
215	L2715
216	L2721
217	L2765
218	L2772
219	L2776
220	L2779
221	L2791
222	L2805
223	L2815
224	L2826
225	L2831
226	L2839
227	L2841
228	L2847
229	L2857
230	L2866
231	L2880
232	L2900
233	L2910
234	L2937
235	L2940
236	L2959
237	L2974
238	L2977
239	L3023
240	L3031
241	L3033
242	L3050
243	L3053
244	L3078
245	L3090
246	L3096
247	L3113
248	L3151
249	L3156
250	L3166
251	L3180
252	L3182
253	L3186
254	L3192
255	L3194
256	L3209
257	L3231
258	L3252
259	L3263
260	L3268
261	L3321
262	L3336
263	L3338
264	L3380
265	L3437
266	L3453
267	L3460
268	L3463
269	L3479
270	L3485
271	L3486
272	L3488
273	L3490
274	L3512
275	L3546
276	L3550
277	L3554
278	L3558
279	L3563
280	L3564
281	L3565
282	L3585
283	L3605
284	L3615
285	L3623
286	L3642
287	L3647
288	L3652
289	L3656
290	L3660
291	L3670
292	L3681
293	L3683
294	L3685
295	L3687
296	L3726
297	L3753
298	L3762
299	L3763
300	L3796
301	L3824
302	L3827
303	L3831
304	L3861
305	L3869
306	L3880
307	L3892
308	L3894
309	L3901
310	L3905
311	L3910
312	L3911
313	L3920
314	L3937
315	L3938
316	L3941
317	L3944
318	L3946
319	L3958
320	L3993
321	L3996
322	L4012
323	L4027
324	L4028
325	L4036
326	L4148
327	L4177
328	L4191
329	L4207
330	L4210
331	L4219
332	L4226
333	L4243
334	L4246
335	L4248
336	L4256
337	L4258
338	L4274
339	L4276
340	L4285
341	L4304
342	L4307
343	L4327
344	L4330
345	L4341
346	L4363
347	L4397
348	L4404
349	L4410
350	L4438
351	L4453
352	L4461
353	L4485
354	L4501
355	L4504
356	L4522
357	L4532
358	L4535
359	L4543
360	L4560
361	L4569
362	L4577
363	L4579
364	L4581
365	L4590
366	L4601
367	L4613
368	L4617
369	L4625
370	L4637
371	L4640
372	L4658
373	L4660
374	L4685
375	L4720
376	L4727
377	L4734
378	L4757
379	L4764
380	L4784
381	L4802
382	L4813
383	L4829
384	L4835
385	L4849
386	L4855
387	L4867
388	L4894
389	L4905
390	L4921
391	L4929
392	L4939
393	L4957
394	L4965
395	L4966
396	L4977
397	L4993
398	L5007
399	L5010
400	L5022
401	L5040
402	L5047
403	L5057
404	L5065
405	L5116
406	L5119
407	L5124
408	L5126
409	L5144
410	L5151
411	L5166
412	L5173
413	L5176
414	L5192
415	L5244
416	L5247
417	L5281
418	L5296
419	L5300
420	L5304
421	L5305
422	L5309
423	L5367
424	L5371
425	L5382
426	L5403
427	L5447
428	L5474
429	L5475
430	L5487
431	L5491
432	L5492
433	L5505
434	L5511
435	L5525
436	L5538
437	L5541
438	L5562
439	L5578
440	L5586
441	L5589
442	L5597
443	L5600
444	L5604
445	L5615
446	L5618
447	L5650
448	L5654
449	L5680
450	L5685
451	L5693
452	L5698
453	L5702
454	L5704
455	L5709
456	L5713
457	L5728
458	L5737
459	L5756
460	L5786
461	L5792
462	L5811
463	L5834
464	L5876
465	L5881
466	L5884
467	L5895
468	L5904
469	L5954
470	L5972
471	L5985
472	L5990
473	L6014
474	L6033
475	L6045
476	L6051
477	L6067
478	L6070
479	L6079
480	L6107
481	L6114
482	L6132
483	L6143
484	L6146
485	L6148
486	L6151
487	L6155
488	L6166
489	L6178
490	L6184
491	L6187
492	L6199
493	L6222
494	L6233
495	L6250
496	L6251
497	L6343
498	L6345
499	L6385
500	L6388
501	L6396
502	L6399
503	L6425
504	L6431
505	L6455
506	L6468
507	L6470
508	L6475
509	L6497
510	L6504
511	L6524
512	L6529
513	L6536
514	L6537
515	L6550
516	L6575
517	L6581
518	L6606
519	L6609
520	L6684
521	L6685
522	L6692
523	L6694
524	L6710
525	L6713
526	L6717
527	L6726
528	L6736
529	L6737
530	L6747
531	L6752
532	L6755
533	L6764
534	L6774
535	L6775
536	L6795
537	L6809
538	L6816
539	L6830
540	L6831
