site	indiv	block	year	burn_unburnt	time_since_burn	no_samples	lat	long	K3	K4
11b1	X11b1_01	buf11	2019	b	1	10	-23.916858	132.735055	2	1
11b1	X11b1_02	buf11	2019	b	1	10	-23.916858	132.735055	2	1
11b1	X11b1_03	buf11	2019	b	1	10	-23.916858	132.735055	2	1
11b1	X11b1_04	buf11	2019	b	1	10	-23.916858	132.735055	2	1
11b1	X11b1_05	buf11	2019	b	1	10	-23.916858	132.735055	3	3
11b2	X11b2_01	buf11	2019	b	1	10	-23.916858	132.735055	2	1
11b2	X11b2_02	buf11	2019	b	1	10	-23.916858	132.735055	3	3
11b2	X11b2_03	buf11	2019	b	1	10	-23.916858	132.735055	3	3
11b2	X11b2_04	buf11	2019	b	1	10	-23.916858	132.735055	2	1
11b2	X11b2_05	buf11	2019	b	1	10	-23.916858	132.735055	2	1
11b3	X11b3_01	buf11	2019	b	1	10	-23.916858	132.735055	3	3
11b3	X11b3_02	buf11	2019	b	1	10	-23.916858	132.735055	2	1
11b3	X11b3_03	buf11	2019	b	1	10	-23.916858	132.735055	2	1
11b3	X11b3_04	buf11	2019	b	1	10	-23.916858	132.735055	3	3
11b3	X11b3_05	buf11	2019	b	1	10	-23.916858	132.735055	2	1
01b	X01b_01	buf01	2018	b	1	5	-23.943611	132.786389	3	3
01b	X01b_02	buf01	2018	b	1	5	-23.943611	132.786389	3	3
01b	X01b_03	buf01	2018	b	1	5	-23.943611	132.786389	3	3
01b	X01b_04	buf01	2018	b	1	5	-23.943611	132.786389	3	3
01u	X01u_01	buf01	2018	u	NA	5	-23.943611	132.786667	1	2
01u	X01u_02	buf01	2018	u	NA	5	-23.943611	132.786667	3	3
01u	X01u_03	buf01	2018	u	NA	5	-23.943611	132.786667	3	3
01u	X01u_04	buf01	2018	u	NA	5	-23.943611	132.786667	3	3
01u	X01u_05	buf01	2018	u	NA	5	-23.943611	132.786667	3	3
02b	X02b_01	buf02	2018	b	2	5	-23.938056	132.873889	3	3
02b	X02b_02	buf02	2018	b	2	5	-23.938056	132.873889	3	3
02b	X02b_03	buf02	2018	b	2	5	-23.938056	132.873889	3	3
02b	X02b_04	buf02	2018	b	2	5	-23.938056	132.873889	3	3
02b	X02b_05	buf02	2018	b	2	5	-23.938056	132.873889	3	3
02u	X02u_01	buf02	2018	u	NA	5	-23.937778	132.874167	3	3
02u	X02u_02	buf02	2018	u	NA	5	-23.937778	132.874167	3	3
02u	X02u_03	buf02	2018	u	NA	5	-23.937778	132.874167	3	3
02u	X02u_04	buf02	2018	u	NA	5	-23.937778	132.874167	3	3
02u	X02u_05	buf02	2018	u	NA	5	-23.937778	132.874167	3	3
03b	X03b_01	buf03	2018	b	2	5	-23.940556	132.978056	2	1
03b	X03b_02	buf03	2018	b	2	5	-23.940556	132.978056	2	1
03b	X03b_03	buf03	2018	b	2	5	-23.940556	132.978056	2	1
03b	X03b_04	buf03	2018	b	2	5	-23.940556	132.978056	2	1
03b	X03b_05	buf03	2018	b	2	5	-23.940556	132.978056	3	3
03u	X03u_01	buf03	2018	u	NA	5	-23.940278	132.977778	2	1
03u	X03u_02	buf03	2018	u	NA	5	-23.940278	132.977778	2	1
03u	X03u_03	buf03	2018	u	NA	5	-23.940278	132.977778	2	1
03u	X03u_04	buf03	2018	u	NA	5	-23.940278	132.977778	2	1
03u	X03u_05	buf03	2018	u	NA	5	-23.940278	132.977778	2	1
05b	X05b_01	buf05	2018	b	1	5	-23.965	133.153333	2	1
