site	indiv	assig1	assig2	assig3
X01b	X01b_01	0.999977	1.1e-05	1.1e-05
X01b	X01b_02	0.999977	1.2e-05	1.2e-05
X01b	X01b_03	0.999977	1.1e-05	1.1e-05
X01b	X01b_04	0.999977	1.2e-05	1.2e-05
X01u	X01u_01	1.6e-05	0.999968	1.6e-05
X01u	X01u_02	0.999974	1.3e-05	1.3e-05
X01u	X01u_03	0.999977	1.1e-05	1.1e-05
X01u	X01u_04	0.999974	1.3e-05	1.3e-05
X01u	X01u_05	0.999976	1.2e-05	1.2e-05
X02b	X02b_01	0.999977	1.1e-05	1.1e-05
X02b	X02b_02	0.999977	1.1e-05	1.1e-05
X02b	X02b_03	0.999977	1.2e-05	1.2e-05
X02b	X02b_04	0.999977	1.1e-05	1.1e-05
X02b	X02b_05	0.999977	1.2e-05	1.1e-05
X02u	X02u_01	0.976412	3.1e-05	0.023557
X02u	X02u_02	0.999925	3.7e-05	3.8e-05
X02u	X02u_03	0.999974	1.3e-05	1.3e-05
X02u	X02u_04	0.999977	1.1e-05	1.1e-05
X02u	X02u_05	0.999924	3.6e-05	3.9e-05
X03b	X03b_01	1.4e-05	1.4e-05	0.999972
X03b	X03b_02	1.4e-05	1.4e-05	0.999972
X03b	X03b_03	1.3e-05	1.3e-05	0.999974
X03b	X03b_04	1.4e-05	1.4e-05	0.999972
X03b	X03b_05	0.999977	1.1e-05	1.1e-05
X03u	X03u_01	1.3e-05	1.3e-05	0.999974
X03u	X03u_02	1.3e-05	1.3e-05	0.999974
X03u	X03u_03	1.3e-05	1.3e-05	0.999974
X03u	X03u_04	1.3e-05	1.3e-05	0.999974
X03u	X03u_05	1.3e-05	1.3e-05	0.999974
X05b	X05b_01	0.022426	1.4e-05	0.97756
X05b	X05b_02	1.3e-05	1.3e-05	0.999975
X05b	X05b_03	1.3e-05	1.3e-05	0.999974
X05b	X05b_04	1.3e-05	1.3e-05	0.999975
X05b	X05b_05	1.3e-05	1.3e-05	0.999974
X05u	X05u_01	1.7e-05	1.7e-05	0.999967
X05u	X05u_02	1.4e-05	1.3e-05	0.999972
X05u	X05u_03	1.3e-05	1.3e-05	0.999974
X05u	X05u_04	0.302808	5.7e-05	0.697135
X05u	X05u_05	1.4e-05	1.4e-05	0.999971
X06b	X06b_01	0.091813	1.3e-05	0.908174
X06b	X06b_02	1.3e-05	1.3e-05	0.999974
X06b	X06b_03	1.3e-05	1.3e-05	0.999974
X06b	X06b_04	1.4e-05	1.4e-05	0.999972
X06b	X06b_05	1.3e-05	1.3e-05	0.999974
X06u	X06u_01	0.915101	5.9e-05	0.08484
X06u	X06u_02	0.999977	1.2e-05	1.2e-05
X06u	X06u_03	0.999977	1.2e-05	1.1e-05
X06u	X06u_04	0.999977	1.2e-05	1.1e-05
X07b	X07b_01	1.6e-05	0.999968	1.6e-05
X07b	X07b_02	0.87769	0.000294	0.122016
X07b	X07b_03	8.2e-05	0.999842	7.6e-05
X07b	X07b_04	1.6e-05	0.999968	1.6e-05
X07b	X07b_05	0.904366	0.00072	0.094913
X07u	X07u_01	0.999977	1.1e-05	1.1e-05
X07u	X07u_02	0.999976	1.2e-05	1.2e-05
X07u	X07u_03	0.899514	1.2e-05	0.100474
X07u	X07u_04	0.999977	1.2e-05	1.1e-05
X07u	X07u_05	0.999977	1.2e-05	1.1e-05
X08b	X08b_01	1.6e-05	0.999968	1.6e-05
X08b	X08b_02	1.6e-05	0.999968	1.6e-05
X08b	X08b_03	1.7e-05	0.999967	1.6e-05
X08b	X08b_04	0.264627	0.269939	0.465434
X08b	X08b_05	1.6e-05	0.999968	1.6e-05
X08u	X08u_01	0.999977	1.1e-05	1.1e-05
X08u	X08u_02	0.999977	1.2e-05	1.2e-05
X08u	X08u_03	0.999977	1.1e-05	1.1e-05
X08u	X08u_04	1.4e-05	1.4e-05	0.999972
X08u	X08u_05	0.999977	1.1e-05	1.1e-05
X10b	X10b_01	0.999977	1.2e-05	1.1e-05
X10b	X10b_02	0.999977	1.2e-05	1.1e-05
X10b	X10b_03	0.999977	1.1e-05	1.1e-05
X10b	X10b_04	0.999977	1.2e-05	1.1e-05
X10b	X10b_05	0.999977	1.2e-05	1.1e-05
X10u	X10u_01	0.999972	1.3e-05	1.4e-05
X10u	X10u_02	1.3e-05	1.3e-05	0.999975
X10u	X10u_03	0.999977	1.1e-05	1.1e-05
X10u	X10u_04	0.999977	1.2e-05	1.2e-05
X10u	X10u_05	0.999976	1.2e-05	1.2e-05
X11b1	X11b1_01	2e-05	1.9e-05	0.999961
X11b1	X11b1_02	1.4e-05	1.4e-05	0.999972
X11b1	X11b1_03	5.8e-05	5.2e-05	0.999891
X11b1	X11b1_04	2.7e-05	2.7e-05	0.999946
X11b1	X11b1_05	0.999952	2.4e-05	2.4e-05
X11b2	X11b2_01	0.063043	1.8e-05	0.936939
X11b2	X11b2_02	0.999962	1.9e-05	1.9e-05
X11b2	X11b2_03	0.972056	1.9e-05	0.027924
X11b2	X11b2_04	0.009203	2.5e-05	0.990772
X11b2	X11b2_05	1.7e-05	1.7e-05	0.999967
X11b3	X11b3_01	0.999949	2.4e-05	2.7e-05
X11b3	X11b3_02	0.159548	2.6e-05	0.840426
X11b3	X11b3_03	3.1e-05	2.9e-05	0.99994
X11b3	X11b3_04	0.999899	5e-05	5.1e-05
X11b3	X11b3_05	2.5e-05	2.4e-05	0.999951
