ind	hclust_order
06b_01	1
05u_04	2
11b3_02	3
11b2_01	4
05b_01	5
05u_02	6
05u_01	7
11b1_04	8
11b2_05	9
11b3_05	10
03b_04	11
08u_04	12
11b1_02	13
10u_02	14
03b_03	15
06b_05	16
03u_02	17
06b_02	18
03u_01	19
03u_04	20
03u_05	21
03u_03	22
05u_03	23
05b_03	24
05b_05	25
05b_02	26
05b_04	27
03b_01	28
06b_03	29
03b_02	30
05u_05	31
06b_04	32
11b1_01	33
11b2_04	34
11b1_03	35
11b3_03	36
07u_03	37
06u_01	38
11b2_03	39
02u_01	40
11b2_02	41
11b1_05	42
11b3_04	43
02u_05	44
11b3_01	45
10u_01	46
07u_02	47
01u_05	48
01u_02	49
10u_05	50
01u_04	51
02u_02	52
02u_03	53
02b_03	54
08u_02	55
02b_02	56
01u_03	57
02b_01	58
10u_03	59
07u_01	60
01b_02	61
06u_03	62
01b_03	63
02b_05	64
10u_04	65
02b_04	66
06u_02	67
06u_04	68
10b_03	69
10b_05	70
10b_01	71
10b_04	72
07u_05	73
07u_04	74
08u_05	75
10b_02	76
02u_04	77
08u_03	78
01b_01	79
01b_04	80
03b_05	81
08u_01	82
08b_04	83
07b_02	84
07b_05	85
07b_03	86
07b_04	87
01u_01	88
07b_01	89
08b_01	90
08b_02	91
08b_03	92
08b_05	93
