pop1	pop2	fst	gst	Gst	GGst	D	lat1	lon1	lat2	lon2	geog_dist	lat_dist	block1	block2	same_block
X03b	X03u	0.046	0.0165	0.0189	0.0348	0	-23.940556	132.978056	-23.940278	132.977778	41.8204235182736	0.000278000000001555	X03	X03	1
X03b	X05b	0.0249	0.0133	0.0158	0.0287	0	-23.940556	132.978056	-23.965	133.153333	18045.4939514618	-0.024443999999999	X03	X05	0
X03b	X05u	0.0031	0.037	0.0451	0.0792	0	-23.940556	132.978056	-23.966389	133.153333	18069.1206965073	-0.0258329999999987	X03	X05	0
X03b	X06b	0.0095	0.0216	0.0269	0.0475	0	-23.940556	132.978056	-23.9575	133.245833	27322.0298137638	-0.0169439999999987	X03	X06	0
X03b	X11b1	0.0972	0.0886	0.1051	0.178	3e-04	-23.940556	132.978056	-23.916858	132.735055	24878.2273998096	0.0236979999999996	X03	X11	0
X03u	X05b	0.0214	0.0065	0.0075	0.0139	0	-23.940278	132.977778	-23.965	133.153333	18078.1283657634	-0.0247220000000006	X03	X05	0
X03u	X05u	0.0513	0.0382	0.0456	0.0807	0	-23.940278	132.977778	-23.966389	133.153333	18101.9738970553	-0.0261110000000002	X03	X05	0
X03u	X06b	0.0169	0.013	0.0158	0.0284	0	-23.940278	132.977778	-23.9575	133.245833	27352.4203044174	-0.0172220000000003	X03	X06	0
X03u	X11b1	0.2115	0.0966	0.1122	0.1904	3e-04	-23.940278	132.977778	-23.916858	132.735055	24846.8760020872	0.023419999999998	X03	X11	0
X05b	X05u	0.0265	0.0348	0.0433	0.0755	0	-23.965	133.153333	-23.966389	133.153333	153.842478552072	-0.00138899999999964	X05	X05	1
X05b	X06b	0.0109	0.0286	0.0364	0.0632	0	-23.965	133.153333	-23.9575	133.245833	9451.43005246337	0.00750000000000028	X05	X06	0
X05b	X11b1	0.1331	0.0802	0.0971	0.1641	3e-04	-23.965	133.153333	-23.916858	132.735055	42912.4727630744	0.0481419999999986	X05	X11	0
X05u	X06b	-0.0048	0.0252	0.033	0.0568	0	-23.966389	133.153333	-23.9575	133.245833	9466.14157407024	0.00888899999999992	X05	X06	0
X05u	X11b1	0.0038	0.0664	0.0829	0.1401	2e-04	-23.966389	133.153333	-23.916858	132.735055	42931.6336918629	0.0495309999999982	X05	X11	0
X06b	X11b1	0.0394	0.0513	0.0655	0.1111	1e-04	-23.9575	133.245833	-23.916858	132.735055	52192.2134568117	0.0406419999999983	X06	X11	0
