pop1	pop2	fst	gst	Gst	GGst	D	lat1	lon1	lat2	lon2	geog_dist	lat_dist	block1	block2	same_block
X01b	X01u	-0.0097	0.038	0.0479	0.0828	2e-04	-23.943611	132.786389	-23.943611	132.786667	28.2993052965283	0	X01	X01	1
X01b	X02b	8e-04	-0.0443	-0.048	-0.0966	-4e-04	-23.943611	132.786389	-23.938056	132.873889	8928.56949463461	0.00555500000000109	X01	X02	0
X01b	X02u	0.0215	-0.0191	-0.0207	-0.0406	-1e-04	-23.943611	132.786389	-23.937778	132.874167	8958.97960506225	0.00583299999999909	X01	X02	0
X01b	X03b	0.648	0.5287	0.7194	0.8164	0.2603	-23.943611	132.786389	-23.940556	132.978056	19514.1077745664	0.00305499999999981	X01	X03	0
X01b	X03u	0.9456	0.8879	0.9646	0.9812	0.4696	-23.943611	132.786389	-23.940278	132.977778	19486.392253299	0.00333300000000136	X01	X03	0
X01b	X05b	0.9327	0.8671	0.9553	0.976	0.4473	-23.943611	132.786389	-23.965	133.153333	37425.4168518437	-0.0213889999999992	X01	X05	0
X01b	X05u	0.9215	0.8513	0.9487	0.9723	0.439	-23.943611	132.786389	-23.966389	133.153333	37435.2701732673	-0.0227779999999989	X01	X05	0
X01b	X06b	0.916	0.8404	0.9425	0.9688	0.4248	-23.943611	132.786389	-23.9575	133.245833	46792.3587771346	-0.0138889999999989	X01	X06	0
X01b	X06u	0.0031	-0.0399	-0.0434	-0.0868	-3e-04	-23.943611	132.786389	-23.956944	133.245556	46762.2929842121	-0.0133329999999994	X01	X06	0
X01b	X07b	0.8896	0.7768	0.8965	0.9417	0.2812	-23.943611	132.786389	-23.907778	133.330833	55571.7688280037	0.0358330000000002	X01	X07	0
X01b	X07u	0.0065	-0.0229	-0.0255	-0.0496	-1e-04	-23.943611	132.786389	-23.907778	133.330833	55571.7688280037	0.0358330000000002	X01	X07	0
X01b	X08b	0.9055	0.8128	0.9183	0.9549	0.311	-23.943611	132.786389	-23.846111	133.454167	68854.6912432589	0.0975000000000001	X01	X08	0
X01b	X08u	-0.0449	0.0288	0.038	0.0649	2e-04	-23.943611	132.786389	-23.845833	133.453611	68803.6840437794	0.0977780000000017	X01	X08	0
X01b	X10b	0.0075	-0.0443	-0.0477	-0.0962	-3e-04	-23.943611	132.786389	-23.768056	133.626111	87720.0113051251	0.175554999999999	X01	X10	0
X01b	X10u	-0.0228	0.0422	0.0572	0.0954	8e-04	-23.943611	132.786389	-23.768333	133.626389	87740.7438244859	0.175278000000002	X01	X10	0
X01b	X11b1	0.7864	0.6607	0.8287	0.8969	0.2845	-23.943611	132.786389	-23.916858	132.735055	6007.69524165218	0.0267529999999994	X01	X11	0
X01b	X11b2	0.5709	0.4364	0.6035	0.724	0.1359	-23.943611	132.786389	-23.916858	132.735055	6007.69524165218	0.0267529999999994	X01	X11	0
X01b	X11b3	0.6773	0.5252	0.6831	0.7922	0.1395	-23.943611	132.786389	-23.916858	132.735055	6007.69524165218	0.0267529999999994	X01	X11	0
X01u	X02b	0.0349	0.0449	0.0565	0.097	4e-04	-23.943611	132.786667	-23.938056	132.873889	8900.33706857503	0.00555500000000109	X01	X02	0
X01u	X02u	-0.135	0.0266	0.034	0.059	1e-04	-23.943611	132.786667	-23.937778	132.874167	8930.75357550473	0.00583299999999909	X01	X02	0
X01u	X03b	0.4909	0.4006	0.6443	0.746	0.2366	-23.943611	132.786667	-23.940556	132.978056	19485.8124033843	0.00305499999999981	X01	X03	0
X01u	X03u	0.8451	0.7408	0.918	0.9529	0.4518	-23.943611	132.786667	-23.940278	132.977778	19458.0976770329	0.00333300000000136	X01	X03	0
X01u	X05b	0.8226	0.7149	0.9039	0.944	0.4279	-23.943611	132.786667	-23.965	133.153333	37397.1766930986	-0.0213889999999992	X01	X05	0
X01u	X05u	0.7978	0.7	0.8963	0.939	0.4175	-23.943611	132.786667	-23.966389	133.153333	37407.0377557762	-0.0227779999999989	X01	X05	0
X01u	X06b	0.7982	0.6867	0.8876	0.9334	0.4047	-23.943611	132.786667	-23.9575	133.245833	46764.0763294297	-0.0138889999999989	X01	X06	0
X01u	X06u	-0.0676	0.0297	0.0378	0.0655	1e-04	-23.943611	132.786667	-23.956944	133.245556	46734.0092928258	-0.0133329999999994	X01	X06	0
