site	max_n	Ho_neutral	He_neutral	Fis_neutral	ar_neutral	Ho_nonneutral	He_nonneutral	Fis_nonneutral	ar_nonneutral
X01b	4	0.0618266361647106	0.0349715341590092	-0.675335403726708	1.03871652599771	0.0714627865052794	0.04001554001554	-0.723284457478006	1.04431159020394
X01u	5	0.0686731246895181	0.210470452377366	0.645623946872832	1.19032739573723	0.0779886685552408	0.217636316201409	0.609457831325301	1.19653965801275
X02b	5	0.0639868891537545	0.0366920435885953	-0.584896770778189	1.03967974125155	0.073426735218509	0.0407809278350515	-0.671286089238845	1.04429795568613
X02u	5	0.0450435345042042	0.0475561015561016	-0.0549675324675325	1.04471568118765	0.049171826625387	0.0536213287710294	-0.0497984886649874	1.04898500335807
X03b	5	0.0613236753324072	0.327466520307355	0.768257696198873	1.26444439719395	0.0688848920863309	0.327352857549047	0.737253363228699	1.26497557056396
X03u	5	0.0645937465595068	0.038263850183926	-0.609696218226906	1.04074710474303	0.0752584975721222	0.044536023054755	-0.607154696132597	1.04759705843682
X05b	5	0.0785789700495583	0.0537529072987042	-0.34685405027933	1.05504432542248	0.0895460874408243	0.0582477774591339	-0.402512820512821	1.06061007898936
X05u	5	0.0632518735744542	0.0691556105239487	0.0657391019337922	1.06656628583152	0.0679605633802817	0.0728600702576112	0.0485666666666667	1.06988888888889
X06b	5	0.0919512065483151	0.0739613446308911	-0.188836470855069	1.07294331644284	0.10346542771249	0.0788681948424069	-0.23932735426009	1.07807385138623
X06u	4	0.0558367346938776	0.0412964363123141	-0.349725870930897	1.04393977103036	0.0655076207698269	0.044833813137922	-0.453858695652174	1.04831162121268
X07b	5	0.0990568999345978	0.101504881845196	-0.129260642270351	1.09898745938314	0.110586253369272	0.110787172011662	-0.167380530973451	1.10788810807342
X07u	5	0.0887075607694984	0.0649136036755893	-0.22183306800091	1.06719003354188	0.0956863250064383	0.0678638011393061	-0.261601423487545	1.07047774384885
X08b	5	0.11382957625438	0.0705489163459591	-0.595255347010039	1.07553517782248	0.124625042416016	0.0761511789181692	-0.613105590062112	1.08189038085543
X08u	5	0.0625323676769681	0.25865463943144	0.748390892420538	1.23580231603199	0.0724518118735544	0.258586872586873	0.70986529318542	1.23646857012316
X10b	5	0.0596834561019311	0.0328651460584234	-0.712365308804205	1.03574154129101	0.0706034038164002	0.0384597402597403	-0.761419939577039	1.04176838003553
X10u	5	0.064812224041276	0.290492358241649	0.751071018651363	1.26063221174101	0.073706940874036	0.291504264667873	0.717620111731844	1.26163483902558
X11b1	5	0.0480633614702426	0.268942853372047	0.727010033444816	1.18704697286544	0.0539244024458032	0.276557203389831	0.694386825508059	1.18768517783248
X11b2	5	0.0637316012780891	0.372860473457676	0.744803014404274	1.28245416896352	0.0689512394442931	0.365494158509631	0.716214689265537	1.27260553544945
X11b3	5	0.0468206937095826	0.363519974330178	0.772008249182193	1.22197292908933	0.0500716734185104	0.367847435335379	0.752669230769231	1.21877803993728
