lind	locus
1	L8
2	L9
3	L29
4	L41
5	L47
6	L59
7	L64
8	L130
9	L151
10	L153
11	L157
12	L165
13	L169
14	L176
15	L185
16	L194
17	L198
18	L205
19	L207
20	L209
21	L214
22	L232
23	L238
24	L274
25	L276
26	L287
27	L300
28	L316
29	L319
30	L322
31	L326
32	L352
33	L363
34	L366
35	L367
36	L372
37	L376
38	L379
39	L383
40	L394
41	L397
42	L400
43	L401
44	L409
45	L410
46	L416
47	L422
48	L428
49	L430
50	L433
51	L434
52	L439
53	L444
54	L447
55	L465
56	L473
57	L478
58	L480
59	L482
60	L490
61	L495
62	L496
63	L505
64	L508
65	L509
66	L513
67	L515
68	L516
69	L521
70	L522
71	L524
72	L525
73	L534
74	L541
75	L542
76	L545
77	L546
78	L547
79	L548
80	L549
81	L551
82	L554
83	L556
84	L558
85	L563
86	L565
87	L569
88	L572
89	L576
90	L578
91	L579
92	L581
93	L582
94	L585
95	L588
96	L592
97	L593
98	L594
99	L597
100	L598
101	L600
102	L602
103	L604
104	L606
105	L613
106	L617
107	L619
108	L623
109	L624
110	L628
111	L630
112	L632
113	L635
114	L641
115	L643
116	L647
117	L648
118	L659
119	L663
120	L666
121	L673
122	L675
123	L676
124	L678
125	L679
126	L681
127	L684
128	L685
129	L694
130	L695
131	L706
132	L707
133	L709
134	L710
135	L713
136	L715
137	L719
138	L722
139	L724
140	L725
141	L729
142	L739
143	L741
144	L744
145	L746
146	L753
147	L754
148	L755
149	L759
150	L764
151	L768
152	L770
153	L771
154	L777
155	L778
156	L782
157	L784
158	L785
159	L794
160	L799
161	L801
162	L805
163	L808
164	L810
165	L813
166	L815
167	L816
168	L817
169	L821
170	L822
171	L823
172	L824
173	L825
174	L827
175	L828
176	L829
177	L830
178	L835
179	L838
180	L844
181	L846
182	L848
183	L859
184	L863
185	L871
186	L880
187	L883
188	L884
189	L885
190	L890
191	L896
192	L897
193	L899
194	L900
195	L901
196	L905
197	L907
198	L909
199	L911
200	L912
201	L919
202	L924
203	L927
204	L929
205	L931
206	L933
207	L936
208	L938
209	L939
210	L940
211	L943
212	L949
213	L950
214	L952
215	L956
216	L960
217	L966
218	L968
219	L969
220	L971
221	L972
222	L978
223	L981
224	L982
225	L984
226	L985
227	L986
228	L989
229	L990
230	L993
231	L1001
232	L1002
233	L1006
234	L1008
235	L1018
236	L1020
237	L1022
238	L1023
239	L1028
240	L1029
241	L1031
242	L1032
243	L1034
244	L1038
245	L1042
246	L1044
247	L1046
248	L1047
249	L1048
250	L1050
251	L1054
252	L1057
253	L1064
254	L1067
255	L1071
256	L1074
257	L1075
258	L1077
259	L1081
260	L1085
261	L1088
262	L1089
263	L1090
264	L1096
265	L1098
266	L1101
267	L1102
268	L1108
269	L1114
270	L1122
271	L1123
272	L1130
273	L1131
274	L1138
275	L1139
276	L1140
277	L1143
278	L1145
279	L1146
280	L1147
281	L1150
282	L1152
283	L1154
284	L1156
285	L1161
286	L1171
287	L1174
288	L1176
289	L1177
290	L1178
291	L1179
292	L1183
293	L1185
294	L1186
295	L1189
296	L1191
297	L1192
298	L1196
299	L1197
300	L1199
301	L1204
302	L1205
303	L1209
304	L1211
305	L1214
306	L1218
307	L1219
308	L1225
309	L1229
310	L1230
311	L1233
312	L1234
313	L1236
314	L1242
315	L1243
316	L1244
317	L1245
318	L1253
319	L1254
320	L1255
321	L1257
322	L1263
323	L1264
324	L1267
325	L1268
326	L1270
327	L1280
328	L1281
329	L1283
330	L1284
331	L1287
332	L1288
333	L1296
334	L1299
335	L1300
336	L1301
337	L1303
338	L1304
339	L1306
340	L1307
341	L1313
342	L1316
343	L1317
344	L1318
345	L1321
346	L1323
347	L1333
348	L1336
349	L1343
350	L1345
351	L1346
352	L1347
353	L1350
354	L1352
355	L1353
356	L1355
357	L1356
358	L1359
359	L1362
360	L1364
361	L1366
362	L1370
363	L1372
364	L1373
365	L1376
366	L1377
367	L1379
368	L1382
369	L1385
370	L1387
371	L1389
372	L1396
373	L1397
374	L1404
375	L1406
376	L1408
377	L1411
378	L1413
379	L1414
380	L1416
381	L1419
382	L1421
383	L1424
384	L1425
385	L1429
386	L1433
387	L1435
388	L1445
389	L1446
390	L1449
391	L1460
392	L1462
393	L1463
394	L1466
395	L1471
396	L1475
397	L1476
398	L1482
399	L1483
400	L1485
401	L1486
402	L1496
403	L1499
404	L1500
405	L1501
406	L1504
407	L1508
408	L1511
409	L1512
410	L1515
411	L1516
412	L1517
413	L1518
414	L1522
415	L1525
416	L1548
417	L1550
418	L1551
419	L1552
420	L1561
421	L1562
422	L1563
423	L1567
424	L1568
425	L1569
426	L1575
427	L1577
428	L1587
429	L1591
430	L1592
431	L1596
432	L1598
433	L1601
434	L1603
435	L1606
436	L1608
437	L1615
438	L1616
439	L1618
440	L1619
441	L1625
442	L1628
443	L1631
444	L1632
445	L1633
446	L1634
447	L1635
448	L1636
449	L1639
450	L1640
451	L1641
452	L1643
453	L1644
454	L1645
455	L1646
456	L1649
457	L1650
458	L1652
459	L1653
460	L1654
461	L1655
462	L1657
463	L1659
464	L1660
465	L1662
466	L1674
467	L1675
468	L1676
469	L1677
470	L1686
471	L1689
472	L1690
473	L1692
474	L1695
475	L1698
476	L1699
477	L1702
478	L1704
479	L1706
480	L1710
481	L1716
482	L1718
483	L1720
484	L1723
485	L1724
486	L1725
487	L1727
488	L1734
489	L1735
490	L1737
491	L1740
492	L1744
493	L1748
494	L1749
495	L1751
496	L1753
497	L1755
498	L1758
499	L1766
500	L1767
501	L1769
502	L1774
503	L1781
504	L1783
505	L1786
506	L1787
507	L1792
508	L1796
509	L1797
510	L1801
511	L1802
512	L1803
513	L1806
514	L1807
515	L1811
516	L1812
517	L1818
518	L1820
519	L1824
520	L1829
521	L1830
522	L1832
523	L1837
524	L1838
525	L1839
526	L1840
527	L1841
528	L1842
529	L1847
530	L1852
531	L1854
532	L1856
533	L1860
534	L1861
535	L1863
536	L1864
537	L1868
538	L1874
539	L1880
540	L1883
541	L1885
542	L1888
543	L1889
544	L1891
545	L1893
546	L1894
547	L1895
548	L1897
549	L1899
550	L1900
551	L1901
552	L1904
553	L1906
554	L1908
555	L1909
556	L1910
557	L1913
558	L1915
559	L1917
560	L1919
561	L1922
562	L1923
563	L1928
564	L1930
565	L1931
566	L1932
567	L1944
568	L1945
569	L1953
570	L1954
571	L1955
572	L1958
573	L1960
574	L1963
575	L1965
576	L1966
577	L1972
578	L1976
579	L1979
580	L1980
581	L1981
582	L1982
583	L1987
584	L1989
585	L1996
586	L1997
587	L1999
588	L2001
589	L2008
590	L2012
591	L2013
592	L2014
593	L2018
594	L2020
595	L2023
596	L2025
597	L2026
598	L2027
599	L2031
600	L2035
601	L2037
602	L2038
603	L2041
604	L2054
605	L2056
606	L2057
607	L2058
608	L2059
609	L2061
610	L2063
611	L2066
612	L2067
613	L2069
614	L2070
615	L2075
616	L2077
617	L2079
618	L2080
619	L2083
620	L2084
621	L2088
622	L2090
623	L2092
624	L2096
625	L2100
626	L2101
627	L2107
628	L2108
629	L2111
630	L2112
631	L2113
632	L2117
633	L2118
634	L2119
635	L2121
636	L2123
637	L2124
638	L2126
639	L2127
640	L2128
641	L2129
642	L2130
643	L2132
644	L2136
645	L2139
646	L2141
647	L2143
648	L2145
649	L2146
650	L2154
651	L2157
652	L2159
653	L2163
654	L2167
655	L2178
656	L2179
657	L2183
658	L2184
659	L2186
660	L2188
661	L2189
662	L2190
663	L2191
664	L2192
665	L2194
666	L2197
667	L2199
668	L2200
669	L2204
670	L2205
671	L2207
672	L2209
673	L2210
674	L2211
675	L2212
676	L2213
677	L2216
678	L2223
679	L2230
680	L2231
681	L2232
682	L2234
683	L2237
684	L2238
685	L2239
686	L2246
687	L2248
688	L2250
689	L2251
690	L2254
691	L2255
692	L2258
693	L2263
694	L2266
695	L2269
696	L2271
697	L2273
698	L2274
699	L2276
700	L2278
701	L2280
702	L2285
703	L2291
704	L2294
705	L2296
706	L2297
707	L2303
708	L2311
709	L2313
710	L2321
711	L2325
712	L2326
713	L2329
714	L2335
715	L2336
716	L2339
717	L2344
718	L2353
719	L2355
720	L2360
721	L2363
722	L2364
723	L2365
724	L2370
725	L2371
726	L2377
727	L2378
728	L2380
729	L2381
730	L2386
731	L2387
732	L2388
733	L2390
734	L2391
735	L2392
736	L2393
737	L2398
738	L2403
739	L2404
740	L2405
741	L2408
742	L2409
743	L2411
744	L2415
745	L2419
746	L2420
747	L2421
748	L2422
749	L2424
750	L2426
751	L2429
752	L2434
753	L2437
754	L2439
755	L2447
756	L2448
757	L2451
758	L2455
759	L2456
760	L2458
761	L2460
762	L2467
763	L2468
764	L2473
765	L2475
766	L2477
767	L2478
768	L2480
769	L2481
770	L2483
771	L2484
772	L2486
773	L2493
774	L2500
775	L2504
776	L2507
777	L2509
778	L2511
779	L2512
780	L2514
781	L2517
782	L2518
783	L2524
784	L2525
785	L2526
786	L2530
787	L2531
788	L2535
789	L2536
790	L2539
791	L2540
792	L2541
793	L2545
794	L2548
795	L2554
796	L2558
797	L2559
798	L2560
799	L2567
800	L2569
801	L2571
802	L2577
803	L2579
804	L2580
805	L2581
806	L2582
807	L2583
808	L2587
809	L2589
810	L2592
811	L2595
812	L2596
813	L2597
814	L2599
815	L2604
816	L2608
817	L2611
818	L2617
819	L2618
820	L2619
821	L2625
822	L2626
823	L2630
824	L2632
825	L2634
826	L2636
827	L2638
828	L2640
829	L2641
830	L2644
831	L2646
832	L2650
833	L2651
834	L2652
835	L2653
836	L2654
837	L2655
838	L2659
839	L2660
840	L2661
841	L2662
842	L2664
843	L2666
844	L2673
845	L2679
846	L2683
847	L2684
848	L2696
849	L2700
850	L2702
851	L2703
852	L2707
853	L2708
854	L2709
855	L2714
856	L2715
857	L2716
858	L2720
859	L2721
860	L2731
861	L2737
862	L2743
863	L2746
864	L2747
865	L2749
866	L2753
867	L2757
868	L2762
869	L2765
870	L2772
871	L2776
872	L2777
873	L2779
874	L2780
875	L2781
876	L2784
877	L2786
878	L2790
879	L2791
880	L2797
881	L2799
882	L2800
883	L2801
884	L2805
885	L2808
886	L2809
887	L2810
888	L2815
889	L2817
890	L2818
891	L2822
892	L2824
893	L2826
894	L2831
895	L2832
896	L2833
897	L2839
898	L2841
899	L2845
900	L2847
901	L2849
902	L2850
903	L2851
904	L2857
905	L2860
906	L2861
907	L2862
908	L2866
909	L2873
910	L2874
911	L2875
912	L2880
913	L2881
914	L2882
915	L2886
916	L2893
917	L2897
918	L2899
919	L2900
920	L2903
921	L2904
922	L2908
923	L2910
924	L2912
925	L2919
926	L2920
927	L2926
928	L2928
929	L2930
930	L2931
931	L2932
932	L2933
933	L2937
934	L2938
935	L2940
936	L2944
937	L2945
938	L2946
939	L2948
940	L2959
941	L2961
942	L2971
943	L2972
944	L2973
945	L2974
946	L2975
947	L2977
948	L2984
949	L2990
950	L2995
951	L2997
952	L3003
953	L3018
954	L3019
955	L3023
956	L3025
957	L3030
958	L3031
959	L3033
960	L3036
961	L3037
962	L3043
963	L3047
964	L3048
965	L3050
966	L3053
967	L3054
968	L3057
969	L3058
970	L3060
971	L3064
972	L3067
973	L3075
974	L3078
975	L3080
976	L3082
977	L3090
978	L3096
979	L3098
980	L3100
981	L3103
982	L3104
983	L3105
984	L3110
985	L3113
986	L3115
987	L3118
988	L3119
989	L3120
990	L3124
991	L3128
992	L3131
993	L3132
994	L3139
995	L3140
996	L3143
997	L3145
998	L3146
999	L3148
1000	L3150
1001	L3151
1002	L3154
1003	L3155
1004	L3156
1005	L3158
1006	L3159
1007	L3166
1008	L3171
1009	L3173
1010	L3175
1011	L3180
1012	L3181
1013	L3182
1014	L3185
1015	L3186
1016	L3187
1017	L3188
1018	L3192
1019	L3193
1020	L3194
1021	L3197
1022	L3202
1023	L3204
1024	L3206
1025	L3209
1026	L3211
1027	L3212
1028	L3214
1029	L3217
1030	L3218
1031	L3219
1032	L3221
1033	L3223
1034	L3224
1035	L3225
1036	L3227
1037	L3231
1038	L3233
1039	L3238
1040	L3241
1041	L3243
1042	L3244
1043	L3245
1044	L3251
1045	L3252
1046	L3257
1047	L3258
1048	L3263
1049	L3268
1050	L3269
1051	L3271
1052	L3277
1053	L3282
1054	L3283
1055	L3284
1056	L3285
1057	L3295
1058	L3296
1059	L3297
1060	L3300
1061	L3303
1062	L3304
1063	L3307
1064	L3313
1065	L3316
1066	L3317
1067	L3320
1068	L3321
1069	L3323
1070	L3328
1071	L3329
1072	L3330
1073	L3336
1074	L3337
1075	L3338
1076	L3339
1077	L3340
1078	L3343
1079	L3347
1080	L3352
1081	L3361
1082	L3364
1083	L3374
1084	L3378
1085	L3380
1086	L3385
1087	L3388
1088	L3390
1089	L3391
1090	L3392
1091	L3393
1092	L3396
1093	L3397
1094	L3400
1095	L3401
1096	L3403
1097	L3405
1098	L3409
1099	L3416
1100	L3417
1101	L3419
1102	L3422
1103	L3436
1104	L3437
1105	L3440
1106	L3446
1107	L3448
1108	L3453
1109	L3454
1110	L3455
1111	L3457
1112	L3460
1113	L3463
1114	L3466
1115	L3471
1116	L3473
1117	L3475
1118	L3479
1119	L3485
1120	L3486
1121	L3488
1122	L3490
1123	L3491
1124	L3498
1125	L3500
1126	L3505
1127	L3508
1128	L3512
1129	L3516
1130	L3517
1131	L3518
1132	L3529
1133	L3530
1134	L3534
1135	L3539
1136	L3543
1137	L3546
1138	L3548
1139	L3550
1140	L3554
1141	L3558
1142	L3560
1143	L3563
1144	L3564
1145	L3565
1146	L3569
1147	L3581
1148	L3582
1149	L3583
1150	L3585
1151	L3595
1152	L3596
1153	L3598
1154	L3599
1155	L3605
1156	L3607
1157	L3609
1158	L3610
1159	L3615
1160	L3617
1161	L3619
1162	L3621
1163	L3623
1164	L3626
1165	L3628
1166	L3629
1167	L3634
1168	L3639
1169	L3640
1170	L3642
1171	L3646
1172	L3647
1173	L3650
1174	L3652
1175	L3654
1176	L3655
1177	L3656
1178	L3660
1179	L3663
1180	L3664
1181	L3666
1182	L3669
1183	L3670
1184	L3672
1185	L3673
1186	L3679
1187	L3680
1188	L3681
1189	L3683
1190	L3685
1191	L3687
1192	L3691
1193	L3696
1194	L3699
1195	L3717
1196	L3718
1197	L3726
1198	L3728
1199	L3731
1200	L3736
1201	L3737
1202	L3742
1203	L3744
1204	L3749
1205	L3750
1206	L3753
1207	L3760
1208	L3762
1209	L3763
1210	L3767
1211	L3770
1212	L3774
1213	L3779
1214	L3780
1215	L3782
1216	L3786
1217	L3796
1218	L3798
1219	L3799
1220	L3803
1221	L3808
1222	L3809
1223	L3810
1224	L3811
1225	L3812
1226	L3815
1227	L3822
1228	L3824
1229	L3826
1230	L3827
1231	L3831
1232	L3834
1233	L3840
1234	L3851
1235	L3854
1236	L3861
1237	L3863
1238	L3864
1239	L3865
1240	L3869
1241	L3871
1242	L3872
1243	L3874
1244	L3877
1245	L3879
1246	L3880
1247	L3882
1248	L3886
1249	L3892
1250	L3894
1251	L3896
1252	L3901
1253	L3905
1254	L3907
1255	L3910
1256	L3911
1257	L3919
1258	L3920
1259	L3921
1260	L3922
1261	L3923
1262	L3924
1263	L3929
1264	L3936
1265	L3937
1266	L3938
1267	L3941
1268	L3943
1269	L3944
1270	L3946
1271	L3947
1272	L3948
1273	L3949
1274	L3955
1275	L3957
1276	L3958
1277	L3961
1278	L3962
1279	L3963
1280	L3969
1281	L3970
1282	L3973
1283	L3976
1284	L3978
1285	L3981
1286	L3987
1287	L3990
1288	L3993
1289	L3994
1290	L3995
1291	L3996
1292	L4001
1293	L4002
1294	L4003
1295	L4007
1296	L4008
1297	L4012
1298	L4013
1299	L4015
1300	L4023
1301	L4024
1302	L4025
1303	L4027
1304	L4028
1305	L4034
1306	L4036
1307	L4037
1308	L4040
1309	L4042
1310	L4044
1311	L4046
1312	L4048
1313	L4049
1314	L4050
1315	L4051
1316	L4059
1317	L4064
1318	L4066
1319	L4067
1320	L4072
1321	L4073
1322	L4075
1323	L4082
1324	L4084
1325	L4087
1326	L4091
1327	L4093
1328	L4094
1329	L4095
1330	L4096
1331	L4099
1332	L4106
1333	L4108
1334	L4109
1335	L4112
1336	L4120
1337	L4127
1338	L4129
1339	L4130
1340	L4131
1341	L4136
1342	L4139
1343	L4145
1344	L4146
1345	L4148
1346	L4149
1347	L4150
1348	L4151
1349	L4152
1350	L4153
1351	L4156
1352	L4166
1353	L4169
1354	L4171
1355	L4176
1356	L4177
1357	L4184
1358	L4185
1359	L4188
1360	L4189
1361	L4191
1362	L4192
1363	L4196
1364	L4202
1365	L4203
1366	L4204
1367	L4205
1368	L4207
1369	L4209
1370	L4210
1371	L4213
1372	L4214
1373	L4216
1374	L4218
1375	L4219
1376	L4224
1377	L4225
1378	L4226
1379	L4234
1380	L4238
1381	L4239
1382	L4242
1383	L4243
1384	L4246
1385	L4248
1386	L4249
1387	L4251
1388	L4254
1389	L4256
1390	L4258
1391	L4259
1392	L4260
1393	L4267
1394	L4268
1395	L4274
1396	L4276
1397	L4279
1398	L4283
1399	L4284
1400	L4285
1401	L4289
1402	L4290
1403	L4293
1404	L4303
1405	L4304
1406	L4307
1407	L4308
1408	L4315
1409	L4319
1410	L4327
1411	L4329
1412	L4330
1413	L4339
1414	L4341
1415	L4344
1416	L4346
1417	L4347
1418	L4349
1419	L4355
1420	L4358
1421	L4359
1422	L4360
1423	L4363
1424	L4372
1425	L4373
1426	L4375
1427	L4377
1428	L4380
1429	L4383
1430	L4384
1431	L4386
1432	L4394
1433	L4396
1434	L4397
1435	L4398
1436	L4404
1437	L4410
1438	L4411
1439	L4412
1440	L4422
1441	L4423
1442	L4436
1443	L4438
1444	L4440
1445	L4443
1446	L4453
1447	L4456
1448	L4461
1449	L4463
1450	L4467
1451	L4468
1452	L4470
1453	L4473
1454	L4475
1455	L4477
1456	L4480
1457	L4482
1458	L4484
1459	L4485
1460	L4495
1461	L4501
1462	L4504
1463	L4508
1464	L4509
1465	L4517
1466	L4519
1467	L4521
1468	L4522
1469	L4523
1470	L4524
1471	L4527
1472	L4532
1473	L4535
1474	L4536
1475	L4542
1476	L4543
1477	L4547
1478	L4550
1479	L4553
1480	L4560
1481	L4569
1482	L4577
1483	L4579
1484	L4581
1485	L4582
1486	L4584
1487	L4586
1488	L4590
1489	L4592
1490	L4594
1491	L4595
1492	L4599
1493	L4601
1494	L4602
1495	L4603
1496	L4604
1497	L4606
1498	L4609
1499	L4610
1500	L4613
1501	L4615
1502	L4617
1503	L4618
1504	L4621
1505	L4622
1506	L4623
1507	L4625
1508	L4634
1509	L4636
1510	L4637
1511	L4638
1512	L4639
1513	L4640
1514	L4641
1515	L4644
1516	L4653
1517	L4654
1518	L4655
1519	L4658
1520	L4660
1521	L4662
1522	L4668
1523	L4677
1524	L4683
1525	L4684
1526	L4685
1527	L4687
1528	L4698
1529	L4705
1530	L4708
1531	L4712
1532	L4716
1533	L4720
1534	L4726
1535	L4727
1536	L4734
1537	L4736
1538	L4738
1539	L4742
1540	L4745
1541	L4748
1542	L4753
1543	L4754
1544	L4757
1545	L4759
1546	L4764
1547	L4765
1548	L4771
1549	L4772
1550	L4775
1551	L4779
1552	L4780
1553	L4782
1554	L4784
1555	L4785
1556	L4788
1557	L4790
1558	L4793
1559	L4796
1560	L4799
1561	L4802
1562	L4806
1563	L4810
1564	L4811
1565	L4812
1566	L4813
1567	L4816
1568	L4818
1569	L4821
1570	L4826
1571	L4829
1572	L4830
1573	L4835
1574	L4843
1575	L4849
1576	L4853
1577	L4855
1578	L4856
1579	L4857
1580	L4859
1581	L4865
1582	L4867
1583	L4870
1584	L4872
1585	L4879
1586	L4883
1587	L4884
1588	L4885
1589	L4891
1590	L4894
1591	L4900
1592	L4905
1593	L4909
1594	L4915
1595	L4916
1596	L4921
1597	L4923
1598	L4929
1599	L4935
1600	L4939
1601	L4940
1602	L4945
1603	L4946
1604	L4947
1605	L4950
1606	L4952
1607	L4953
1608	L4957
1609	L4960
1610	L4961
1611	L4965
1612	L4966
1613	L4967
1614	L4970
1615	L4972
1616	L4973
1617	L4975
1618	L4977
1619	L4978
1620	L4980
1621	L4983
1622	L4984
1623	L4985
1624	L4992
1625	L4993
1626	L4997
1627	L4998
1628	L5003
1629	L5006
1630	L5007
1631	L5008
1632	L5010
1633	L5016
1634	L5021
1635	L5022
1636	L5024
1637	L5033
1638	L5035
1639	L5037
1640	L5040
1641	L5047
1642	L5052
1643	L5057
1644	L5059
1645	L5065
1646	L5069
1647	L5072
1648	L5075
1649	L5079
1650	L5084
1651	L5086
1652	L5089
1653	L5090
1654	L5093
1655	L5094
1656	L5096
1657	L5097
1658	L5104
1659	L5112
1660	L5113
1661	L5115
1662	L5116
1663	L5118
1664	L5119
1665	L5124
1666	L5125
1667	L5126
1668	L5130
1669	L5132
1670	L5137
1671	L5138
1672	L5139
1673	L5143
1674	L5144
1675	L5151
1676	L5155
1677	L5157
1678	L5160
1679	L5166
1680	L5168
1681	L5169
1682	L5170
1683	L5172
1684	L5173
1685	L5174
1686	L5176
1687	L5177
1688	L5180
1689	L5184
1690	L5185
1691	L5188
1692	L5192
1693	L5194
1694	L5195
1695	L5199
1696	L5202
1697	L5203
1698	L5211
1699	L5217
1700	L5218
1701	L5219
1702	L5220
1703	L5222
1704	L5225
1705	L5226
1706	L5227
1707	L5228
1708	L5231
1709	L5232
1710	L5240
1711	L5244
1712	L5246
1713	L5247
1714	L5249
1715	L5253
1716	L5255
1717	L5257
1718	L5259
1719	L5263
1720	L5264
1721	L5266
1722	L5267
1723	L5275
1724	L5276
1725	L5280
1726	L5281
1727	L5282
1728	L5286
1729	L5287
1730	L5290
1731	L5296
1732	L5300
1733	L5302
1734	L5304
1735	L5305
1736	L5306
1737	L5307
1738	L5309
1739	L5310
1740	L5312
1741	L5320
1742	L5323
1743	L5325
1744	L5332
1745	L5334
1746	L5335
1747	L5340
1748	L5341
1749	L5344
1750	L5346
1751	L5347
1752	L5348
1753	L5349
1754	L5357
1755	L5358
1756	L5359
1757	L5360
1758	L5362
1759	L5363
1760	L5364
1761	L5367
1762	L5371
1763	L5373
1764	L5374
1765	L5382
1766	L5383
1767	L5385
1768	L5387
1769	L5395
1770	L5403
1771	L5404
1772	L5411
1773	L5415
1774	L5419
1775	L5427
1776	L5429
1777	L5434
1778	L5440
1779	L5441
1780	L5442
1781	L5447
1782	L5448
1783	L5453
1784	L5455
1785	L5461
1786	L5463
1787	L5465
1788	L5472
1789	L5473
1790	L5474
1791	L5475
1792	L5483
1793	L5484
1794	L5487
1795	L5489
1796	L5491
1797	L5492
1798	L5497
1799	L5498
1800	L5502
1801	L5503
1802	L5505
1803	L5507
1804	L5511
1805	L5512
1806	L5513
1807	L5515
1808	L5518
1809	L5520
1810	L5525
1811	L5528
1812	L5538
1813	L5541
1814	L5543
1815	L5545
1816	L5546
1817	L5549
1818	L5551
1819	L5558
1820	L5560
1821	L5562
1822	L5565
1823	L5567
1824	L5570
1825	L5571
1826	L5576
1827	L5577
1828	L5578
1829	L5580
1830	L5585
1831	L5586
1832	L5587
1833	L5589
1834	L5590
1835	L5597
1836	L5598
1837	L5600
1838	L5602
1839	L5604
1840	L5606
1841	L5611
1842	L5613
1843	L5614
1844	L5615
1845	L5618
1846	L5620
1847	L5624
1848	L5627
1849	L5632
1850	L5642
1851	L5644
1852	L5646
1853	L5650
1854	L5654
1855	L5657
1856	L5663
1857	L5664
1858	L5667
1859	L5680
1860	L5684
1861	L5685
1862	L5687
1863	L5693
1864	L5694
1865	L5695
1866	L5698
1867	L5700
1868	L5702
1869	L5704
1870	L5709
1871	L5711
1872	L5713
1873	L5716
1874	L5717
1875	L5718
1876	L5723
1877	L5725
1878	L5726
1879	L5728
1880	L5731
1881	L5735
1882	L5737
1883	L5741
1884	L5753
1885	L5755
1886	L5756
1887	L5764
1888	L5765
1889	L5780
1890	L5784
1891	L5786
1892	L5792
1893	L5809
1894	L5811
1895	L5817
1896	L5818
1897	L5819
1898	L5824
1899	L5825
1900	L5834
1901	L5836
1902	L5843
1903	L5847
1904	L5856
1905	L5857
1906	L5858
1907	L5864
1908	L5866
1909	L5867
1910	L5876
1911	L5878
1912	L5881
1913	L5884
1914	L5887
1915	L5888
1916	L5890
1917	L5892
1918	L5894
1919	L5895
1920	L5896
1921	L5899
1922	L5901
1923	L5904
1924	L5907
1925	L5913
1926	L5916
1927	L5936
1928	L5938
1929	L5939
1930	L5954
1931	L5960
1932	L5961
1933	L5962
1934	L5963
1935	L5965
1936	L5971
1937	L5972
1938	L5977
1939	L5978
1940	L5980
1941	L5985
1942	L5987
1943	L5990
1944	L5992
1945	L5996
1946	L5998
1947	L5999
1948	L6004
1949	L6009
1950	L6010
1951	L6012
1952	L6014
1953	L6016
1954	L6021
1955	L6027
1956	L6030
1957	L6033
1958	L6040
1959	L6045
1960	L6051
1961	L6053
1962	L6055
1963	L6057
1964	L6062
1965	L6063
1966	L6066
1967	L6067
1968	L6070
1969	L6079
1970	L6083
1971	L6086
1972	L6097
1973	L6098
