pop1	pop2	fst	gst	Gst	GGst	D
X01b	X01u	-0.0095	0.0375	0.0474	0.0818	1e-04
X01b	X02b	0.0014	-0.0445	-0.0482	-0.0971	-4e-04
X01b	X02u	0.0218	-0.0181	-0.0197	-0.0385	-1e-04
X01b	X03b	0.6466	0.5269	0.7177	0.8151	0.2587
X01b	X03u	0.9441	0.8849	0.9635	0.9806	0.4678
X01b	X05b	0.9314	0.8644	0.9541	0.9754	0.445
X01b	X05u	0.9202	0.8491	0.9477	0.9717	0.4373
X01b	X06b	0.9145	0.8377	0.9412	0.968	0.4217
X01b	X06u	0.0028	-0.0413	-0.0449	-0.0899	-3e-04
X01b	X07b	0.8877	0.7734	0.8946	0.9406	0.2796
X01b	X07u	0.0088	-0.0226	-0.0252	-0.0488	-1e-04
X01b	X08b	0.9039	0.8099	0.9168	0.954	0.3095
X01b	X08u	-0.0448	0.0284	0.0376	0.0642	2e-04
X01b	X10b	0.0076	-0.0445	-0.048	-0.0969	-3e-04
X01b	X10u	-0.0208	0.0433	0.0587	0.0978	7e-04
X01b	X11b1	0.7852	0.6585	0.827	0.8957	0.2817
X01b	X11b2	0.5727	0.4374	0.6044	0.7248	0.135
X01b	X11b3	0.6764	0.5238	0.6816	0.791	0.1381
X01u	X02b	0.0351	0.0446	0.0562	0.0965	4e-04
X01u	X02u	-0.1356	0.0261	0.0334	0.0579	1e-04
X01u	X03b	0.4889	0.3989	0.6423	0.7443	0.2347
X01u	X03u	0.8435	0.7381	0.9167	0.9521	0.4494
X01u	X05b	0.8209	0.7122	0.9024	0.943	0.425
X01u	X05u	0.7962	0.6979	0.8951	0.9382	0.4152
X01u	X06b	0.7959	0.6837	0.8857	0.9321	0.401
X01u	X06u	-0.0676	0.0292	0.0372	0.0646	1e-04
X01u	X07b	0.5226	0.4444	0.6379	0.7493	0.1777
X01u	X07u	0.0187	0.0397	0.0515	0.0877	2e-04
X01u	X08b	0.6252	0.4913	0.6828	0.7873	0.2102
X01u	X08u	-0.0555	0.0293	0.0453	0.0725	4e-04
X01u	X10b	0.0323	0.0451	0.0566	0.0973	4e-04
X01u	X10u	-0.0542	0.0348	0.0553	0.0871	6e-04
X01u	X11b1	0.6029	0.5076	0.7498	0.8341	0.2536
X01u	X11b2	0.3891	0.3187	0.5203	0.6362	0.1172
X01u	X11b3	0.4524	0.3777	0.5819	0.6965	0.1196
X02b	X02u	0.0306	-0.0141	-0.0153	-0.0298	0
X02b	X03b	0.6766	0.5299	0.7196	0.8167	0.2595
X02b	X03u	0.9426	0.8833	0.9629	0.9803	0.4673
X02b	X05b	0.9313	0.8631	0.9535	0.975	0.4444
X02b	X05u	0.9215	0.8478	0.9471	0.9714	0.4366
X02b	X06b	0.9164	0.837	0.9407	0.9677	0.4212
X02b	X06u	0.0073	-0.0356	-0.0387	-0.0771	-3e-04
X02b	X07b	0.8915	0.7737	0.8949	0.9408	0.2812
X02b	X07u	0.018	-0.016	-0.0179	-0.0344	-1e-04
X02b	X08b	0.9054	0.8101	0.917	0.9541	0.311
X02b	X08u	-0.001	0.0347	0.0458	0.0777	5e-04
X02b	X10b	0.003	-0.0396	-0.0428	-0.0858	-3e-04
X02b	X10u	0.0275	0.0499	0.0675	0.1118	0.0013
