lind	locus
1	L7
2	L8
3	L9
4	L29
5	L47
6	L59
7	L64
8	L109
9	L130
10	L140
11	L153
12	L164
13	L165
14	L169
15	L176
16	L185
17	L194
18	L198
19	L205
20	L207
21	L224
22	L232
23	L238
24	L253
25	L274
26	L276
27	L287
28	L300
29	L302
30	L307
31	L308
32	L309
33	L311
34	L316
35	L319
36	L322
37	L327
38	L329
39	L343
40	L352
41	L353
42	L363
43	L366
44	L367
45	L372
46	L376
47	L379
48	L383
49	L397
50	L400
51	L401
52	L409
53	L410
54	L416
55	L422
56	L428
57	L430
58	L433
59	L434
60	L435
61	L438
62	L439
63	L441
64	L444
65	L447
66	L448
67	L453
68	L465
69	L473
70	L478
71	L480
72	L481
73	L482
74	L484
75	L490
76	L491
77	L495
78	L505
79	L508
80	L509
81	L513
82	L521
83	L522
84	L524
85	L525
86	L528
87	L535
88	L541
89	L542
90	L546
91	L547
92	L548
93	L549
94	L551
95	L556
96	L558
97	L560
98	L563
99	L565
100	L569
101	L571
102	L576
103	L578
104	L579
105	L581
106	L582
107	L584
108	L588
109	L592
110	L593
111	L594
112	L597
113	L598
114	L600
115	L602
116	L604
117	L613
118	L617
119	L619
120	L623
121	L624
122	L628
123	L630
124	L632
125	L635
126	L639
127	L641
128	L643
129	L647
130	L659
131	L663
132	L666
133	L670
134	L673
135	L676
136	L678
137	L679
138	L682
139	L685
140	L694
141	L707
142	L709
143	L710
144	L713
145	L715
146	L719
147	L722
148	L724
149	L729
150	L737
151	L739
152	L741
153	L744
154	L746
155	L753
156	L754
157	L755
158	L764
159	L768
160	L770
161	L771
162	L777
163	L778
164	L782
165	L783
166	L784
167	L785
168	L792
169	L794
170	L799
171	L801
172	L806
173	L808
174	L810
175	L813
176	L815
177	L816
178	L821
179	L822
180	L823
181	L825
182	L827
183	L828
184	L829
185	L830
186	L831
187	L833
188	L835
189	L846
190	L848
191	L859
192	L860
193	L863
194	L871
195	L880
196	L883
197	L884
198	L885
199	L896
200	L897
201	L900
202	L901
203	L902
204	L905
205	L907
206	L912
207	L915
208	L919
209	L929
210	L931
211	L933
212	L936
213	L938
214	L939
215	L940
216	L943
217	L947
218	L949
219	L952
220	L960
221	L962
222	L963
223	L966
224	L968
225	L969
226	L971
227	L972
228	L978
229	L979
230	L981
231	L982
232	L984
233	L985
234	L986
235	L987
236	L989
237	L992
238	L993
239	L997
240	L1001
241	L1002
242	L1006
243	L1008
244	L1010
245	L1013
246	L1018
247	L1020
248	L1022
249	L1025
250	L1028
251	L1029
252	L1031
253	L1032
254	L1034
255	L1038
256	L1041
257	L1044
258	L1046
259	L1047
260	L1048
261	L1050
262	L1052
263	L1054
264	L1056
265	L1057
266	L1064
267	L1067
268	L1068
269	L1071
270	L1074
271	L1075
272	L1077
273	L1078
274	L1081
275	L1083
276	L1085
277	L1088
278	L1089
279	L1090
280	L1096
281	L1098
282	L1101
283	L1108
284	L1112
285	L1113
286	L1115
287	L1119
288	L1123
289	L1125
290	L1130
291	L1139
292	L1143
293	L1144
294	L1145
295	L1147
296	L1148
297	L1150
298	L1152
299	L1154
300	L1160
301	L1161
302	L1171
303	L1174
304	L1175
