site	max_n	Ho	He	Fis
X01b_0	4	0.0618266361647106	0.0349715341590092	-0.675335403726708
X01u_0	5	0.0686731246895181	0.210470452377366	0.645623946872832
X02b_0	5	0.0639868891537545	0.0366920435885953	-0.584896770778189
X02u_0	5	0.0450435345042042	0.0475561015561016	-0.0549675324675325
X03b_0	5	0.0613236753324072	0.327466520307355	0.768257696198873
X03u_0	5	0.0645937465595068	0.038263850183926	-0.609696218226906
X05b_0	5	0.0785789700495583	0.0537529072987042	-0.34685405027933
X05u_0	5	0.0632518735744542	0.0691556105239487	0.0657391019337922
X06b_0	5	0.0919512065483151	0.0739613446308911	-0.188836470855069
X06u_0	4	0.0558367346938776	0.0412964363123141	-0.349725870930897
X07b_0	5	0.0990568999345978	0.101504881845196	-0.129260642270351
X07u_0	5	0.0887075607694984	0.0649136036755893	-0.22183306800091
X08b_0	5	0.11382957625438	0.0705489163459591	-0.595255347010039
X08u_0	5	0.0625323676769681	0.25865463943144	0.748390892420538
X10b_0	5	0.0596834561019311	0.0328651460584234	-0.712365308804205
X10u_0	5	0.064812224041276	0.290492358241649	0.751071018651363
X11b1_0	5	0.0480633614702426	0.268942853372047	0.727010033444816
X11b2_0	5	0.0637316012780891	0.372860473457676	0.744803014404274
X11b3_0	5	0.0468206937095826	0.363519974330178	0.772008249182193
