site	max_n	Ho	He	Fis	site_code	treatment	lat	long	ar
X01b_0	4	0.0618266361647106	0.0349715341590092	-0.675335403726708	X01b_04	u	-23.943611	132.786667	1.03871652599771
X01u_0	5	0.0686731246895181	0.210470452377366	0.645623946872832	X01u_05	b	-23.943611	132.786389	1.19032739573723
X02b_0	5	0.0639868891537545	0.0366920435885953	-0.584896770778189	X02b_05	b	-23.938056	132.873889	1.03967974125155
X02u_0	5	0.0450435345042042	0.0475561015561016	-0.0549675324675325	X02u_05	u	-23.937778	132.874167	1.04471568118765
X03b_0	5	0.0613236753324072	0.327466520307355	0.768257696198873	X03b_05	u	-23.940278	132.977778	1.26444439719395
X03u_0	5	0.0645937465595068	0.038263850183926	-0.609696218226906	X03u_05	b	-23.940556	132.978056	1.04074710474303
X05b_0	5	0.0785789700495583	0.0537529072987042	-0.34685405027933	X05b_05	u	-23.966389	133.153333	1.05504432542248
X05u_0	5	0.0632518735744542	0.0691556105239487	0.0657391019337922	X05u_05	b	-23.965	133.153333	1.06656628583152
X06b_0	5	0.0919512065483151	0.0739613446308911	-0.188836470855069	X06b_05	b	-23.9575	133.245833	1.07294331644284
X06u_0	4	0.0558367346938776	0.0412964363123141	-0.349725870930897	X06u_04	u	-23.956944	133.245556	1.04393977103036
X07b_0	5	0.0990568999345978	0.101504881845196	-0.129260642270351	X07b_05	b	-23.907778	133.330833	1.09898745938314
X07u_0	5	0.0887075607694984	0.0649136036755893	-0.22183306800091	X07u_05	u	-23.907778	133.330833	1.06719003354188
X08b_0	5	0.11382957625438	0.0705489163459591	-0.595255347010039	X08b_05	u	-23.845833	133.453611	1.07553517782248
X08u_0	5	0.0625323676769681	0.25865463943144	0.748390892420538	X08u_05	b	-23.846111	133.454167	1.23580231603199
X10b_0	5	0.0596834561019311	0.0328651460584234	-0.712365308804205	X10b_05	u	-23.768333	133.626389	1.03574154129101
X10u_0	5	0.064812224041276	0.290492358241649	0.751071018651363	X10u_05	b	-23.768056	133.626111	1.26063221174101
X11b1_0	5	0.0480633614702426	0.268942853372047	0.727010033444816	X11b1_05	b	-23.916858	132.735055	1.18704697286544
X11b2_0	5	0.0637316012780891	0.372860473457676	0.744803014404274	X11b2_05	b	-23.916858	132.735055	1.28245416896352
X11b3_0	5	0.0468206937095826	0.363519974330178	0.772008249182193	X11b3_05	b	-23.916858	132.735055	1.22197292908933
