site	ar_default_adapt
X01b_04	1.04431159020394
X01u_05	1.19653965801275
X02b_05	1.04429795568613
X02u_05	1.04898500335807
X03b_05	1.26497557056396
X03u_05	1.04759705843682
X05b_05	1.06061007898936
X05u_05	1.06988888888889
X06b_05	1.07807385138623
X06u_04	1.04831162121268
X07b_05	1.10788810807342
X07u_05	1.07047774384885
X08b_05	1.08189038085543
X08u_05	1.23646857012316
X10b_05	1.04176838003553
X10u_05	1.26163483902558
X11b1_05	1.18768517783248
X11b2_05	1.27260553544945
X11b3_05	1.21877803993728
