site	max_n	Ho	He	Fis
X01b_0	4	0.0714627865052794	0.04001554001554	-0.723284457478006
X01u_0	5	0.0779886685552408	0.217636316201409	0.609457831325301
X02b_0	5	0.073426735218509	0.0407809278350515	-0.671286089238845
X02u_0	5	0.049171826625387	0.0536213287710294	-0.0497984886649874
X03b_0	5	0.0688848920863309	0.327352857549047	0.737253363228699
X03u_0	5	0.0752584975721222	0.044536023054755	-0.607154696132597
X05b_0	5	0.0895460874408243	0.0582477774591339	-0.402512820512821
X05u_0	5	0.0679605633802817	0.0728600702576112	0.0485666666666667
X06b_0	5	0.10346542771249	0.0788681948424069	-0.23932735426009
X06u_0	4	0.0655076207698269	0.044833813137922	-0.453858695652174
X07b_0	5	0.110586253369272	0.110787172011662	-0.167380530973451
X07u_0	5	0.0956863250064383	0.0678638011393061	-0.261601423487545
X08b_0	5	0.124625042416016	0.0761511789181692	-0.613105590062112
X08u_0	5	0.0724518118735544	0.258586872586873	0.70986529318542
X10b_0	5	0.0706034038164002	0.0384597402597403	-0.761419939577039
X10u_0	5	0.073706940874036	0.291504264667873	0.717620111731844
X11b1_0	5	0.0539244024458032	0.276557203389831	0.694386825508059
X11b2_0	5	0.0689512394442931	0.365494158509631	0.716214689265537
X11b3_0	5	0.0500716734185104	0.367847435335379	0.752669230769231
