lind	locus
1	L8
2	L9
3	L29
4	L41
5	L47
6	L59
7	L130
8	L151
9	L153
10	L157
11	L176
12	L185
13	L205
14	L207
15	L209
16	L214
17	L232
18	L238
19	L274
20	L287
21	L300
22	L316
23	L326
24	L352
25	L372
26	L376
27	L379
28	L383
29	L397
30	L401
31	L409
32	L410
33	L416
34	L428
35	L430
36	L433
37	L434
38	L439
39	L444
40	L447
41	L465
42	L473
43	L478
44	L480
45	L482
46	L490
47	L495
48	L496
49	L505
50	L508
51	L509
52	L513
53	L515
54	L521
55	L522
56	L524
57	L525
58	L534
59	L541
60	L542
61	L545
62	L546
63	L547
64	L548
65	L549
66	L551
67	L554
68	L556
69	L558
70	L563
71	L565
72	L572
73	L576
74	L578
75	L579
76	L581
77	L582
78	L585
79	L588
80	L592
81	L593
82	L597
83	L602
84	L613
85	L619
86	L624
87	L632
88	L647
89	L648
90	L659
91	L663
92	L673
93	L676
94	L685
95	L694
96	L695
97	L706
98	L707
99	L710
100	L713
101	L715
102	L719
103	L722
104	L724
105	L725
106	L739
107	L741
108	L744
109	L746
110	L753
111	L755
112	L764
113	L768
114	L771
115	L777
116	L782
117	L784
118	L785
119	L794
120	L801
121	L805
122	L808
123	L810
124	L813
125	L815
126	L816
127	L821
128	L822
129	L823
130	L824
131	L825
132	L827
133	L828
134	L829
135	L830
136	L838
137	L844
138	L846
139	L859
140	L863
141	L871
142	L880
143	L884
144	L890
145	L896
146	L899
147	L901
148	L905
149	L907
150	L909
151	L911
152	L924
153	L929
154	L931
155	L936
156	L938
157	L939
158	L940
159	L943
160	L949
161	L950
162	L952
163	L956
164	L960
165	L968
166	L969
167	L971
168	L978
169	L982
170	L985
171	L986
172	L989
173	L990
174	L993
175	L1001
176	L1006
177	L1008
178	L1020
179	L1022
180	L1023
181	L1028
182	L1029
183	L1031
184	L1034
185	L1038
186	L1042
187	L1044
188	L1046
189	L1047
190	L1048
191	L1050
192	L1064
193	L1071
194	L1074
195	L1075
196	L1077
197	L1081
198	L1089
199	L1096
200	L1098
201	L1102
202	L1108
203	L1123
204	L1130
205	L1131
206	L1138
207	L1139
208	L1145
209	L1146
210	L1150
211	L1152
212	L1154
213	L1161
214	L1171
215	L1174
216	L1176
217	L1177
218	L1178
219	L1179
220	L1185
221	L1196
222	L1199
223	L1204
224	L1205
225	L1209
226	L1214
227	L1218
228	L1225
229	L1229
230	L1230
231	L1233
232	L1242
233	L1243
234	L1253
235	L1254
236	L1255
237	L1257
238	L1263
239	L1267
240	L1280
241	L1281
242	L1283
243	L1284
244	L1288
245	L1296
246	L1299
247	L1300
248	L1301
249	L1304
250	L1306
251	L1307
252	L1316
253	L1321
254	L1323
255	L1333
256	L1336
257	L1343
258	L1345
259	L1347
260	L1350
261	L1352
262	L1355
263	L1356
264	L1359
265	L1362
266	L1364
267	L1370
268	L1372
269	L1373
270	L1377
271	L1379
272	L1382
273	L1385
274	L1389
275	L1396
276	L1404
277	L1406
278	L1408
279	L1413
280	L1414
281	L1416
282	L1419
283	L1421
284	L1424
285	L1425
286	L1433
287	L1435
288	L1445
289	L1446
290	L1449
291	L1460
292	L1462
293	L1463
294	L1466
295	L1471
296	L1475
297	L1476
298	L1482
299	L1483
300	L1485
301	L1486
302	L1496
303	L1499
304	L1501
305	L1504
306	L1508
307	L1511
308	L1512
309	L1515
310	L1516
311	L1518
312	L1522
313	L1525
314	L1548
315	L1550
316	L1551
317	L1552
318	L1561
319	L1563
320	L1567
321	L1568
322	L1575
323	L1577
324	L1587
325	L1592
326	L1596
327	L1601
328	L1603
329	L1606
330	L1608
331	L1615
332	L1616
333	L1618
334	L1619
335	L1625
336	L1628
337	L1631
338	L1632
339	L1633
340	L1635
341	L1636
342	L1639
343	L1640
344	L1641
345	L1643
346	L1645
347	L1649
348	L1650
349	L1652
350	L1660
351	L1662
352	L1674
353	L1677
354	L1686
355	L1689
356	L1692
357	L1695
358	L1699
359	L1702
360	L1704
361	L1706
362	L1710
363	L1720
364	L1723
365	L1724
366	L1725
367	L1727
368	L1734
369	L1735
370	L1740
371	L1744
372	L1748
373	L1751
374	L1753
375	L1758
376	L1766
377	L1767
378	L1769
379	L1774
380	L1781
381	L1783
382	L1786
383	L1787
384	L1797
385	L1801
386	L1802
387	L1803
388	L1806
389	L1811
390	L1812
391	L1818
392	L1820
393	L1824
394	L1829
395	L1832
396	L1837
397	L1838
398	L1839
399	L1840
400	L1842
401	L1847
402	L1852
403	L1854
404	L1856
405	L1861
406	L1863
407	L1864
408	L1874
409	L1885
410	L1888
411	L1894
412	L1895
413	L1900
414	L1901
415	L1904
416	L1906
417	L1908
418	L1910
419	L1913
420	L1919
421	L1928
422	L1930
423	L1931
424	L1932
425	L1944
426	L1945
427	L1953
428	L1954
429	L1958
430	L1963
431	L1965
432	L1966
433	L1972
434	L1976
435	L1980
436	L1981
437	L1982
438	L1989
439	L1996
440	L2001
441	L2008
442	L2012
443	L2013
444	L2014
445	L2018
446	L2020
447	L2023
448	L2026
449	L2031
450	L2035
451	L2037
452	L2038
453	L2041
454	L2054
455	L2056
456	L2057
457	L2058
458	L2059
459	L2061
460	L2063
461	L2067
462	L2069
463	L2070
464	L2075
465	L2077
466	L2079
467	L2080
468	L2083
469	L2084
470	L2088
471	L2090
472	L2092
473	L2096
474	L2100
475	L2108
476	L2111
477	L2113
478	L2117
479	L2118
480	L2119
481	L2121
482	L2123
483	L2126
484	L2127
485	L2128
486	L2129
487	L2130
488	L2132
489	L2139
490	L2141
491	L2145
492	L2146
493	L2154
494	L2157
495	L2159
496	L2163
497	L2167
498	L2178
499	L2179
500	L2183
501	L2184
502	L2186
503	L2188
504	L2189
505	L2191
506	L2197
507	L2199
508	L2204
509	L2205
510	L2207
511	L2209
512	L2210
513	L2211
514	L2213
515	L2230
516	L2231
517	L2232
518	L2234
519	L2237
520	L2238
521	L2239
522	L2246
523	L2248
524	L2250
525	L2251
526	L2254
527	L2258
528	L2263
529	L2271
530	L2274
531	L2276
532	L2278
533	L2280
534	L2296
535	L2297
536	L2303
537	L2311
538	L2313
539	L2321
540	L2325
541	L2326
542	L2335
543	L2336
544	L2339
545	L2344
546	L2353
547	L2355
548	L2360
549	L2363
550	L2365
551	L2370
552	L2371
553	L2377
554	L2381
555	L2388
556	L2390
557	L2391
558	L2393
559	L2398
560	L2403
561	L2404
562	L2405
563	L2408
564	L2409
565	L2411
566	L2415
567	L2419
568	L2420
569	L2421
570	L2422
571	L2424
572	L2426
573	L2429
574	L2437
575	L2439
576	L2447
577	L2451
578	L2456
579	L2458
580	L2467
581	L2468
582	L2473
583	L2475
584	L2477
585	L2478
586	L2481
587	L2483
588	L2484
589	L2493
590	L2500
591	L2504
592	L2507
593	L2509
594	L2512
595	L2514
596	L2517
597	L2524
598	L2525
599	L2530
600	L2531
601	L2535
602	L2536
603	L2539
604	L2540
605	L2541
606	L2545
607	L2548
608	L2560
609	L2567
610	L2569
611	L2571
612	L2579
613	L2580
614	L2582
615	L2583
616	L2587
617	L2589
618	L2596
619	L2608
620	L2617
621	L2618
622	L2619
623	L2625
624	L2634
625	L2638
626	L2640
627	L2641
628	L2644
629	L2650
630	L2651
631	L2662
632	L2666
633	L2679
634	L2683
635	L2684
636	L2696
637	L2702
638	L2703
639	L2707
640	L2708
641	L2714
642	L2716
643	L2720
644	L2731
645	L2737
646	L2743
647	L2746
648	L2747
649	L2749
650	L2753
651	L2757
652	L2762
653	L2777
654	L2780
655	L2781
656	L2784
657	L2786
658	L2790
659	L2797
660	L2799
661	L2800
662	L2801
663	L2808
664	L2809
665	L2810
666	L2817
667	L2818
668	L2822
669	L2824
670	L2832
671	L2833
672	L2845
673	L2849
674	L2850
675	L2851
676	L2860
677	L2861
678	L2862
679	L2873
680	L2874
681	L2875
682	L2881
683	L2882
684	L2886
685	L2893
686	L2897
687	L2899
688	L2903
689	L2904
690	L2908
691	L2912
692	L2919
693	L2920
694	L2926
695	L2928
696	L2930
697	L2931
698	L2932
699	L2933
700	L2938
701	L2944
702	L2945
703	L2946
704	L2948
705	L2961
706	L2971
707	L2972
708	L2973
709	L2975
710	L2984
711	L2990
712	L2995
713	L2997
714	L3003
715	L3018
716	L3019
717	L3025
718	L3030
719	L3036
720	L3037
721	L3043
722	L3047
723	L3048
724	L3054
725	L3057
726	L3058
727	L3060
728	L3064
729	L3067
730	L3075
731	L3080
732	L3082
733	L3098
734	L3100
735	L3103
736	L3104
737	L3105
738	L3110
739	L3115
740	L3118
741	L3119
742	L3120
743	L3124
744	L3128
745	L3131
746	L3132
747	L3139
748	L3140
749	L3143
750	L3145
751	L3146
752	L3148
753	L3150
754	L3154
755	L3155
756	L3158
757	L3159
758	L3171
759	L3173
760	L3175
761	L3181
762	L3185
763	L3187
764	L3188
765	L3193
766	L3197
767	L3202
768	L3204
769	L3206
770	L3211
771	L3212
772	L3214
773	L3217
774	L3218
775	L3219
776	L3221
777	L3223
778	L3224
779	L3225
780	L3227
781	L3233
782	L3238
783	L3241
784	L3243
785	L3244
786	L3245
787	L3251
788	L3257
789	L3258
790	L3269
791	L3271
792	L3277
793	L3282
794	L3283
795	L3284
796	L3285
797	L3295
798	L3296
799	L3297
800	L3300
801	L3303
802	L3304
803	L3307
804	L3313
805	L3316
806	L3317
807	L3320
808	L3323
809	L3328
810	L3329
811	L3330
812	L3337
813	L3339
814	L3340
815	L3343
816	L3347
817	L3352
818	L3361
819	L3364
820	L3374
821	L3378
822	L3385
823	L3388
824	L3390
825	L3391
826	L3392
827	L3393
828	L3396
829	L3397
830	L3400
831	L3401
832	L3403
833	L3405
834	L3409
835	L3416
836	L3417
837	L3419
838	L3422
839	L3436
840	L3440
841	L3446
842	L3448
843	L3454
844	L3455
845	L3457
846	L3466
847	L3471
848	L3473
849	L3475
850	L3491
851	L3498
852	L3500
853	L3505
854	L3508
855	L3516
856	L3517
857	L3518
858	L3529
859	L3530
860	L3534
861	L3539
862	L3543
863	L3548
864	L3560
865	L3569
866	L3581
867	L3582
868	L3583
869	L3595
870	L3596
871	L3598
872	L3599
873	L3607
874	L3609
875	L3610
876	L3617
877	L3619
878	L3621
879	L3626
880	L3628
881	L3629
882	L3634
883	L3639
884	L3640
885	L3646
886	L3650
887	L3654
888	L3655
889	L3663
890	L3664
891	L3666
892	L3669
893	L3672
894	L3673
895	L3679
896	L3680
897	L3691
898	L3696
899	L3699
900	L3717
901	L3718
902	L3728
903	L3731
904	L3736
905	L3737
906	L3742
907	L3744
908	L3749
909	L3750
910	L3760
911	L3767
912	L3770
913	L3774
914	L3779
915	L3780
916	L3782
917	L3786
918	L3798
919	L3799
920	L3803
921	L3808
922	L3809
923	L3810
924	L3811
925	L3812
926	L3815
927	L3822
928	L3826
929	L3834
930	L3840
931	L3851
932	L3854
933	L3863
934	L3864
935	L3865
936	L3871
937	L3872
938	L3874
939	L3877
940	L3879
941	L3882
942	L3886
943	L3896
944	L3907
945	L3919
946	L3921
947	L3922
948	L3923
949	L3924
950	L3929
951	L3936
952	L3943
953	L3947
954	L3948
955	L3949
956	L3955
957	L3957
958	L3961
959	L3962
960	L3963
961	L3969
962	L3970
963	L3973
964	L3976
965	L3978
966	L3981
967	L3987
968	L3990
969	L3994
970	L3995
971	L4001
972	L4002
973	L4003
974	L4007
975	L4008
976	L4013
977	L4015
978	L4023
979	L4024
980	L4025
981	L4034
982	L4037
983	L4040
984	L4042
985	L4044
986	L4046
987	L4048
988	L4049
989	L4050
990	L4051
991	L4059
992	L4064
993	L4066
994	L4067
995	L4072
996	L4073
997	L4075
998	L4082
999	L4084
1000	L4087
1001	L4091
1002	L4093
1003	L4094
1004	L4095
1005	L4096
1006	L4099
1007	L4106
1008	L4108
1009	L4109
1010	L4112
1011	L4120
1012	L4127
1013	L4129
1014	L4130
1015	L4131
1016	L4136
1017	L4139
1018	L4145
1019	L4146
1020	L4149
1021	L4150
1022	L4151
1023	L4152
1024	L4153
1025	L4156
1026	L4166
1027	L4169
1028	L4171
1029	L4176
1030	L4184
1031	L4185
1032	L4188
1033	L4189
1034	L4192
1035	L4196
1036	L4202
1037	L4203
1038	L4204
1039	L4205
1040	L4209
1041	L4213
1042	L4214
1043	L4216
1044	L4218
1045	L4224
1046	L4225
1047	L4234
1048	L4238
1049	L4239
1050	L4242
1051	L4249
1052	L4251
1053	L4254
1054	L4259
1055	L4260
1056	L4267
1057	L4268
1058	L4279
1059	L4283
1060	L4284
1061	L4289
1062	L4290
1063	L4293
1064	L4303
1065	L4308
1066	L4315
1067	L4319
1068	L4329
1069	L4339
1070	L4344
1071	L4346
1072	L4347
1073	L4349
1074	L4355
1075	L4358
1076	L4359
1077	L4360
1078	L4372
1079	L4373
1080	L4375
1081	L4377
1082	L4380
1083	L4383
1084	L4384
1085	L4386
1086	L4394
1087	L4396
1088	L4398
1089	L4411
1090	L4412
1091	L4422
1092	L4423
1093	L4436
1094	L4440
1095	L4443
1096	L4456
1097	L4463
1098	L4467
1099	L4468
1100	L4470
1101	L4473
1102	L4475
1103	L4477
1104	L4480
1105	L4482
1106	L4484
1107	L4495
1108	L4508
1109	L4509
1110	L4517
1111	L4519
1112	L4521
1113	L4523
1114	L4524
1115	L4527
1116	L4536
1117	L4542
1118	L4547
1119	L4550
1120	L4553
1121	L4582
1122	L4584
1123	L4586
1124	L4592
1125	L4594
1126	L4595
1127	L4599
1128	L4602
1129	L4603
1130	L4604
1131	L4606
1132	L4609
1133	L4610
1134	L4615
1135	L4618
1136	L4621
1137	L4622
1138	L4623
1139	L4634
1140	L4636
1141	L4638
1142	L4639
1143	L4641
1144	L4644
1145	L4653
1146	L4654
1147	L4655
1148	L4662
1149	L4668
1150	L4677
1151	L4683
1152	L4684
1153	L4687
1154	L4698
1155	L4705
1156	L4708
1157	L4712
1158	L4716
1159	L4726
1160	L4736
1161	L4738
1162	L4742
1163	L4745
1164	L4748
1165	L4753
1166	L4754
1167	L4759
1168	L4765
1169	L4771
1170	L4772
1171	L4775
1172	L4779
1173	L4780
1174	L4782
1175	L4785
1176	L4788
1177	L4790
1178	L4793
1179	L4796
1180	L4799
1181	L4806
1182	L4810
1183	L4811
1184	L4812
1185	L4816
1186	L4818
1187	L4821
1188	L4826
1189	L4830
1190	L4843
1191	L4853
1192	L4856
1193	L4857
1194	L4859
1195	L4865
1196	L4870
1197	L4872
1198	L4879
1199	L4883
1200	L4884
1201	L4885
1202	L4891
1203	L4900
1204	L4909
1205	L4915
1206	L4916
1207	L4923
1208	L4935
1209	L4940
1210	L4945
1211	L4946
1212	L4947
1213	L4950
1214	L4952
1215	L4953
1216	L4960
1217	L4961
1218	L4967
1219	L4970
1220	L4972
1221	L4973
1222	L4975
1223	L4978
1224	L4980
1225	L4983
1226	L4984
1227	L4985
1228	L4992
1229	L4997
1230	L4998
1231	L5003
1232	L5006
1233	L5008
1234	L5016
1235	L5021
1236	L5024
1237	L5033
1238	L5035
1239	L5037
1240	L5052
1241	L5059
1242	L5069
1243	L5072
1244	L5075
1245	L5079
1246	L5084
1247	L5086
1248	L5089
1249	L5090
1250	L5093
1251	L5094
1252	L5096
1253	L5097
1254	L5104
1255	L5112
1256	L5113
1257	L5115
1258	L5118
1259	L5125
1260	L5130
1261	L5132
1262	L5137
1263	L5138
1264	L5139
1265	L5143
1266	L5155
1267	L5157
1268	L5160
1269	L5168
1270	L5169
1271	L5170
1272	L5172
1273	L5174
1274	L5177
1275	L5180
1276	L5184
1277	L5185
1278	L5188
1279	L5194
1280	L5195
1281	L5199
1282	L5202
1283	L5203
1284	L5211
1285	L5217
1286	L5218
1287	L5219
1288	L5220
1289	L5222
1290	L5225
1291	L5226
1292	L5227
1293	L5228
1294	L5231
1295	L5232
1296	L5240
1297	L5246
1298	L5249
1299	L5253
1300	L5255
1301	L5257
1302	L5259
1303	L5263
1304	L5264
1305	L5266
1306	L5267
1307	L5275
1308	L5276
1309	L5280
1310	L5282
1311	L5286
1312	L5287
1313	L5290
1314	L5302
1315	L5306
1316	L5307
1317	L5310
1318	L5312
1319	L5320
1320	L5323
1321	L5325
1322	L5332
1323	L5334
1324	L5335
1325	L5340
1326	L5341
1327	L5344
1328	L5346
1329	L5347
1330	L5348
1331	L5349
1332	L5357
1333	L5358
1334	L5359
1335	L5360
1336	L5362
1337	L5363
1338	L5364
1339	L5373
1340	L5374
1341	L5383
1342	L5385
1343	L5387
1344	L5395
1345	L5404
1346	L5411
1347	L5415
1348	L5419
1349	L5427
1350	L5429
1351	L5434
1352	L5440
1353	L5441
1354	L5442
1355	L5448
1356	L5453
1357	L5455
1358	L5461
1359	L5463
1360	L5465
1361	L5472
1362	L5473
1363	L5483
1364	L5484
1365	L5489
1366	L5497
1367	L5498
1368	L5502
1369	L5503
1370	L5507
1371	L5512
1372	L5513
1373	L5515
1374	L5518
1375	L5520
1376	L5528
1377	L5543
1378	L5545
1379	L5546
1380	L5549
1381	L5551
1382	L5558
1383	L5560
1384	L5565
1385	L5567
1386	L5570
1387	L5571
1388	L5576
1389	L5577
1390	L5580
1391	L5585
1392	L5587
1393	L5590
1394	L5598
1395	L5602
1396	L5606
1397	L5611
1398	L5613
1399	L5614
1400	L5620
1401	L5624
1402	L5627
1403	L5632
1404	L5642
1405	L5644
1406	L5646
1407	L5657
1408	L5663
1409	L5664
1410	L5667
1411	L5684
1412	L5687
1413	L5694
1414	L5695
1415	L5700
1416	L5711
1417	L5716
1418	L5717
1419	L5718
1420	L5723
1421	L5725
1422	L5726
1423	L5731
1424	L5735
1425	L5741
1426	L5753
1427	L5755
1428	L5764
1429	L5765
1430	L5780
1431	L5784
1432	L5809
1433	L5817
1434	L5818
1435	L5819
1436	L5824
1437	L5825
1438	L5836
1439	L5843
1440	L5847
1441	L5856
1442	L5857
1443	L5858
1444	L5864
1445	L5866
1446	L5867
1447	L5878
1448	L5887
1449	L5888
1450	L5890
1451	L5892
1452	L5894
1453	L5896
1454	L5899
1455	L5901
1456	L5907
1457	L5913
1458	L5916
1459	L5936
1460	L5938
1461	L5939
1462	L5960
1463	L5961
1464	L5962
1465	L5963
1466	L5965
1467	L5971
1468	L5977
1469	L5978
1470	L5980
1471	L5987
1472	L5992
1473	L5996
1474	L5998
1475	L5999
1476	L6004
1477	L6009
1478	L6010
1479	L6012
1480	L6016
1481	L6021
1482	L6027
1483	L6030
1484	L6040
1485	L6053
1486	L6055
1487	L6057
1488	L6062
1489	L6063
1490	L6066
1491	L6083
1492	L6086
1493	L6097
1494	L6098
1495	L6100
1496	L6101
1497	L6104
1498	L6105
1499	L6111
1500	L6112
1501	L6115
1502	L6118
1503	L6122
1504	L6128
1505	L6133
1506	L6134
1507	L6135
1508	L6136
1509	L6138
1510	L6139
1511	L6140
1512	L6141
1513	L6149
1514	L6157
1515	L6158
1516	L6159
1517	L6160
1518	L6167
1519	L6177
1520	L6180
1521	L6181
1522	L6182
1523	L6189
1524	L6195
1525	L6196
1526	L6200
1527	L6201
1528	L6202
1529	L6204
1530	L6207
1531	L6212
1532	L6216
1533	L6218
1534	L6228
1535	L6229
1536	L6243
1537	L6246
1538	L6247
1539	L6263
1540	L6268
1541	L6273
1542	L6275
1543	L6277
1544	L6280
1545	L6283
1546	L6287
1547	L6291
1548	L6292
1549	L6296
1550	L6301
1551	L6308
1552	L6312
1553	L6317
1554	L6318
1555	L6324
1556	L6325
1557	L6328
1558	L6332
1559	L6333
1560	L6336
1561	L6347
1562	L6349
1563	L6350
1564	L6355
1565	L6356
1566	L6359
1567	L6360
1568	L6364
1569	L6365
1570	L6368
1571	L6371
1572	L6373
1573	L6374
1574	L6379
1575	L6381
1576	L6383
1577	L6386
1578	L6387
1579	L6392
1580	L6394
1581	L6402
1582	L6409
1583	L6410
1584	L6413
1585	L6414
1586	L6416
1587	L6420
1588	L6427
1589	L6432
1590	L6434
1591	L6437
1592	L6438
1593	L6440
1594	L6441
1595	L6442
1596	L6445
1597	L6447
1598	L6449
1599	L6452
1600	L6456
1601	L6457
1602	L6461
1603	L6463
1604	L6471
1605	L6476
1606	L6480
1607	L6482
1608	L6488
1609	L6489
1610	L6498
1611	L6501
1612	L6506
1613	L6507
1614	L6508
1615	L6512
1616	L6514
1617	L6526
1618	L6530
1619	L6531
1620	L6532
1621	L6533
1622	L6538
1623	L6546
1624	L6551
1625	L6552
1626	L6558
1627	L6564
1628	L6565
1629	L6567
1630	L6572
1631	L6573
1632	L6588
1633	L6589
1634	L6592
1635	L6596
1636	L6600
1637	L6601
1638	L6602
1639	L6607
1640	L6608
1641	L6611
1642	L6617
1643	L6618
1644	L6620
1645	L6623
1646	L6624
1647	L6626
1648	L6628
1649	L6629
1650	L6634
1651	L6648
1652	L6651
1653	L6656
1654	L6661
1655	L6662
1656	L6663
1657	L6664
1658	L6665
1659	L6666
1660	L6667
1661	L6668
1662	L6671
1663	L6675
1664	L6690
1665	L6693
1666	L6700
1667	L6701
1668	L6702
1669	L6707
1670	L6708
1671	L6709
1672	L6716
1673	L6719
1674	L6723
1675	L6728
1676	L6732
1677	L6735
1678	L6739
1679	L6740
1680	L6744
1681	L6746
1682	L6749
1683	L6753
1684	L6758
1685	L6760
1686	L6762
1687	L6766
1688	L6769
1689	L6773
1690	L6781
1691	L6782
1692	L6783
1693	L6784
1694	L6786
1695	L6788
1696	L6789
1697	L6791
1698	L6793
1699	L6794
1700	L6800
1701	L6804
1702	L6805
1703	L6807
1704	L6810
1705	L6811
1706	L6812
1707	L6832
1708	L6838
1709	L6844
1710	L6846
1711	L6847
1712	L6853
1713	L6857
1714	L6859
1715	L6863
1716	L6864
1717	L6866
1718	L6867
1719	L6876
1720	L6879
1721	L6883
1722	L6890
1723	L6891
1724	L6893
1725	L6897
1726	L6902
1727	L6903
1728	L6905
1729	L6911
1730	L6918
1731	L6919
1732	L6921
1733	L6923
1734	L6925
1735	L6926
1736	L6937
1737	L6950
1738	L6955
1739	L6961
1740	L6962
1741	L6963
1742	L6968
1743	L6970
1744	L6977
1745	L6982
1746	L6984
1747	L6985
1748	L6987
1749	L6989
1750	L6993
1751	L6996
1752	L7000
1753	L7003
1754	L7004
1755	L7007
1756	L7013
1757	L7018
1758	L7026
1759	L7031
1760	L7033
1761	L7034
1762	L7038
1763	L7039
1764	L7040
1765	L7046
1766	L7048
1767	L7050
1768	L7051
1769	L7053
1770	L7059
1771	L7063
1772	L7065
1773	L7066
1774	L7071
1775	L7074
1776	L7076
1777	L7077
1778	L7080
1779	L7083
1780	L7084
1781	L7096
1782	L7097
1783	L7110
1784	L7114
1785	L7115
1786	L7120
1787	L7121
1788	L7129
1789	L7132
1790	L7136
1791	L7138
1792	L7139
1793	L7141
1794	L7143
1795	L7145
1796	L7146
1797	L7148
1798	L7150
1799	L7158
1800	L7163
1801	L7165
1802	L7168
1803	L7173
1804	L7174
1805	L7178
1806	L7183
1807	L7193
1808	L7196
1809	L7197
1810	L7198
1811	L7201
1812	L7204
1813	L7208
1814	L7222
1815	L7229
1816	L7231
1817	L7234
1818	L7247
1819	L7253
1820	L7256
1821	L7257
1822	L7264
1823	L7268
1824	L7276
1825	L7280
1826	L7300
1827	L7302
1828	L7304
1829	L7309
1830	L7313
1831	L7315
1832	L7317
1833	L7320
1834	L7323
1835	L7330
1836	L7332
1837	L7341
1838	L7342
1839	L7344
1840	L7345
1841	L7347
1842	L7349
1843	L7352
1844	L7353
1845	L7358
1846	L7360
1847	L7367
1848	L7372
1849	L7373
1850	L7375
1851	L7384
1852	L7399
1853	L7408
1854	L7412
1855	L7413
1856	L7414
1857	L7415
1858	L7423
1859	L7426
1860	L7430
1861	L7432
1862	L7440
1863	L7444
1864	L7445
1865	L7446
1866	L7449
1867	L7450
1868	L7453
1869	L7454
1870	L7458
1871	L7463
1872	L7464
1873	L7465
1874	L7469
1875	L7474
1876	L7475
1877	L7480
1878	L7483
1879	L7485
1880	L7487
1881	L7491
1882	L7495
1883	L7498
1884	L7502
1885	L7507
1886	L7508
1887	L7510
1888	L7515
1889	L7516
1890	L7522
1891	L7529
1892	L7537
1893	L7550
1894	L7557
1895	L7561
1896	L7566
1897	L7574
1898	L7579
1899	L7584
1900	L7589
1901	L7590
1902	L7597
1903	L7616
1904	L7618
1905	L7620
1906	L7630
1907	L7654
1908	L7659
1909	L7661
1910	L7664
1911	L7670
1912	L7671
1913	L7674
1914	L7675
1915	L7679
1916	L7681
1917	L7685
1918	L7687
1919	L7689
1920	L7692
1921	L7694
1922	L7697
1923	L7699
1924	L7703
1925	L7704
1926	L7712
1927	L7714
1928	L7720
1929	L7724
1930	L7742
1931	L7743
1932	L7746
1933	L7748
1934	L7752
1935	L7756
1936	L7757
1937	L7763
1938	L7765
1939	L7767
1940	L7768
1941	L7774
1942	L7780
1943	L7781
1944	L7790
1945	L7791
1946	L7795
1947	L7796
1948	L7797
1949	L7798
1950	L7808
1951	L7811
1952	L7812
1953	L7818
1954	L7822
1955	L7830
1956	L7832
1957	L7833
1958	L7834
1959	L7849
1960	L7853
1961	L7858
1962	L7860
1963	L7863
1964	L7872
1965	L7874
