lind	locus
1	L41
2	L82
3	L98
4	L151
5	L157
6	L201
7	L209
8	L214
9	L326
10	L394
11	L450
12	L496
13	L515
14	L516
15	L534
16	L545
17	L554
18	L572
19	L577
20	L585
21	L606
22	L621
23	L640
24	L648
25	L675
26	L681
27	L684
28	L695
29	L706
30	L725
31	L759
32	L772
33	L791
34	L805
35	L812
36	L817
37	L824
38	L838
39	L840
40	L844
41	L853
42	L876
43	L890
44	L899
45	L906
46	L908
47	L909
48	L911
49	L924
50	L927
51	L945
52	L950
53	L956
54	L990
55	L1000
56	L1023
57	L1042
58	L1053
59	L1072
60	L1102
61	L1103
62	L1110
63	L1114
64	L1122
65	L1131
66	L1137
67	L1138
68	L1140
69	L1146
70	L1156
71	L1173
72	L1176
73	L1179
74	L1197
75	L1218
76	L1225
77	L1229
78	L1236
79	L1243
80	L1254
81	L1255
82	L1260
83	L1282
84	L1284
85	L1308
86	L1317
87	L1359
88	L1362
89	L1372
90	L1382
91	L1389
92	L1397
93	L1404
94	L1408
95	L1414
96	L1416
97	L1421
98	L1433
99	L1460
100	L1463
101	L1471
102	L1496
103	L1504
104	L1507
105	L1511
106	L1542
107	L1548
108	L1569
109	L1577
110	L1603
111	L1631
112	L1640
113	L1641
114	L1646
115	L1652
116	L1660
117	L1676
118	L1706
119	L1718
120	L1727
121	L1732
122	L1742
123	L1744
124	L1749
125	L1751
126	L1753
127	L1758
128	L1766
129	L1769
130	L1796
131	L1797
132	L1803
133	L1818
134	L1824
135	L1830
136	L1841
137	L1854
138	L1856
139	L1859
140	L1864
141	L1875
142	L1887
143	L1889
144	L1893
145	L1900
146	L1901
147	L1906
148	L1910
149	L1919
150	L1923
151	L1965
152	L1996
153	L1997
154	L1999
155	L2001
156	L2002
157	L2014
158	L2037
159	L2043
160	L2058
161	L2059
162	L2066
163	L2079
164	L2090
165	L2100
166	L2108
167	L2113
168	L2136
169	L2157
170	L2167
171	L2197
172	L2203
173	L2209
174	L2213
175	L2254
176	L2266
177	L2269
178	L2276
179	L2282
180	L2311
181	L2313
182	L2336
183	L2353
184	L2377
185	L2390
186	L2398
187	L2404
188	L2409
189	L2419
190	L2424
191	L2435
192	L2451
193	L2455
194	L2460
195	L2468
196	L2477
197	L2478
198	L2483
199	L2486
200	L2507
201	L2509
202	L2514
203	L2540
204	L2557
205	L2558
206	L2582
207	L2616
208	L2619
209	L2632
210	L2639
211	L2644
212	L2650
213	L2657
214	L2661
215	L2664
216	L2668
217	L2669
218	L2670
219	L2673
220	L2681
221	L2683
222	L2684
223	L2703
224	L2707
225	L2714
226	L2743
227	L2749
228	L2753
229	L2757
230	L2772
231	L2777
232	L2806
233	L2808
234	L2826
235	L2837
236	L2847
237	L2857
238	L2861
239	L2866
240	L2892
241	L2897
242	L2909
243	L2910
244	L2926
245	L2957
246	L2959
247	L2975
248	L2990
249	L3011
250	L3023
251	L3030
252	L3051
253	L3054
254	L3067
255	L3098
256	L3100
257	L3103
258	L3131
259	L3132
260	L3143
261	L3148
262	L3159
263	L3161
264	L3166
265	L3185
266	L3194
267	L3204
268	L3209
269	L3211
270	L3214
271	L3218
272	L3236
273	L3238
274	L3269
275	L3289
276	L3295
277	L3307
278	L3316
279	L3338
280	L3342
281	L3360
282	L3385
283	L3390
284	L3391
285	L3392
286	L3396
287	L3397
288	L3400
289	L3401
290	L3419
291	L3437
292	L3473
293	L3490
294	L3491
295	L3495
296	L3498
297	L3508
298	L3509
299	L3517
300	L3529
301	L3534
302	L3543
303	L3558
304	L3560
305	L3569
306	L3582
307	L3595
308	L3615
309	L3619
310	L3642
311	L3646
312	L3656
313	L3660
314	L3666
315	L3669
316	L3685
317	L3689
318	L3717
319	L3731
320	L3737
321	L3750
322	L3763
323	L3779
324	L3780
325	L3819
326	L3822
327	L3824
328	L3840
329	L3871
330	L3940
331	L3946
332	L3948
333	L3967
334	L3969
335	L3976
336	L4046
337	L4048
338	L4050
339	L4064
340	L4075
341	L4091
342	L4139
343	L4150
344	L4188
345	L4189
346	L4209
347	L4219
348	L4224
349	L4237
350	L4256
351	L4259
352	L4267
353	L4279
354	L4307
355	L4315
356	L4319
357	L4327
358	L4349
359	L4360
360	L4371
361	L4383
362	L4425
363	L4446
364	L4463
365	L4467
366	L4473
367	L4504
368	L4508
369	L4519
370	L4522
371	L4532
372	L4533
373	L4547
374	L4569
375	L4574
376	L4578
377	L4603
378	L4615
379	L4618
380	L4621
381	L4640
382	L4644
383	L4654
384	L4664
385	L4677
386	L4685
387	L4704
388	L4705
389	L4729
390	L4734
391	L4753
392	L4763
393	L4765
394	L4771
395	L4774
396	L4782
397	L4785
398	L4788
399	L4796
400	L4799
401	L4800
402	L4802
403	L4812
404	L4840
405	L4849
406	L4891
407	L4900
408	L4905
409	L4916
410	L4939
411	L4940
412	L4945
413	L4947
414	L4952
415	L4957
416	L4960
417	L4961
418	L4978
419	L4990
420	L4997
421	L5003
422	L5005
423	L5006
424	L5008
425	L5021
426	L5024
427	L5040
428	L5045
429	L5069
430	L5079
431	L5086
432	L5093
433	L5104
434	L5116
435	L5125
436	L5139
437	L5143
438	L5160
439	L5173
440	L5203
441	L5219
442	L5246
443	L5247
444	L5276
445	L5282
446	L5286
447	L5287
448	L5294
449	L5306
450	L5307
451	L5310
452	L5312
453	L5321
454	L5323
455	L5325
456	L5335
457	L5360
458	L5429
459	L5461
460	L5465
461	L5473
462	L5474
463	L5491
464	L5519
465	L5541
466	L5545
467	L5546
468	L5560
469	L5571
470	L5585
471	L5590
472	L5627
473	L5642
474	L5644
475	L5646
476	L5654
477	L5664
478	L5674
479	L5700
480	L5713
481	L5726
482	L5728
483	L5741
484	L5755
485	L5756
486	L5765
487	L5786
488	L5818
489	L5819
490	L5831
491	L5834
492	L5858
493	L5864
494	L5870
495	L5878
496	L5884
497	L5896
498	L5904
499	L5938
500	L5962
501	L5985
502	L5991
503	L5999
504	L6005
505	L6011
506	L6030
507	L6047
508	L6057
509	L6063
510	L6107
511	L6122
512	L6134
513	L6135
514	L6139
515	L6141
516	L6149
517	L6158
518	L6159
519	L6177
520	L6196
521	L6212
522	L6218
523	L6228
524	L6246
525	L6247
526	L6268
527	L6288
528	L6318
529	L6324
530	L6325
531	L6332
532	L6333
533	L6336
534	L6339
535	L6343
536	L6347
537	L6371
538	L6377
539	L6384
540	L6387
541	L6399
542	L6427
543	L6439
544	L6447
545	L6449
546	L6455
547	L6457
548	L6475
549	L6476
550	L6496
551	L6506
552	L6524
553	L6564
554	L6565
555	L6575
556	L6582
557	L6592
558	L6593
559	L6620
560	L6655
561	L6685
562	L6690
563	L6696
564	L6701
565	L6707
566	L6713
567	L6719
568	L6735
569	L6739
570	L6745
571	L6752
572	L6753
573	L6774
574	L6781
575	L6794
576	L6795
577	L6800
578	L6804
579	L6805
580	L6807
581	L6810
582	L6812
583	L6831
584	L6847
585	L6859
586	L6879
587	L6893
588	L6903
589	L6917
590	L6919
591	L6950
592	L6970
593	L6985
594	L7004
595	L7007
596	L7011
597	L7033
598	L7064
599	L7066
600	L7080
601	L7084
602	L7132
603	L7136
604	L7138
605	L7139
606	L7142
607	L7143
608	L7145
609	L7148
610	L7151
611	L7152
612	L7158
613	L7183
614	L7186
615	L7191
616	L7195
617	L7197
618	L7208
619	L7209
620	L7222
621	L7229
622	L7234
623	L7235
624	L7256
625	L7270
626	L7276
627	L7302
628	L7305
629	L7309
630	L7339
631	L7342
632	L7352
633	L7358
634	L7360
635	L7363
636	L7370
637	L7379
638	L7408
639	L7412
640	L7413
641	L7426
642	L7463
643	L7470
644	L7475
645	L7500
646	L7516
647	L7550
648	L7573
649	L7580
650	L7612
651	L7664
652	L7677
653	L7681
654	L7688
655	L7703
656	L7719
657	L7743
658	L7746
659	L7752
660	L7753
661	L7755
662	L7765
663	L7768
