site	max_n	Ho	He	Fis	treatment	lat	long	ar
X01b_0	4	0.0714627865052794	0.04001554001554	-0.723284457478006	u	-23.943611	132.786667	1.04431159020394
X01u_0	5	0.0779886685552408	0.217636316201409	0.609457831325301	b	-23.943611	132.786389	1.19653965801275
X02b_0	5	0.073426735218509	0.0407809278350515	-0.671286089238845	b	-23.938056	132.873889	1.04429795568613
X02u_0	5	0.049171826625387	0.0536213287710294	-0.0497984886649874	u	-23.937778	132.874167	1.04898500335807
X03b_0	5	0.0688848920863309	0.327352857549047	0.737253363228699	u	-23.940278	132.977778	1.26497557056396
X03u_0	5	0.0752584975721222	0.044536023054755	-0.607154696132597	b	-23.940556	132.978056	1.04759705843682
X05b_0	5	0.0895460874408243	0.0582477774591339	-0.402512820512821	u	-23.966389	133.153333	1.06061007898936
X05u_0	5	0.0679605633802817	0.0728600702576112	0.0485666666666667	b	-23.965	133.153333	1.06988888888889
X06b_0	5	0.10346542771249	0.0788681948424069	-0.23932735426009	b	-23.9575	133.245833	1.07807385138623
X06u_0	4	0.0655076207698269	0.044833813137922	-0.453858695652174	u	-23.956944	133.245556	1.04831162121268
X07b_0	5	0.110586253369272	0.110787172011662	-0.167380530973451	b	-23.907778	133.330833	1.10788810807342
X07u_0	5	0.0956863250064383	0.0678638011393061	-0.261601423487545	u	-23.907778	133.330833	1.07047774384885
X08b_0	5	0.124625042416016	0.0761511789181692	-0.613105590062112	u	-23.845833	133.453611	1.08189038085543
X08u_0	5	0.0724518118735544	0.258586872586873	0.70986529318542	b	-23.846111	133.454167	1.23646857012316
X10b_0	5	0.0706034038164002	0.0384597402597403	-0.761419939577039	u	-23.768333	133.626389	1.04176838003553
X10u_0	5	0.073706940874036	0.291504264667873	0.717620111731844	b	-23.768056	133.626111	1.26163483902558
X11b1_0	5	0.0539244024458032	0.276557203389831	0.694386825508059	b	-23.916858	132.735055	1.18768517783248
X11b2_0	5	0.0689512394442931	0.365494158509631	0.716214689265537	b	-23.916858	132.735055	1.27260553544945
X11b3_0	5	0.0500716734185104	0.367847435335379	0.752669230769231	b	-23.916858	132.735055	1.21877803993728
