locus	lind	pca_outl	lfmm_outl
L8	1	0	0
L9	2	0	0
L29	3	0	0
L41	4	0	0
L47	5	0	0
L59	6	0	0
L64	7	1	0
L130	8	0	0
L151	9	0	0
L153	10	0	0
L157	11	0	0
L165	12	1	0
L169	13	1	0
L176	14	0	0
L185	15	0	0
L194	16	1	0
L198	17	1	0
L205	18	0	0
L207	19	0	0
L209	20	0	0
L214	21	0	0
L232	22	0	0
L238	23	0	0
L274	24	0	0
L276	25	1	0
L287	26	0	0
L300	27	0	0
L316	28	0	0
L319	29	1	0
L322	30	1	0
L326	31	0	0
L352	32	0	0
L363	33	1	0
L366	34	1	0
L367	35	1	0
L372	36	0	0
L376	37	0	0
L379	38	0	0
L383	39	0	0
L394	40	1	0
L397	41	0	0
L400	42	1	0
L401	43	0	0
L409	44	0	0
L410	45	0	0
L416	46	0	0
L422	47	1	0
L428	48	0	0
L430	49	0	0
L433	50	0	0
L434	51	0	0
L439	52	0	0
L444	53	0	0
L447	54	0	0
L465	55	0	0
L473	56	0	0
L478	57	0	0
L480	58	0	0
L482	59	0	0
L490	60	0	0
L495	61	0	0
L496	62	0	0
L505	63	0	0
L508	64	0	0
L509	65	0	0
L513	66	0	0
L515	67	0	0
L516	68	1	0
L521	69	0	0
L522	70	0	0
L524	71	0	0
L525	72	0	0
L534	73	0	0
L541	74	0	0
L542	75	0	0
L545	76	0	0
L546	77	0	0
L547	78	0	0
L548	79	0	0
L549	80	0	0
L551	81	0	0
L554	82	0	0
L556	83	0	0
L558	84	0	0
L563	85	0	0
L565	86	0	0
L569	87	1	0
L572	88	0	0
L576	89	0	0
L578	90	0	0
L579	91	0	0
L581	92	0	0
L582	93	0	0
L585	94	0	0
L588	95	0	0
L592	96	0	0
L593	97	0	0
L594	98	1	0
L597	99	0	0
L598	100	1	0
L600	101	1	0
L602	102	0	0
L604	103	1	0
L606	104	1	0
L613	105	0	0
L617	106	1	0
L619	107	0	0
L623	108	1	0
L624	109	0	0
L628	110	1	0
L630	111	1	0
L632	112	0	0
L635	113	1	0
L641	114	1	0
L643	115	1	0
L647	116	0	0
L648	117	0	0
L659	118	0	0
L663	119	0	0
L666	120	1	0
L673	121	0	0
L675	122	1	0
L676	123	0	0
L678	124	1	0
L679	125	1	0
L681	126	1	0
L684	127	1	0
L685	128	0	0
L694	129	0	0
L695	130	0	0
L706	131	0	0
L707	132	0	0
L709	133	1	0
L710	134	0	0
L713	135	0	0
L715	136	0	0
L719	137	0	0
L722	138	0	0
L724	139	0	0
L725	140	0	0
L729	141	1	0
L739	142	0	0
L741	143	0	0
L744	144	0	0
L746	145	0	0
L753	146	0	0
L754	147	1	0
L755	148	0	0
L759	149	1	0
L764	150	0	0
L768	151	0	0
L770	152	1	0
L771	153	0	0
L777	154	0	0
