lind	locus	bs_outl
1	L6	0
2	L7	0
3	L8	0
4	L9	0
5	L11	0
6	L12	0
7	L17	0
8	L25	0
9	L26	0
10	L29	0
11	L31	0
12	L37	1
13	L41	0
14	L44	0
15	L47	0
16	L49	0
17	L53	0
18	L54	1
19	L55	1
20	L57	0
21	L59	0
22	L64	0
23	L72	0
24	L73	0
25	L80	0
26	L82	0
27	L83	0
28	L86	0
29	L88	0
30	L91	1
31	L92	1
32	L94	1
33	L97	0
34	L98	1
35	L99	0
36	L100	0
37	L103	0
38	L109	0
39	L111	0
40	L115	0
41	L116	0
42	L117	0
43	L118	0
44	L123	1
45	L128	0
46	L129	0
47	L130	0
48	L131	0
49	L140	0
50	L144	0
51	L151	0
52	L153	0
53	L154	0
54	L157	0
55	L159	0
56	L164	1
57	L165	0
58	L169	0
59	L171	0
60	L176	0
61	L177	0
62	L178	0
63	L183	0
64	L185	0
65	L188	0
66	L190	0
67	L193	0
68	L194	0
69	L196	0
70	L198	0
71	L199	0
72	L201	0
73	L205	1
74	L207	0
75	L209	0
76	L211	0
77	L214	0
78	L217	0
79	L219	0
80	L221	0
81	L222	1
82	L224	0
83	L226	0
84	L227	0
85	L231	0
86	L232	0
87	L233	0
88	L236	0
89	L237	1
90	L238	0
91	L240	0
92	L245	0
93	L248	0
94	L253	1
95	L254	1
96	L256	0
97	L260	0
98	L264	0
99	L265	0
100	L270	0
101	L274	0
102	L275	0
103	L276	0
104	L278	1
105	L279	1
106	L280	0
107	L282	1
108	L283	0
109	L284	0
110	L287	0
111	L288	0
112	L292	0
113	L293	0
114	L294	0
115	L298	0
116	L300	0
117	L301	0
118	L302	1
119	L304	0
120	L307	0
121	L308	1
122	L309	1
123	L310	1
124	L311	0
125	L314	0
126	L316	0
127	L318	0
128	L319	0
129	L320	0
130	L321	0
131	L322	0
132	L325	1
133	L326	0
134	L327	0
135	L328	0
136	L329	0
137	L331	0
138	L334	0
139	L336	0
140	L339	0
141	L340	0
142	L343	0
143	L350	0
144	L352	0
145	L353	1
146	L354	0
147	L356	0
148	L357	0
149	L358	1
150	L360	0
151	L363	0
152	L366	0
153	L367	0
154	L369	0
155	L372	0
156	L376	0
157	L377	0
158	L379	0
159	L382	1
160	L383	0
161	L384	0
162	L385	0
163	L389	0
164	L390	0
165	L393	0
166	L394	0
167	L395	0
168	L396	1
169	L397	0
170	L398	0
171	L399	1
172	L400	0
173	L401	0
174	L405	0
175	L407	0
176	L408	0
177	L409	0
178	L410	0
179	L412	0
180	L413	0
181	L414	1
182	L415	0
183	L416	0
184	L418	0
185	L419	0
186	L420	0
187	L421	0
188	L422	0
189	L423	0
190	L424	0
191	L425	0
192	L426	0
193	L427	0
194	L428	1
195	L430	0
196	L431	0
197	L432	0
198	L433	0
199	L434	0
200	L435	1
201	L436	0
202	L437	0
203	L438	0
204	L439	0
205	L440	0
206	L441	0
207	L442	0
208	L443	0
209	L444	0
210	L445	0
211	L447	0
212	L448	0
213	L449	0
214	L450	1
215	L451	0
216	L452	0
217	L453	1
218	L454	0
219	L457	0
220	L458	0
221	L459	0
