locus	for_removal
L10043	1
L10070	1
L1021	1
L10221	1
L10275	1
L10302	1
L10329	1
L11000	1
L1107	1
L11197	1
L11206	1
L1158	1
L11590	1
L11591	1
L11594	1
L11627	1
L11656	1
L1166	1
L11688	1
L11708	1
L1172	1
L11751	1
L11762	1
L11804	1
L11813	1
L11814	1
L11827	1
L11844	1
L11852	1
L1190	1
L11921	1
L1201	1
L12015	1
L12081	1
L12099	1
L12100	1
L12109	1
L12137	1
L12185	1
L12197	1
L12213	1
L12322	1
L12333	1
L12427	1
L12433	1
L1247	1
L12473	1
L12479	1
L12481	1
L12487	1
L12529	1
L12535	1
L12548	1
L12559	1
L12579	1
L12589	1
L12596	1
L1265	1
L12687	1
L12718	1
L12733	1
L12748	1
L12765	1
L12783	1
L12811	1
L12815	1
L12827	1
L12849	1
L12858	1
L12894	1
L12895	1
L12915	1
L12927	1
L12928	1
L12936	1
L13002	1
L13015	1
L1305	1
L13096	1
L13097	1
L13116	1
L13122	1
L13194	1
L13203	1
L13204	1
L13210	1
L13219	1
L13258	1
L13261	1
L13264	1
L13308	1
L13312	1
L13344	1
L13351	1
L13361	1
L13370	1
L13398	1
L13410	1
L13415	1
L13435	1
L13437	1
L13441	1
L13477	1
L13485	1
L13500	1
L13516	1
L13518	1
L13519	1
L13528	1
L13542	1
L13567	1
L13577	1
L13586	1
L13613	1
L13655	1
L13662	1
L13694	1
L13696	1
L13699	1
L13723	1
L13735	1
L13736	1
L13741	1
L13773	1
L13787	1
L13801	1
L13844	1
L13852	1
L13877	1
L1403	1
L14045	1
L14046	1
L14073	1
L14077	1
L14082	1
L14086	1
L14179	1
L14213	1
L14220	1
L14229	1
L14237	1
L14243	1
L14262	1
L14279	1
L1430	1
L14304	1
L14314	1
L14322	1
L14342	1
L14358	1
L14398	1
L1444	1
L14458	1
L14462	1
L14465	1
L14475	1
L14515	1
L14585	1
L14586	1
L14591	1
L14596	1
L14657	1
L14685	1
L14731	1
L14758	1
L14759	1
L14791	1
L14810	1
L14825	1
L14839	1
L14853	1
L14884	1
L14931	1
L14947	1
L14984	1
L14991	1
L15030	1
L15046	1
L15049	1
L15068	1
L15082	1
L15128	1
L15151	1
L15250	1
L15261	1
L15272	1
L15335	1
L15339	1
L15347	1
L15413	1
L15439	1
L15477	1
L15479	1
L15499	1
