SNP	PC
13	0
14	0
26	0
32	0
34	2
46	1
50	1
51	0
54	1
61	0
63	2
69	2
71	1
72	1
75	2
77	2
88	0
92	1
100	1
132	1
133	1
138	1
166	1
167	1
184	1
193	1
213	1
214	1
221	0
222	2
223	1
234	0
237	2
238	0
247	1
257	0
259	0
261	2
266	0
267	1
271	1
275	1
276	2
278	1
287	2
289	1
291	2
292	1
293	0
302	0
307	1
309	0
310	1
325	0
330	1
336	2
344	2
353	0
357	2
363	1
368	1
383	1
384	1
386	1
392	0
410	1
415	1
416	2
421	1
423	0
430	2
433	1
438	1
439	2
441	1
446	1
454	2
458	1
459	1
463	1
465	2
470	1
474	2
480	1
482	2
483	1
484	0
491	1
504	1
506	0
508	2
518	1
519	1
522	2
531	1
535	2
536	2
542	1
547	1
554	1
556	1
565	1
567	1
569	1
573	2
579	1
580	1
583	0
584	2
595	1
597	1
598	2
599	1
601	1
605	1
611	2
613	2
615	1
617	1
621	0
625	0
628	2
630	1
631	1
633	0
639	1
645	0
647	2
648	2
653	1
656	1
660	1
663	1
667	1
670	1
671	0
680	1
685	0
692	2
695	2
705	1
710	1
714	2
723	2
734	2
740	0
750	0
759	1
761	2
766	0
768	2
776	0
778	1
784	1
787	1
791	1
798	2
800	1
805	1
806	1
812	1
813	2
816	2
818	1
823	1
827	1
828	1
829	1
831	2
835	1
836	1
837	1
838	2
840	1
845	1
850	1
852	2
854	1
863	1
869	1
870	0
873	1
876	1
887	1
894	1
902	1
909	1
910	1
912	1
918	0
922	3
925	1
928	2
929	1
935	1
942	2
944	1
946	1
947	1
948	0
951	1
952	0
957	1
962	1
963	1
964	2
972	0
974	2
975	2
981	1
986	0
996	0
999	1
1001	1
1003	0
1021	2
1022	0
1037	1
1038	0
1041	0
1049	1
1056	1
1058	0
1063	1
1069	1
1071	1
1073	1
1076	1
1079	1
1085	1
1087	1
1091	2
1092	1
1098	1
1100	1
1101	1
1111	1
1115	1
1117	2
1120	2
1121	1
1123	2
1128	1
1129	2
1130	1
1143	2
1144	1
1149	1
1150	1
1152	0
1153	1
1158	1
1159	2
1162	2
1165	1
1166	1
1185	1
1186	2
1190	1
1192	1
1195	1
1214	0
1220	1
1221	1
1231	1
1238	1
1243	1
1244	1
1254	2
1270	1
1279	1
1280	1
1285	1
1286	1
1289	1
1290	1
1297	1
1299	3
1300	0
1302	1
1304	1
1308	2
1311	1
1316	2
1318	1
1319	0
1321	3
1335	2
1337	1
1338	2
1348	2
1354	1
1357	1
1366	1
1368	1
1373	2
1375	1
1376	2
1377	1
1378	1
1381	2
1386	2
1388	1
1391	1
1395	1
1400	2
1412	2
1413	2
1419	1
1421	1
1432	0
1435	1
1437	2
1439	1
1443	1
1446	1
1451	1
1462	0
1464	1
1467	1
1472	1
1480	1
1482	2
1492	1
1494	2
1504	1
1505	2
1506	1
1509	1
1510	1
1513	1
1522	2
1526	0
1527	0
1532	2
1544	1
1559	1
1565	0
1567	0
1575	1
1581	2
1583	1
1591	1
1592	1
1594	1
1596	1
1597	2
1607	2
1614	2
1615	0
1625	0
1628	1
1629	2
1634	1
1635	0
1645	0
1648	2
1649	1
1652	1
1656	2
1668	1
1671	1
1679	2
1688	1
1690	0
1692	1
1693	2
1695	0
1700	1
1708	1
1722	1
1736	2
1738	1
1740	1
1748	1
1754	1
1756	1
1779	1
1785	2
1790	1
1794	1
1827	1
1834	0
1838	1
1841	1
1848	1
1849	1
1853	1
1854	0
1855	2
1859	1
1861	1
1863	1
1871	0
1874	2
1876	0
1879	1
1880	1
1881	0
1883	2
1896	2
1903	1
1911	1
1915	1
1923	2
1924	2
1929	1
1930	1
1931	1
1936	0
1937	1
1943	1
1949	1
1950	0
1951	1
1952	2
1955	1
1960	1
1969	0
1973	1
1980	2
1982	1
1988	1
1996	1
1997	2
1998	2
2000	0
2004	1
2006	2
2010	2
2012	1
2017	0
2020	2
2021	2
2024	1
2026	1
2027	2
2028	1
2029	0
2033	0
2042	2
2043	0
2044	1
2048	0
2049	2
2056	1
2071	2
2074	0
2077	0
2082	1
2085	1
2086	0
2087	1
2092	1
2093	1
2109	1
2111	1
2123	1
2139	1
2140	1
2143	1
2151	1
2154	1
2155	1
2162	2
2167	2
2171	1
2173	0
2180	1
2184	1
2187	1
2189	1
2190	1
2191	1
2194	1
2195	0
2196	1
2201	1
2203	1
2204	1
2214	2
2215	1
2220	1
2222	2
2224	1
2227	2
2231	1
2234	2
2257	1
2258	2
2262	2
2263	1
2266	1
2267	1
2269	1
2270	1
2276	1
2282	1
2284	2
2287	1
2311	2
2315	1
2317	2
2332	1
2333	1
2336	2
2342	2
2343	1
2352	2
2361	1
2363	1
2365	1
2368	1
2378	1
2385	1
2391	2
2394	1
2396	2
2405	1
2406	1
2410	1
2419	1
2421	2
2426	2
2439	0
2447	1
2448	1
2449	2
2454	1
2464	1
2470	1
2476	1
2479	1
2491	2
2496	2
2497	0
2498	2
2499	2
2506	2
2507	2
2509	0
2510	1
2512	1
2513	1
2515	1
2532	1
2535	1
2548	1
2553	0
2555	2
2566	1
2574	2
2576	2
2578	1
2582	1
2587	0
2597	0
2601	2
2603	2
2604	2
2605	2
2606	0
2610	2
2613	0
2615	2
2619	2
2628	1
2629	1
2633	1
2634	0
2643	2
2650	1
2659	1
2665	0
2668	0
2672	1
2674	1
2675	1
2677	1
2681	1
2683	1
2697	2
2698	2
2722	1
2726	1
2727	2
2730	2
2741	1
2745	1
2749	0
2751	1
2755	2
2757	1
2760	1
2763	1
2772	1
2773	1
2774	1
2784	2
2788	0
2790	2
2803	1
2806	1
2812	0
2827	1
2831	0
2832	0
2833	2
2835	2
2836	1
2839	0
2840	1
2856	1
2870	1
2871	2
2872	2
2876	0
2881	1
2891	0
2901	1
2915	3
2916	0
2917	1
2920	1
2922	1
2923	2
2931	1
2932	1
2933	2
2938	1
2943	2
2945	0
2948	1
2950	1
2952	1
2955	1
2957	2
2960	0
2970	1
2973	1
2974	1
2975	2
2977	0
2981	1
2984	2
2991	1
2992	1
2999	2
3000	1
3005	2
3006	2
3007	1
3012	2
3013	2
3017	1
3020	2
3023	1
3026	1
3027	1
3028	0
3041	1
3045	1
3048	0
3057	1
3059	1
3061	1
3067	1
3069	1
3071	2
3074	2
3077	1
3084	0
3087	2
3088	2
3097	1
3099	0
3101	1
3112	1
3123	1
3129	0
3131	1
3139	2
3141	1
3147	1
3150	2
3152	2
3162	1
3163	2
3164	1
3165	1
3172	2
3174	1
3177	2
3184	2
3196	2
3197	1
3198	2
