locus_p	burn_unburnt_p	long_p	K3_p	bu_q	lo_q	K3_q	bu_outl	lo_outl	K_outl	never_outl	efs1	efs2	efs3
L8	0.196363226624331	0.399357755393669	0.568995550680484	0.991462278393732	0.989426167016211	0.946108481653743	0	0	0	0	-0.056007233981404	-0.0111619076414526	0.0692890924214373
L9	0.757486812370184	0.478472231338376	0.0689371575309705	0.996183797410054	0.989426167016211	0.79664355185614	0	0	0	0	-0.0283310621279001	-0.0171133651856653	0.167653813843524
L29	0.13665390641577	0.0538522581334999	0.446461584306081	0.991462278393732	0.75652106906342	0.946108481653743	0	0	0	0	0.0296048890993009	0.0129099071256641	-0.0433390600394787
L41	0.154130297705423	0.0928816950166328	0.40566344135303	0.991462278393732	0.862582091930461	0.946108481653743	0	0	0	0	-0.0357621741727824	-0.0136491219625463	0.0553329679631946
L47	0.405572291173478	0.569770759628473	0.78798025648388	0.992600216902284	0.989426167016211	0.947368710412278	0	0	0	0	-0.026502998157392	-0.00567444431586395	0.027500329457684
L59	0.650345517778844	0.774243399925001	0.33865873593017	0.996183797410054	0.992895057514437	0.946108481653743	0	0	0	0	-0.00885506445043477	-0.000815651001063166	0.0934738270803153
L64	0.608077021680454	0.487751665630754	0.300764047795029	0.993341640867463	0.989426167016211	0.946108481653743	0	0	0	0	-0.0472967090252311	0.00776734087166703	0.10892141596468
L130	0.0211565112984125	0.011109330201159	0.763332119374319	0.991462278393732	0.43302648819671	0.946108481653743	0	0	0	0	0.0385676482031139	0.0160580729294402	-0.0264935798675425
L151	0.50788069765599	0.276274784105762	0.97353597471539	0.992600216902284	0.988798438898697	0.958592302978742	0	0	0	0	-0.0240663575228646	-0.0177817693985943	0.0131739553148725
L153	0.998086676588685	0.10672932027082	0.0233143284610599	0.999975777638403	0.888218709151451	0.610316897963051	0	0	0	0	0.0348597907262096	0.0235368862460331	-0.165497780533042
L157	0.389616896733197	0.103297036119087	0.828628372181387	0.992600216902284	0.883315653666316	0.950315202198273	0	0	0	0	-0.0279603937791753	-0.0220183088441022	0.0309200881194641
L165	0.851376396558203	0.737505921163141	0.648829850435318	0.997497869529937	0.992895057514437	0.946108481653743	0	0	0	0	0.00958754787615821	0.00366402536788285	-0.0281186228572149
L169	0.752682178750433	0.182845522367635	0.889475827029331	0.996183797410054	0.957764455761902	0.953729025757179	0	0	0	0	-0.00743459680368729	-0.0162919624407063	0.0159908567149207
L176	0.194074052763347	0.947119940512042	0.128551509131647	0.991462278393732	0.997144292221144	0.882623710044875	0	0	0	0	0.0514811808677475	0.000871941971096905	-0.100775912777878
L185	0.466375622386934	0.210562032658762	0.126246027928452	0.992600216902284	0.971472061582144	0.879554863650771	0	0	0	0	0.0127818630407767	-0.00779178903122557	-0.108430622917812
L194	0.289246633257202	0.948350052419545	0.0413067389801469	0.991462278393732	0.997144292221144	0.728137888493237	0	0	0	0	-0.081044908969383	-0.0056596921785785	0.198932496619366
L198	0.425174251287882	0.154764880031098	0.727132778078773	0.992600216902284	0.941003663892735	0.946108481653743	0	0	0	0	0.0298756607686073	-0.0153557923819156	-0.0270627995475201
L205	0.612006102895647	0.290522080823729	0.961415759814695	0.993926235527832	0.988798438898697	0.95717300516806	0	0	0	0	-0.0112619500276259	-0.0111646152428689	0.00844679227504569
L207	0.793082008643814	0.463150758038535	0.459016271540978	0.996183797410054	0.989426167016211	0.946108481653743	0	0	0	0	-0.0256096695623474	0.00727995900943264	0.063077154234503
L209	0.7353733727939	0.301631110893759	0.841744965434069	0.996183797410054	0.989426167016211	0.951763531401383	0	0	0	0	-0.00238344439442797	-0.0123258101800535	-0.0139958874678735
L214	0.566170087317986	0.73698946428892	0.99273390011541	0.992600216902284	0.992895057514437	0.958733110854762	0	0	0	0	0.0213961087486893	-0.0066136085396592	-0.00296802367104183
L232	0.494362528807063	0.949073084398672	0.58106696695999	0.992600216902284	0.997144292221144	0.946108481653743	0	0	0	0	0.0331053661531647	0.00108565431882915	-0.0541368172644675
L238	0.701508417995412	0.975929190861694	0.870823456429795	0.996183797410054	0.997438864458459	0.953448288701497	0	0	0	0	0.00790693146736386	-0.00106803462308887	0.0111882832545406
L274	0.869213185755934	0.134452649017288	0.329697804891662	0.997964131263931	0.928688911587647	0.946108481653743	0	0	0	0	0.0286269050696804	-0.0149135653435903	-0.0765953236634751
L276	0.236531975466007	0.43391839238464	0.456171947711486	0.991462278393732	0.989426167016211	0.946108481653743	0	0	0	0	-0.0187507220489817	-0.00498699423505667	-0.0598418488828557
L287	0.255537178650555	0.240992484565106	0.25369412367148	0.991462278393732	0.982278436987327	0.946108481653743	0	0	0	0	-0.00612020930970901	-0.00838755353209691	-0.0897218577762393
L300	0.373761024755238	0.878758717031612	0.100101833559996	0.992600216902284	0.994159006648199	0.849969555279784	0	0	0	0	0.0117603591249806	0.00819369667827423	-0.192359793093644
L316	0.935588845284168	0.362438068225256	0.509642010675112	0.999185007410881	0.989426167016211	0.946108481653743	0	0	0	0	-0.0122920714206728	-0.0128773682105849	0.0557336179236226
L319	0.80914335828954	0.234146689042132	0.903373389042572	0.996183797410054	0.979020334934881	0.953729025757179	0	0	0	0	0.000333767769460946	0.0113673583108749	0.00551813812837354
L322	0.585370609282906	0.540099112020641	0.999477320776692	0.992600216902284	0.989426167016211	0.958766051799774	0	0	0	0	0.0165756445456537	-0.00805171410123942	-0.00242443221514908
L326	0.0724563288871893	0.445143285918871	0.209703810170912	0.991462278393732	0.989426167016211	0.937692351327347	0	0	0	0	-0.0238026451453464	-0.00108552674431716	-0.089966639583221
L352	0.257738315865547	0.149774150784295	0.680809688865751	0.991462278393732	0.936141820518134	0.946108481653743	0	0	0	0	-0.0209702321466852	-0.0146787190977699	-0.0262825313839467
L363	0.367197056405957	0.889840471721366	0.039374976951001	0.992600216902284	0.995761838510355	0.718249040411779	0	0	0	0	0.011144232086489	0.00779356834592674	-0.122702501173931
L366	0.779039104026046	0.739632221970516	0.3471836765864	0.996183797410054	0.992895057514437	0.946108481653743	0	0	0	0	0.02399475830843	-0.00138715420202861	-0.0671672128160934
L367	0.607379955370878	0.249616525882646	0.238888164848476	0.993341640867463	0.982887950420628	0.942704245309934	0	0	0	0	0.0113786453228418	-0.00795624104140857	-0.0814212758331961
L372	0.544355618529086	0.518705393538232	0.505573651630644	0.992600216902284	0.989426167016211	0.946108481653743	0	0	0	0	0.00166556764331822	0.00382506393367301	0.0445216822820759
L376	0.544022724742728	0.856737506199567	0.0456759367959474	0.992600216902284	0.992895057514437	0.738117957350749	0	0	0	0	-0.0570224099622584	-0.00284092473966857	0.164688587758549
L379	0.601557666926213	0.824094148859666	0.698225740892372	0.993341640867463	0.992895057514437	0.946108481653743	0	0	0	0	0.00624129299200335	-0.00399745049247336	0.022448635730611
L383	0.216096887371714	0.177081491678731	0.553222635681948	0.991462278393732	0.951046213930744	0.946108481653743	0	0	0	0	0.0273820543553407	-0.0203457668618544	0.0413831119309464
L394	0.0909281744465048	0.21760791925206	0.723479434133024	0.991462278393732	0.978202416007908	0.946108481653743	0	0	0	0	-0.0380268085481871	-0.0101289794122121	-0.0165389863485646
L397	0.317074721711479	0.263434665336468	0.554851396555302	0.992600216902284	0.988104796542183	0.946108481653743	0	0	0	0	-0.0104109242659005	-0.00744398464952029	-0.0320942299487656
L400	0.972577585828494	0.468504084135687	0.783271241566816	0.999185007410881	0.989426167016211	0.947368710412278	0	0	0	0	0.00369860015214461	0.00888565690409443	-0.0222193048804937
L401	0.478682977618082	0.191337060510885	0.613631970213581	0.992600216902284	0.96194882415367	0.946108481653743	0	0	0	0	0.0261202036764109	-0.0117860076730662	-0.0328204486602311
L409	0.665509157470306	0.517250528677916	0.0403178181682236	0.996183797410054	0.989426167016211	0.724019449514863	0	0	0	0	0.0594855832769165	-0.002338615689673	-0.181637310778313
L410	0.910936750129134	0.0476272135724746	0.258235336227416	0.999185007410881	0.740427929455618	0.946108481653743	0	0	0	0	-0.0454292565724232	0.0285598313510257	0.125613184927434
L416	0.339000734328766	0.362312454786491	0.337254669617555	0.992600216902284	0.989426167016211	0.946108481653743	0	0	0	0	-0.0620236720013977	-0.0170121236797116	0.123087674703016
L422	0.320004991706942	0.328078036779279	0.327221704562364	0.992600216902284	0.989426167016211	0.946108481653743	0	0	0	0	0.0385867090262268	0.0109623009425081	-0.0761297783335154
L428	0.404332070923683	0.24849373927701	0.0512564551506584	0.992600216902284	0.982278436987327	0.7494500942441	0	0	0	0	-0.0197857411119534	0.00597862192144982	0.158713024594565
L430	0.885709487992419	0.5	0.477646162844325	0.997986025199379	0.989426167016211	0.946108481653743	0	0	0	0	-0.0161606405787434	0.00483766038128436	0.0454533226290404
L433	0.188807681227027	0.0786526985244293	0.497474742805734	0.991462278393732	0.843371582214174	0.946108481653743	0	0	0	0	0.0284968120360625	0.0128868367077113	-0.0421608910215158
L434	0.730217178385625	0.259009314783501	0.621447744369939	0.996183797410054	0.985599744821119	0.946108481653743	0	0	0	0	0.0048567444506381	-0.0198265927949515	0.0495903297908593
L439	0.612658058708305	0.397706580746906	0.312213476624399	0.993926235527832	0.989426167016211	0.946108481653743	0	0	0	0	-0.0455581757533697	0.00980648327804018	0.102584961014321
L444	0.906338098745452	0.835206501880506	0.181115107659853	0.999185007410881	0.992895057514437	0.930148157217066	0	0	0	0	0.0223561422698838	0.00499027428943946	-0.0842222781851504
L447	0.307051291310564	0.575061487445643	0.943244663147539	0.99223392384122	0.989426167016211	0.956334587446579	0	0	0	0	-0.0336073950065367	-0.00546171658361052	0.00211004431425484
L465	0.54662593323895	0.180630909748447	0.561249448212058	0.992600216902284	0.956148619895313	0.946108481653743	0	0	0	0	0.00809752539809625	-0.0152533514382618	0.0360304083910856
L473	0.249857131755738	0.344756278339227	0.714195378984536	0.991462278393732	0.989426167016211	0.946108481653743	0	0	0	0	0.0245490081627364	0.00660462896548162	-0.0257771352812573
L478	0.555046397003218	0.772770187120577	0.444549164087187	0.992600216902284	0.992895057514437	0.946108481653743	0	0	0	0	0.00283813527900108	-0.00781759532637702	0.0635623626822443
L480	0.146077172353519	0.645664098043134	0.862795464066524	0.991462278393732	0.990954035005805	0.953176044071501	0	0	0	0	0.0472892339461784	-0.0111783137929905	0.00656375907106188
L482	0.486376559802982	0.186787358842011	0.264057866562652	0.992600216902284	0.95888602640949	0.946108481653743	0	0	0	0	0.0469082012465244	-0.0139373462434878	-0.0940623029853351
L490	0.989623450259431	0.285826891273142	0.547931175185638	0.999863890745166	0.988798438898697	0.946108481653743	0	0	0	0	-0.0106146823585064	-0.0180604387828105	0.0622732642680101
L495	0.579875540227242	0.724367017892624	0.947648650032248	0.992600216902284	0.992895057514437	0.956556434536214	0	0	0	0	0.0185790985314397	-0.00674251037944083	0.00279290207050805
L496	0.95249075768777	0.683106028832044	0.723123290655362	0.999185007410881	0.992895057514437	0.946108481653743	0	0	0	0	0.0112565395020278	-0.00432787870033187	-0.0317608623474609
L505	0.693464474597085	0.773007674721797	0.116238549002319	0.996183797410054	0.992895057514437	0.864595827707943	0	0	0	0	-0.0374102777957053	-0.00686628342617523	0.118177491929042
L508	0.21500459170172	0.755981630298383	0.359182062160863	0.991462278393732	0.992895057514437	0.946108481653743	0	0	0	0	0.0489995168090692	-0.00322152119634982	-0.0736770397521769
L509	0.250820208555365	0.988025168813609	0.0438543541526026	0.991462278393732	0.997467792458587	0.737529719181264	0	0	0	0	-0.0992067384260372	-0.00552125482986852	0.234037106478756
L513	0.068726611905715	0.573987391088148	0.517050767957491	0.991462278393732	0.989426167016211	0.946108481653743	0	0	0	0	-0.0453406085361719	0.00597117395062613	0.043202310631979
L515	0.736535195515219	0.555120708319211	0.421414123555341	0.996183797410054	0.989426167016211	0.946108481653743	0	0	0	0	-0.00554174516932609	-0.0132690026202014	0.0818358266892095
L516	0.274193161501096	0.781376438514566	0.838875920928675	0.991462278393732	0.992895057514437	0.951685753057207	0	0	0	0	-0.0307138174982199	-0.000242309485687151	-0.0107077508278905
L521	0.874554006295834	0.346904837436675	0.738287744308288	0.997964131263931	0.989426167016211	0.946108481653743	0	0	0	0	-0.000893367370534943	0.0103975235093073	-0.0226361591140378
L522	0.113050480438684	0.707572917171078	0.306397668665852	0.991462278393732	0.992895057514437	0.946108481653743	0	0	0	0	0.0818517663877733	-0.00588763182186873	-0.113832276686385
L524	0.102286356566952	0.58521155977499	0.708031625189484	0.991462278393732	0.989426167016211	0.946108481653743	0	0	0	0	0.0273914774541183	0.00121651292000702	0.0141046955349488
L525	0.392259251265615	0.969649275939263	0.183347927729078	0.992600216902284	0.997144292221144	0.932052220818354	0	0	0	0	-0.0422275456815436	-0.00155489040173681	0.0943195182840659
L534	0.316250201325158	0.998128051668867	0.367530995211277	0.992600216902284	0.997467792458587	0.946108481653743	0	0	0	0	0.0319609139788153	0.000448686292183523	-0.0549087085254819
L541	0.865756724788655	0.294171670154041	0.669230370131235	0.997964131263931	0.988798438898697	0.946108481653743	0	0	0	0	-0.0133905949070764	0.00918867588152718	0.0271186998776403
L542	0.645034886756751	0.965737661323377	0.101860447064781	0.996183797410054	0.997144292221144	0.85143909253339	0	0	0	0	0.0437978506413669	0.00454534277932241	-0.131236988636055
L545	0.405630416694973	0.793778626318489	0.39992705924609	0.992600216902284	0.992895057514437	0.946108481653743	0	0	0	0	-0.0067795263772307	0.00160472409072872	-0.0699191152669801
L546	0.0187268861605376	0.0665607943929201	0.521432363694811	0.991462278393732	0.798763996697079	0.946108481653743	0	0	0	0	-0.0388220945130024	0.0188294134779278	-0.0256670776450559
L547	0.941408304697327	0.203494304020318	0.573032478234273	0.999185007410881	0.971353070973707	0.946108481653743	0	0	0	0	0.0247010476545484	-0.0190549877176446	-0.0621028315670955
L548	0.391971671527997	0.450151963353144	0.873972372055485	0.992600216902284	0.989426167016211	0.953729025757179	0	0	0	0	0.0159588831550636	0.00488098813738496	-0.0125200311189324
L549	0.25418918996076	0.965487335716586	0.020964338264279	0.991462278393732	0.997144292221144	0.585767590831695	0	0	0	0	0.0120024271054434	0.00954787890698872	-0.164437857318978
L551	0.432708108917271	0.89560353927851	0.75391434871826	0.992600216902284	0.9967843418771	0.946108481653743	0	0	0	0	0.026621929153214	-0.0021474004847044	-0.0278205103591289
L554	0.429694415279811	0.0147854573730567	0.619858373823039	0.992600216902284	0.495857538226763	0.946108481653743	0	0	0	0	0.0165555436822622	-0.0256881730131951	0.030845824491551
L556	0.774859659268264	0.893089622278034	0.269163316476887	0.996183797410054	0.99644026957091	0.946108481653743	0	0	0	0	-0.0349884906224691	-0.00532299372604621	0.108660046278989
L558	0.454764522535486	0.463429151566885	0.199958378388811	0.992600216902284	0.989426167016211	0.937166586876595	0	0	0	0	0.00199299061628038	0.0178492043210713	-0.123212740555802
L563	0.776191775741838	0.298411795057509	0.34580416413066	0.996183797410054	0.988798438898697	0.946108481653743	0	0	0	0	-0.00809111840788309	-0.0185222061620072	0.0878951906578306
L565	0.544813291208999	0.740987735299552	0.94679235335409	0.992600216902284	0.992895057514437	0.956556434536214	0	0	0	0	0.015660347605425	-0.00406617739794675	-0.00698211949937298
L569	0.358116008818075	0.93264368664989	0.105002846829606	0.992600216902284	0.997144292221144	0.85143909253339	0	0	0	0	-0.0534159534815609	-0.00380122722585133	0.126917945486596
L572	0.289045936712545	0.994747552692735	0.741530588326373	0.991462278393732	0.997467792458587	0.946108481653743	0	0	0	0	0.0466900458008111	-0.00179896610975968	-0.042685245265871
L576	0.54887724679934	0.145668510010277	0.869475965493829	0.992600216902284	0.934719701919277	0.95332114837124	0	0	0	0	-0.014421609854823	0.0148218654270347	-0.00906652720990433
L578	0.447810240645261	0.720690398192228	0.582234515888885	0.992600216902284	0.992895057514437	0.946108481653743	0	0	0	0	-0.0268916145837535	-0.00372266904266389	0.0431014768614676
L579	0.985914677319456	0.679701233265639	0.872943987459562	0.999863890745166	0.992895057514437	0.953729025757179	0	0	0	0	0.00209701965761626	0.00502955822060697	-0.0127773494096016
L581	0.756665911580647	0.720346957908556	0.515823820748164	0.996183797410054	0.992895057514437	0.946108481653743	0	0	0	0	-0.0211175280481701	-0.00584672536846974	0.057114414305348
L582	0.266247259456341	0.0370644246016684	0.442796013981851	0.991462278393732	0.681686732465428	0.946108481653743	0	0	0	0	0.0273031634517844	0.017135233026121	-0.0500340875169755
L585	0.868123130369012	0.120536554160918	0.823719912041442	0.997964131263931	0.909822525118917	0.949731530573177	0	0	0	0	0.00320315125519403	0.0158621660137206	-0.0180996896934764
L588	0.590163564618147	0.864422530437047	0.843291176385748	0.99273516498646	0.992895057514437	0.951763531401383	0	0	0	0	0.0106425918101238	-0.00345485270721459	0.0114474523265306
