lind	locus	pvalue	qvalue	outlier	PC
1	L6	0.211881995840933	0.912657798644533	0	0
2	L7	0.573606880948215	0.977782934914601	0	0
3	L8	0.939016482912825	0.999999909923171	0	0
4	L9	0.859605283692161	0.977782934914601	0	0
5	L11	0.181707221092943	0.839049873428376	0	0
6	L12	0.13922782437198	0.720624481417594	0	0
7	L17	0.669034354747409	0.977782934914601	0	0
8	L25	0.152082642074868	0.760347572634989	0	0
9	L26	NA	NA	0	0
10	L29	NA	NA	0	0
11	L31	0.46167051340277	0.977782934914601	0	0
12	L37	0.609995454933993	0.977782934914601	0	0
13	L41	NA	NA	0	0
14	L44	NA	NA	0	0
15	L47	0.325906217557461	0.977782934914601	0	0
16	L49	0.434038561495259	0.977782934914601	0	0
17	L53	0.279249742944064	0.977782934914601	0	0
18	L54	0.377120697441496	0.977782934914601	0	0
19	L55	0.483485349406423	0.977782934914601	0	0
20	L57	0.999279082404986	0.999999909923171	0	0
21	L59	0.893872510550861	0.983662998424438	0	0
22	L64	0.740612582688437	0.977782934914601	0	0
23	L72	NA	NA	0	0
24	L73	0.836243772683083	0.977782934914601	0	0
25	L80	0.40298903945164	0.977782934914601	0	0
26	L82	NA	NA	0	0
27	L83	0.99030440913508	0.999999909923171	0	0
28	L86	0.511890416331015	0.977782934914601	0	0
29	L88	0.702897097772815	0.977782934914601	0	0
30	L91	NA	NA	0	0
31	L92	0.490443611683284	0.977782934914601	0	0
32	L94	NA	NA	0	0
33	L97	0.465283384610017	0.977782934914601	0	0
34	L98	0.000128292648095092	0.00155943550423248	1	2
35	L99	0.115829147609313	0.635405609742519	0	0
36	L100	NA	NA	0	0
37	L103	0.469006031233479	0.977782934914601	0	0
38	L109	0.402354869211646	0.977782934914601	0	0
39	L111	0.798316908142134	0.977782934914601	0	0
40	L115	0.871150746862626	0.977782934914601	0	0
41	L116	1.50133129308745e-10	4.88066090714452e-09	1	2
42	L117	0.903349119080323	0.9876730717722	0	0
43	L118	0.0119671747728388	0.103892894755357	0	0
44	L123	0.100537935056832	0.573626705570286	0	0
45	L128	0.847334824614676	0.977782934914601	0	0
46	L129	0.946680125823734	0.999999909923171	0	0
47	L130	0.872000818579254	0.977782934914601	0	0
48	L131	NA	NA	0	0
49	L140	0.891829618023043	0.983044502462871	0	0
50	L144	0.981328542291135	0.999999909923171	0	0
51	L151	NA	NA	0	0
52	L153	0.470818042745201	0.977782934914601	0	0
53	L154	0.374034788950709	0.977782934914601	0	0
54	L157	0.293536242794174	0.977782934914601	0	0
55	L159	0.837592555984808	0.977782934914601	0	0
56	L164	0.824363668329789	0.977782934914601	0	0
57	L165	0.742561443911808	0.977782934914601	0	0
58	L169	0.415986593888531	0.977782934914601	0	0
59	L171	0.588030744526521	0.977782934914601	0	0
60	L176	0.602267116135696	0.977782934914601	0	0
61	L177	NA	NA	0	0
62	L178	0.501044771558867	0.977782934914601	0	0
63	L183	0.00377828321005655	0.0367178126722274	1	2
64	L185	0.419259748849202	0.977782934914601	0	0
65	L188	0.911569812172837	0.991288794160535	0	0
66	L190	0.000491378801969101	0.00539197856837076	1	2
67	L193	NA	NA	0	0
68	L194	NA	NA	0	0
69	L196	0.200829808536003	0.885889042548562	0	0
70	L198	0.697431497259515	0.977782934914601	0	0
71	L199	0.606059974391457	0.977782934914601	0	0
72	L201	0.999952102962858	0.999999909923171	0	0
73	L205	0.999523980989987	0.999999909923171	0	0
74	L207	0.410647126598597	0.977782934914601	0	0
75	L209	4.88392560267977e-12	1.97310912798253e-10	1	2
76	L211	0.845398696331946	0.977782934914601	0	0
77	L214	0.248696914551352	0.973685698533031	0	0
78	L217	NA	NA	0	0
79	L219	0.57310064618689	0.977782934914601	0	0
80	L221	0.962907415854529	0.999999909923171	0	0
81	L222	0.49224121712272	0.977782934914601	0	0
82	L224	NA	NA	0	0
83	L226	0.428459451255805	0.977782934914601	0	0
84	L227	NA	NA	0	0
85	L231	0.0446454370644464	0.295639906414566	0	0
86	L232	2.14540615773025e-05	0.000303077865013991	1	2
87	L233	0.985366509394542	0.999999909923171	0	0
88	L236	NA	NA	0	0
89	L237	0.741679254327133	0.977782934914601	0	0
90	L238	5.29795218538994e-05	0.000690601779244829	1	2
91	L240	0.644470642053679	0.977782934914601	0	0
92	L245	0.55954881922276	0.977782934914601	0	0
93	L248	3.79713358083301e-05	0.0005102783689138	1	2
94	L253	0.66537830393933	0.977782934914601	0	0
95	L254	0.0116967092656707	0.101824659418985	0	0
96	L256	NA	NA	0	0
97	L260	0.863049161847679	0.977782934914601	0	0
98	L264	0.867517678233082	0.977782934914601	0	0
99	L265	0.474801018300065	0.977782934914601	0	0
100	L270	0.838386931037939	0.977782934914601	0	0
101	L274	0.543680842305558	0.977782934914601	0	0
102	L275	0.451566454973099	0.977782934914601	0	0
103	L276	0.847008345012345	0.977782934914601	0	0
104	L278	0.458762024524151	0.977782934914601	0	0
105	L279	0.849031209328737	0.977782934914601	0	0
106	L280	0.0611084013325323	0.384369079295595	0	0
107	L282	0.603103370853705	0.977782934914601	0	0
108	L283	0.821761259640107	0.977782934914601	0	0
109	L284	0.488220908643928	0.977782934914601	0	0
110	L287	NA	NA	0	0
111	L288	0.904428500855587	0.987988913659799	0	0
112	L292	3.17233301218446e-07	6.67342111618852e-06	1	2
113	L293	0.997035217122322	0.999999909923171	0	0
114	L294	0.84931941026252	0.977782934914601	0	0
115	L298	0.253594992628637	0.977782934914601	0	0
116	L300	0.328414792039094	0.977782934914601	0	0
117	L301	NA	NA	0	0
118	L302	0.870808508488591	0.977782934914601	0	0
119	L304	NA	NA	0	0
120	L307	0.11285438975642	0.623835125170958	0	0
121	L308	0.498745069204843	0.977782934914601	0	0
122	L309	NA	NA	0	0
123	L310	3.35923117521553e-07	7.05377654387251e-06	1	2
124	L311	0.531827152938219	0.977782934914601	0	0
125	L314	NA	NA	0	0
126	L316	0.202903627109465	0.890541405570615	0	0
127	L318	0.430884526554114	0.977782934914601	0	0
128	L319	0.974871301708786	0.999999909923171	0	0
129	L320	0.88785681499902	0.981950446739202	0	0
130	L321	0.386442414118303	0.977782934914601	0	0
131	L322	0.974428613218407	0.999999909923171	0	0
132	L325	0.830901941472814	0.977782934914601	0	0
133	L326	0.465548554938127	0.977782934914601	0	0
134	L327	0.494754422884095	0.977782934914601	0	0
135	L328	0.517929664814801	0.977782934914601	0	0
136	L329	NA	NA	0	0
137	L331	0.600567457417833	0.977782934914601	0	0
138	L334	0.148376701937211	0.747787507421933	0	0
139	L336	NA	NA	0	0
140	L339	0.574532790685266	0.977782934914601	0	0
141	L340	0.818276074753744	0.977782934914601	0	0
142	L343	0.727100162154966	0.977782934914601	0	0
143	L350	0.852461433405758	0.977782934914601	0	0
144	L352	0.53318200141783	0.977782934914601	0	0
145	L353	0.903198450970857	0.9876730717722	0	0
146	L354	0.414185737268071	0.977782934914601	0	0
147	L356	0.966912543453361	0.999999909923171	0	0
148	L357	0.274246012583398	0.977782934914601	0	0
149	L358	0.963195430827483	0.999999909923171	0	0
150	L360	NA	NA	0	0
151	L363	0.957274858500242	0.999999909923171	0	0
152	L366	0.704032422696578	0.977782934914601	0	0
153	L367	0.822390858791656	0.977782934914601	0	0
154	L369	0.78710728477471	0.977782934914601	0	0
155	L372	0.864199347660378	0.977782934914601	0	0
156	L376	0.931467181185828	0.999368511122953	0	0
157	L377	0.369235369554058	0.977782934914601	0	0
158	L379	0.280113918557693	0.977782934914601	0	0
159	L382	0.00334156393138042	0.0328063185267558	1	2
160	L383	0.000147389972949624	0.0017754233414022	1	2
161	L384	0.611173484409509	0.977782934914601	0	0
162	L385	0.900774452690807	0.986440845147505	0	0
163	L389	0.384057018774097	0.977782934914601	0	0
164	L390	0.724936745590157	0.977782934914601	0	0
165	L393	1.4745860562867e-05	0.000215586094354545	1	2
166	L394	0.899774895540829	0.986046031381206	0	0
167	L395	0.838851095755796	0.977782934914601	0	0
168	L396	NA	NA	0	0
169	L397	0.227857733148631	0.943307048519303	0	0
170	L398	0.815727952700797	0.977782934914601	0	0
171	L399	0.979084451388113	0.999999909923171	0	0
172	L400	0.865769695460415	0.977782934914601	0	0
173	L401	0.848009159759776	0.977782934914601	0	0
174	L405	0.309271534847529	0.977782934914601	0	0
175	L407	0.841096000296272	0.977782934914601	0	0
176	L408	0.773377392868217	0.977782934914601	0	0
177	L409	0.19710152649586	0.877500707383791	0	0
178	L410	NA	NA	0	0
179	L412	0.771529795066543	0.977782934914601	0	0
180	L413	0.85892262908918	0.977782934914601	0	0
181	L414	0.589849883031878	0.977782934914601	0	0
182	L415	0.387158067577168	0.977782934914601	0	0
183	L416	NA	NA	0	0
184	L418	0.842636359235936	0.977782934914601	0	0
185	L419	0.439410545389935	0.977782934914601	0	0
186	L420	0.830263116666961	0.977782934914601	0	0
187	L421	0.0490935260101185	0.319973408834141	0	0
188	L422	NA	NA	0	0
189	L423	NA	NA	0	0
190	L424	0.661052960757766	0.977782934914601	0	0
191	L425	0.540444055777106	0.977782934914601	0	0
192	L426	0.526332543089163	0.977782934914601	0	0
193	L427	0.672145834585945	0.977782934914601	0	0
194	L428	0.434693218276865	0.977782934914601	0	0
195	L430	0.683722042172554	0.977782934914601	0	0
196	L431	0.0924399809348281	0.536485340255035	0	0
197	L432	0.831059788913646	0.977782934914601	0	0
198	L433	0.273970546422455	0.977782934914601	0	0
199	L434	0.675475431178697	0.977782934914601	0	0
200	L435	NA	NA	0	0
201	L436	0.372226306593696	0.977782934914601	0	0
202	L437	NA	NA	0	0
203	L438	0.293779192558404	0.977782934914601	0	0
204	L439	0.647987451424752	0.977782934914601	0	0
205	L440	0.711133137762715	0.977782934914601	0	0
