lind	locus	pvalue	qvalue	outlier	PC
1	L6	0.0698157591008391	0.274337094105875	0	0
2	L7	0.741022944285325	0.999724242884966	0	0
3	L8	0.984396392322942	0.999724242884966	0	0
4	L9	0.961448339420543	0.999724242884966	0	0
5	L11	0.325468069769464	0.831666644163853	0	0
6	L12	0.153978702195131	0.51089057272152	0	0
7	L17	0.831014069921958	0.999724242884966	0	0
8	L25	0.021753241110203	0.0992475561325687	0	0
9	L26	NA	NA	0	0
10	L29	NA	NA	0	0
11	L31	0.502977523998555	0.999724242884966	0	0
12	L37	0.808144060074734	0.999724242884966	0	0
13	L41	NA	NA	0	0
14	L44	NA	NA	0	0
15	L47	0.108252358761666	0.391465761881936	0	0
16	L49	0.640160152905665	0.999724242884966	0	0
17	L53	1.31376296411388e-05	8.9223940842067e-05	1	2
18	L54	0.0029172324894422	0.0155038482142675	1	1
19	L55	0.194782593938343	0.601856913358699	0	0
20	L57	0.995838266235978	0.999724242884966	0	0
21	L59	0.858806918995131	0.999724242884966	0	0
22	L64	0.687256775886734	0.999724242884966	0	0
23	L72	NA	NA	0	0
24	L73	0.773492000036434	0.999724242884966	0	0
25	L80	0.530954976010093	0.999724242884966	0	0
26	L82	NA	NA	0	0
27	L83	0.973465435941125	0.999724242884966	0	0
28	L86	0.535527480003712	0.999724242884966	0	0
29	L88	0.848720141135783	0.999724242884966	0	0
30	L91	NA	NA	0	0
31	L92	0.0520161038754584	0.212616283448592	0	0
32	L94	NA	NA	0	0
33	L97	0.566094176794014	0.999724242884966	0	0
34	L98	1.38981276905582e-54	6.01479120177184e-53	1	2
35	L99	0.106889376497107	0.38766641745225	0	0
36	L100	NA	NA	0	0
37	L103	0.661978248154388	0.999724242884966	0	0
38	L109	0.184171934813446	0.579164155156717	0	0
39	L111	0.906787589352215	0.999724242884966	0	0
40	L115	0.966633684000968	0.999724242884966	0	0
41	L116	1.15785206492445e-29	2.39509970001515e-28	1	2
42	L117	0.98174019918873	0.999724242884966	0	0
43	L118	2.09814050717472e-23	3.41313163620223e-22	1	2
44	L123	0.174875679010438	0.558368209938509	0	0
45	L128	0.931092332835681	0.999724242884966	0	0
46	L129	0.9151451771878	0.999724242884966	0	0
47	L130	0.969401520311956	0.999724242884966	0	0
48	L131	NA	NA	0	0
49	L140	0.974507061779857	0.999724242884966	0	0
50	L144	0.208807970846482	0.631807394003872	0	0
51	L151	NA	NA	0	0
52	L153	0.523555659974009	0.999724242884966	0	0
53	L154	0.598717700428886	0.999724242884966	0	0
54	L157	0.323819637561843	0.829670244990848	0	0
55	L159	0.894566438578638	0.999724242884966	0	0
56	L164	0.924525396479049	0.999724242884966	0	0
57	L165	4.3606303528753e-08	3.35044497066378e-07	1	2
58	L169	0.570853034473208	0.999724242884966	0	0
59	L171	0.727306871791772	0.999724242884966	0	0
60	L176	0.764154224881378	0.999724242884966	0	0
61	L177	NA	NA	0	0
62	L178	3.83112259674058e-16	4.13604139428172e-15	1	2
63	L183	2.75147096342195e-07	2.03835256706117e-06	1	2
64	L185	0.320470900216982	0.824848917814229	0	0
65	L188	0.686128749327227	0.999724242884966	0	0
66	L190	3.5925985814798e-10	2.98612738348687e-09	1	2
67	L193	NA	NA	0	0
68	L194	NA	NA	0	0
69	L196	0.0179905163797808	0.084028908677432	0	0
70	L198	0.666496553010634	0.999724242884966	0	0
71	L199	0.734456962059998	0.999724242884966	0	0
72	L201	0.995883112742723	0.999724242884966	0	0
73	L205	0.967688981552192	0.999724242884966	0	0
74	L207	0.451576088543007	0.971900000893272	0	0
75	L209	2.64867238672163e-37	6.962682510087e-36	1	2
76	L211	0.922732524425842	0.999724242884966	0	0
77	L214	4.03251839573e-06	2.82024711789915e-05	1	2
78	L217	NA	NA	0	0
79	L219	0.0124537327013749	0.0604880669235752	0	0
80	L221	0.994493606794156	0.999724242884966	0	0
81	L222	0.716231546114731	0.999724242884966	0	0
82	L224	NA	NA	0	0
83	L226	0.0199975189380661	0.0922913383978316	0	0
84	L227	NA	NA	0	0
85	L231	0.0365143829088403	0.156101345165213	0	0
86	L232	3.40747678912508e-14	3.35267931414708e-13	1	2
87	L233	0.995101964194544	0.999724242884966	0	0
88	L236	NA	NA	0	0
89	L237	0.00930304854412201	0.046225270661328	1	2
90	L238	6.1187877092267e-14	5.95630561543547e-13	1	2
91	L240	0.746491087926046	0.999724242884966	0	0
92	L245	0.639801085782367	0.999724242884966	0	0
93	L248	1.41325462715231e-13	1.35149765555303e-12	1	2
94	L253	0.769536466635946	0.999724242884966	0	0
95	L254	2.11979701317118e-05	0.000142489721086509	1	2
96	L256	NA	NA	0	0
97	L260	0.950125119061266	0.999724242884966	0	0
98	L264	0.968613372177843	0.999724242884966	0	0
99	L265	0.472246195770571	0.986861082105766	0	0
100	L270	0.80699500852664	0.999724242884966	0	0
101	L274	0.640407333070754	0.999724242884966	0	0
102	L275	0.490246741189472	0.996668699532967	0	0
103	L276	0.956320137858532	0.999724242884966	0	0
104	L278	0.516504437067028	0.999724242884966	0	0
105	L279	0.933905491165377	0.999724242884966	0	0
106	L280	0.0204061564111212	0.0938598385985343	0	0
107	L282	5.20139877411509e-07	3.79506634889875e-06	1	2
108	L283	0.93630332468561	0.999724242884966	0	0
109	L284	0.643436183010533	0.999724242884966	0	0
110	L287	NA	NA	0	0
111	L288	0.967590633703666	0.999724242884966	0	0
112	L292	2.53077333047053e-25	4.45765001421752e-24	1	2
113	L293	0.996325773221251	0.999724242884966	0	0
114	L294	0.954184852007397	0.999724242884966	0	0
115	L298	0.226941429377975	0.667224311330227	0	0
116	L300	0.396206664364707	0.918426820524588	0	0
117	L301	NA	NA	0	0
118	L302	0.959883471166067	0.999724242884966	0	0
119	L304	NA	NA	0	0
120	L307	0.0502545580987401	0.20619201924999	0	0
121	L308	0.275345833921359	0.755055505439522	0	0
122	L309	NA	NA	0	0
123	L310	1.14607678414573e-21	1.64376642189981e-20	1	2
124	L311	0.164145900154705	0.534019689400516	0	0
125	L314	NA	NA	0	0
126	L316	0.216342001888756	0.647516772856606	0	0
127	L318	0.203038732423509	0.619807580129888	0	0
128	L319	0.99631307492354	0.999724242884966	0	0
129	L320	0.97098309691221	0.999724242884966	0	0
130	L321	0.487850474398758	0.996495618343694	0	0
131	L322	0.995252482937526	0.999724242884966	0	0
132	L325	0.938946703251512	0.999724242884966	0	0
133	L326	0.571075813894954	0.999724242884966	0	0
134	L327	0.135229469346042	0.464101769574725	0	0
135	L328	0.391008765931821	0.913827025137085	0	0
136	L329	NA	NA	0	0
137	L331	0.768799563525191	0.999724242884966	0	0
138	L334	0.163777692845167	0.533264943594567	0	0
139	L336	NA	NA	0	0
140	L339	0.715120070046899	0.999724242884966	0	0
141	L340	0.601107668796602	0.999724242884966	0	0
142	L343	0.375509764431069	0.896572488176347	0	0
143	L350	0.949274186533628	0.999724242884966	0	0
144	L352	0.589433382287347	0.999724242884966	0	0
145	L353	0.822621092199735	0.999724242884966	0	0
146	L354	0.611639680857214	0.999724242884966	0	0
147	L356	0.991909871634811	0.999724242884966	0	0
148	L357	0.221269955677025	0.656891636740814	0	0
149	L358	0.950845925461228	0.999724242884966	0	0
150	L360	NA	NA	0	0
151	L363	0.996248832344465	0.999724242884966	0	0
152	L366	0.822529472723074	0.999724242884966	0	0
153	L367	0.798014796317076	0.999724242884966	0	0
154	L369	0.875170841426703	0.999724242884966	0	0
155	L372	0.957709625769602	0.999724242884966	0	0
156	L376	0.700791512947057	0.999724242884966	0	0
157	L377	0.590655210847545	0.999724242884966	0	0
158	L379	0.0257317987680265	0.115028488652747	0	0
159	L382	8.39245306614798e-08	6.3721767304954e-07	1	2
160	L383	2.17852390823384e-11	1.90796529382415e-10	1	2
161	L384	0.73772532882539	0.999724242884966	0	0
162	L385	0.910390746976806	0.999724242884966	0	0
163	L389	0.435742197541777	0.95677720660718	0	0
164	L390	0.8495997174419	0.999724242884966	0	0
165	L393	1.51915730599403e-14	1.51837085700042e-13	1	2
166	L394	0.966739748710907	0.999724242884966	0	0
167	L395	0.942898065687059	0.999724242884966	0	0
168	L396	NA	NA	0	0
169	L397	0.054428603923729	0.221124952485087	0	0
170	L398	0.51271716814452	0.999724242884966	0	0
171	L399	0.995219098125978	0.999724242884966	0	0
172	L400	0.935861846223228	0.999724242884966	0	0
173	L401	0.953502647932786	0.999724242884966	0	0
174	L405	0.234293313167241	0.681438624048488	0	0
175	L407	0.940096388229747	0.999724242884966	0	0
176	L408	0.86223810149911	0.999724242884966	0	0
177	L409	0.193312389785498	0.598965065070044	0	0
178	L410	NA	NA	0	0
179	L412	0.79960298555454	0.999724242884966	0	0
180	L413	0.84941779056129	0.999724242884966	0	0
181	L414	0.553101883241678	0.999724242884966	0	0
182	L415	0.61785937166484	0.999724242884966	0	0
183	L416	NA	NA	0	0
184	L418	0.926986149268651	0.999724242884966	0	0
185	L419	0.333419127938031	0.84311879022793	0	0
186	L420	0.900517820718877	0.999724242884966	0	0
187	L421	0.0444239025712592	0.185363990351356	0	0
188	L422	NA	NA	0	0
189	L423	NA	NA	0	0
190	L424	0.321778866201998	0.826982632617353	0	0
191	L425	0.754158546030434	0.999724242884966	0	0
192	L426	0.589526698623282	0.999724242884966	0	0
193	L427	0.732320316622615	0.999724242884966	0	0
194	L428	0.664758767214502	0.999724242884966	0	0
195	L430	0.368199882787573	0.888356780878442	0	0
196	L431	0.0384988159990173	0.163478843303745	0	0
197	L432	0.941218899136521	0.999724242884966	0	0
198	L433	0.000108682277212602	0.00069710714243122	1	1
199	L434	0.000175792840528122	0.00110253614763279	1	2
200	L435	NA	NA	0	0
201	L436	0.565816314441987	0.999724242884966	0	0
202	L437	NA	NA	0	0
203	L438	0.272781103263194	0.750747517272711	0	0
204	L439	0.679088900007338	0.999724242884966	0	0
205	L440	0.600086462568479	0.999724242884966	0	0
206	L441	0.619079554063801	0.999724242884966	0	0
207	L442	0.579389485769828	0.999724242884966	0	0
208	L443	0.605534389886707	0.999724242884966	0	0
209	L444	0.526202669982497	0.999724242884966	0	0
210	L445	0.855022382321689	0.999724242884966	0	0
211	L447	0.0687042652625025	0.270642782407899	0	0
212	L448	NA	NA	0	0
213	L449	0.5169262836738	0.999724242884966	0	0
214	L450	0.395462125387893	0.917920102957525	0	0
215	L451	0.58943183375499	0.999724242884966	0	0
216	L452	0.58055761833824	0.999724242884966	0	0
217	L453	0.148353044716302	0.497689449751995	0	0
218	L454	0.133066252155826	0.458488835506572	0	0
219	L457	NA	NA	0	0
220	L458	3.27235430941806e-11	2.83381153652869e-10	1	1
221	L459	NA	NA	0	0
222	L460	0.243224945948307	0.698211904972375	0	0
223	L461	0.770525286515918	0.999724242884966	0	0
224	L462	0.365793460852787	0.885243500085428	0	0
225	L463	0.463560999398594	0.981070557057296	0	0
226	L464	0.956242811090309	0.999724242884966	0	0
227	L465	NA	NA	0	0
228	L466	NA	NA	0	0
229	L467	0.482624505620167	0.99370118662388	0	0
230	L468	0.970998542348312	0.999724242884966	0	0
231	L469	NA	NA	0	0
232	L470	NA	NA	0	0
233	L471	0.0154820842880457	0.0735923120199925	0	0
234	L472	NA	NA	0	0
235	L473	0.00040909635053655	0.00242982676018564	1	2
236	L474	0.518846102098693	0.999724242884966	0	0
237	L476	0.624095670607289	0.999724242884966	0	0
238	L477	NA	NA	0	0
239	L478	0.931949579263773	0.999724242884966	0	0
240	L479	0.330675240979777	0.83966286530244	0	0
241	L480	0.697677963045411	0.999724242884966	0	0
242	L481	NA	NA	0	0
243	L482	0.950152371179009	0.999724242884966	0	0
244	L483	0.245121398186095	0.701743045536138	0	0
245	L484	NA	NA	0	0
246	L485	0.937015574110023	0.999724242884966	0	0
247	L486	0.872617958594716	0.999724242884966	0	0
248	L487	0.405616630693845	0.926896517053796	0	0
249	L488	0.442732382668558	0.96372287895382	0	0
250	L489	0.252310975239744	0.714759456119815	0	0
251	L490	0.846271739386082	0.999724242884966	0	0
252	L491	0.704918481323223	0.999724242884966	0	0
253	L492	0.802137944994842	0.999724242884966	0	0
254	L493	0.773652469384297	0.999724242884966	0	0
255	L494	0.536324213815283	0.999724242884966	0	0
256	L495	NA	NA	0	0
257	L496	NA	NA	0	0
258	L497	0.166125368717451	0.538208210769414	0	0
259	L498	NA	NA	0	0
260	L499	NA	NA	0	0
261	L500	0.186463886938228	0.584573116723256	0	0
262	L502	0.00285506705008541	0.015189725983553	1	1
263	L503	0.00301688942339677	0.0160016699087125	1	1
264	L504	0.57337703707637	0.999724242884966	0	0
265	L505	0.438204106502992	0.959092398865851	0	0
266	L506	NA	NA	0	0
267	L507	0.351137773948596	0.866205114883287	0	0
268	L508	0.0125779606444879	0.0610232148984004	0	0
269	L509	NA	NA	0	0
270	L510	0.454532973146642	0.97375753658092	0	0
271	L511	0.742267901630168	0.999724242884966	0	0
272	L512	0.000238246888614595	0.00146514880076702	1	2
273	L513	9.00999907063827e-16	9.53457636123085e-15	1	2
274	L514	4.6870685864458e-07	3.42771480463309e-06	1	2
275	L515	0.204782761423623	0.623607652032399	0	0
276	L516	0.481437607842347	0.992667950532023	0	0
277	L517	NA	NA	0	0
278	L518	0.236657194180183	0.685816445309349	0	0
279	L519	0.124577461820769	0.436951549575634	0	0
280	L520	0.682412962468183	0.999724242884966	0	0
281	L521	0.698586470448006	0.999724242884966	0	0
282	L522	0.531902929994757	0.999724242884966	0	0
283	L523	0.138074066848108	0.471479712573691	0	0
284	L524	0.950314369485057	0.999724242884966	0	0
285	L525	NA	NA	0	0
286	L526	0.91199554338343	0.999724242884966	0	0
287	L527	4.18420124745595e-26	7.62103573121536e-25	1	2
288	L528	0.0209309313224087	0.095999963747703	0	0
289	L529	0.646501749761751	0.999724242884966	0	0
290	L530	0.000224359172339318	0.00138488986805257	1	1
291	L531	1.8372876585096e-81	2.45574695032791e-79	1	2
292	L533	0.325081725824857	0.831229500100467	0	0
293	L534	NA	NA	0	0
294	L535	0.018953594114292	0.0880581955427642	0	0
295	L536	0.425702039474397	0.946270773686469	0	0
296	L537	0.453721064902525	0.972794017116339	0	0
297	L538	0.811698579105755	0.999724242884966	0	0
298	L539	NA	NA	0	0
299	L540	0.922208471886546	0.999724242884966	0	0
300	L541	0.427784112680202	0.94871432570915	0	0
301	L542	NA	NA	0	0
302	L545	NA	NA	0	0
303	L546	0.651717844333862	0.999724242884966	0	0
304	L547	4.42933712186196e-27	8.35658651785814e-26	1	2
305	L548	0.822211676176311	0.999724242884966	0	0
306	L549	0.437597267001918	0.958497915901536	0	0
307	L550	0.747336183789191	0.999724242884966	0	0
308	L551	0.781136199799254	0.999724242884966	0	0
309	L552	NA	NA	0	0
310	L554	0.508759333145662	0.999724242884966	0	0
311	L556	NA	NA	0	0
312	L557	0.509919421123638	0.999724242884966	0	0
313	L558	0.605255959916751	0.999724242884966	0	0
314	L560	0.628947970182682	0.999724242884966	0	0
315	L561	NA	NA	0	0
316	L562	0.579195777618412	0.999724242884966	0	0
317	L563	NA	NA	0	0
318	L565	NA	NA	0	0
319	L566	0.00158808427854947	0.0087269299253876	1	1
320	L567	NA	NA	0	0
321	L568	0.892312023640803	0.999724242884966	0	0
322	L569	6.33910830268876e-28	1.22727961969382e-26	1	2
323	L570	0.701542480282198	0.999724242884966	0	0
324	L571	1.02336321533869e-21	1.47262602316564e-20	1	2
325	L572	NA	NA	0	0
326	L573	0.361655967950681	0.880192464333782	0	0
327	L574	NA	NA	0	0
328	L575	0.98382113515962	0.999724242884966	0	0
329	L576	0.822617320671962	0.999724242884966	0	0
330	L577	0.941887104251677	0.999724242884966	0	0
331	L578	1.57505747556817e-23	2.58190553730872e-22	1	2
332	L579	NA	NA	0	0
333	L581	2.01707880469925e-45	6.73367172150898e-44	1	2
334	L582	0.958614804276549	0.999724242884966	0	0
335	L584	0.874857754865297	0.999724242884966	0	0
336	L585	0.0718338759733203	0.281091189936362	0	0
337	L586	0.00739029235688319	0.037356718543477	1	1
338	L588	0.94903001411208	0.999724242884966	0	0
339	L591	0.0446161144721928	0.186089679565248	0	0
340	L592	0.792439856505089	0.999724242884966	0	0
341	L593	0.00302201230672046	0.0160197805149784	1	1
342	L594	0.000561033935926763	0.00326419744539207	1	1
343	L595	0.544340679687438	0.999724242884966	0	0
344	L596	1.20515475067271e-18	1.44718513805729e-17	1	2
345	L597	0.701133510336065	0.999724242884966	0	0
346	L598	NA	NA	0	0
347	L599	0.0470552971791212	0.194765305390206	0	0
348	L600	0.839959523246268	0.999724242884966	0	0
349	L601	NA	NA	0	0
350	L602	0.504757472128628	0.999724242884966	0	0
351	L604	0.643174013806365	0.999724242884966	0	0
352	L605	0.0126241491823823	0.0612216623480533	0	0
353	L606	NA	NA	0	0
354	L607	0.489494878990603	0.996587006380037	0	0
355	L608	0.747306449976917	0.999724242884966	0	0
356	L609	1.51352816529872e-16	1.66449781014118e-15	1	2
357	L610	0.715638427463993	0.999724242884966	0	0
358	L611	NA	NA	0	0
359	L612	5.24779814436347e-11	4.49259794950363e-10	1	2
360	L613	0.889733783457805	0.999724242884966	0	0
361	L614	4.98843830795811e-52	1.99033533958852e-50	1	2
362	L615	2.20696977696398e-89	5.9454739293839e-87	1	2
363	L616	0.000860450949818563	0.00488521343050068	1	1
364	L617	0.101386638352728	0.371587055055265	0	0
365	L618	0.225328921579426	0.664288317163913	0	0
366	L619	0.345740129662072	0.859048848329214	0	0
367	L620	0.910386562036915	0.999724242884966	0	0
368	L621	0.311172040289274	0.810308380704726	0	0
369	L622	0.667863259776272	0.999724242884966	0	0
370	L623	0.141686706434715	0.481037165105433	0	0
371	L624	0.562312876115396	0.999724242884966	0	0
372	L625	0.000108328312047229	0.000695221699033294	1	2
373	L626	0.410464296261616	0.932712399572094	0	0
374	L627	0.105888223019388	0.384782765162835	0	0
375	L628	NA	NA	0	0
376	L629	0.776206670709837	0.999724242884966	0	0
377	L630	0.225104998771201	0.663871884622984	0	0
378	L632	1.48078470163734e-09	1.20178024173986e-08	1	2
379	L633	0.0232548258188074	0.105228086830103	0	0
380	L634	4.08188366759238e-05	0.00026952996620971	1	2
381	L635	0.00391571043040248	0.0204752887266547	1	2
382	L636	NA	NA	0	0
383	L637	0.432052360545982	0.952919701043472	0	0
384	L638	0.190649818716255	0.593201047544748	0	0
385	L639	0.980276273384153	0.999724242884966	0	0
386	L640	0.636273115948752	0.999724242884966	0	0
387	L641	NA	NA	0	0
388	L643	NA	NA	0	0
389	L644	NA	NA	0	0
390	L646	0.449052033258584	0.969825135777908	0	0
391	L647	0.358368462847079	0.876030416269477	0	0
392	L648	NA	NA	0	0
393	L649	0.143303800730866	0.484397790389947	0	0
394	L652	NA	NA	0	0
395	L653	0.942951730194335	0.999724242884966	0	0
396	L654	0.494690609874657	0.998286282699268	0	0
397	L655	NA	NA	0	0
398	L656	0.697139291288432	0.999724242884966	0	0
399	L657	0.834909650112086	0.999724242884966	0	0
400	L658	0.601861675930786	0.999724242884966	0	0
401	L659	NA	NA	0	0
402	L660	NA	NA	0	0
403	L661	NA	NA	0	0
404	L662	NA	NA	0	0
405	L663	0.613055298656597	0.999724242884966	0	0
406	L664	0.526952748752347	0.999724242884966	0	0
407	L665	4.22329767587923e-08	3.24851794670551e-07	1	2
408	L666	0.923564649408523	0.999724242884966	0	0
409	L668	0.960708675973854	0.999724242884966	0	0
410	L669	0.738399084604059	0.999724242884966	0	0
411	L670	NA	NA	0	0
412	L671	0.771741482586089	0.999724242884966	0	0
413	L672	4.32835943937188e-23	6.93495376842101e-22	1	2
414	L673	NA	NA	0	0
415	L674	0.904001476270035	0.999724242884966	0	0
416	L675	0.0268421968689666	0.119408605426309	0	0
417	L676	0.171837513263285	0.551148801192956	0	0
418	L678	0.397233064099952	0.919267726150464	0	0
419	L679	0.583664707941912	0.999724242884966	0	0
420	L680	4.6394335699027e-23	7.42993527286906e-22	1	2
421	L681	0.347420234241222	0.861166047100639	0	0
422	L682	0.705365915297063	0.999724242884966	0	0
423	L684	NA	NA	0	0
424	L685	0.997233647417229	0.999724242884966	0	0
425	L687	0.36517122471288	0.884782151657395	0	0
426	L688	0.914402134791089	0.999724242884966	0	0
427	L689	0.698909255943631	0.999724242884966	0	0
428	L690	NA	NA	0	0
429	L691	0.992282082953484	0.999724242884966	0	0
430	L692	1.30998162185924e-54	5.6763692422509e-53	1	2
431	L693	0.695734644444223	0.999724242884966	0	0
432	L694	0.55929761972922	0.999724242884966	0	0
433	L695	0.506682858106315	0.999724242884966	0	0
434	L697	0.249607387378823	0.710212190503604	0	0
435	L699	0.278976497042982	0.76098832223216	0	0
436	L700	0.952840424126529	0.999724242884966	0	0
437	L701	0.952872887908047	0.999724242884966	0	0
438	L702	0.79161563203884	0.999724242884966	0	0
439	L703	6.83007442806434e-36	1.71378156335085e-34	1	2
440	L704	0.0322172586740235	0.140109394749051	0	0
441	L706	0.55578937572916	0.999724242884966	0	0
442	L707	0.45657119449413	0.976295972868571	0	0
443	L708	1.07717480223299e-35	2.68729208379045e-34	1	2
444	L709	0.792203319041798	0.999724242884966	0	0
445	L710	0.14596872351563	0.491255576178111	0	0
446	L711	0.959218586821675	0.999724242884966	0	0
447	L713	0.739899312593231	0.999724242884966	0	0
448	L714	0.22395097262121	0.661537588271926	0	0
449	L715	0.00027977542435177	0.00170335591224119	1	2
450	L716	0.721116911868094	0.999724242884966	0	0
451	L717	0.252540175740835	0.715120245195847	0	0
452	L719	0.196602860799721	0.6057041328468	0	0
453	L720	0.632551746366437	0.999724242884966	0	0
454	L721	3.91944259746315e-28	7.64357290387426e-27	1	2
455	L722	0.892205023856082	0.999724242884966	0	0
456	L723	0.247060653701324	0.705133732354464	0	0
457	L724	NA	NA	0	0
458	L725	0.476640938159887	0.989903343840877	0	0
459	L726	0.99033420807981	0.999724242884966	0	0
460	L727	NA	NA	0	0
461	L728	0.959944590644514	0.999724242884966	0	0
462	L729	NA	NA	0	0
463	L730	0.662146984214745	0.999724242884966	0	0
464	L731	0.522032752080252	0.999724242884966	0	0
465	L732	0.747755088442896	0.999724242884966	0	0
466	L734	0.847059159334098	0.999724242884966	0	0
467	L735	0.957680440084518	0.999724242884966	0	0
468	L736	0.556627447317249	0.999724242884966	0	0
469	L737	NA	NA	0	0
470	L738	0.454016146070683	0.973206932627793	0	0
471	L739	NA	NA	0	0
472	L740	0.201176376410058	0.616176775445656	0	0
473	L741	0.606760605425638	0.999724242884966	0	0
474	L742	6.49278022678971e-09	5.15506279281234e-08	1	2
475	L743	NA	NA	0	0
476	L744	4.06506796213002e-56	1.85636323022263e-54	1	2
477	L745	NA	NA	0	0
478	L746	0.393620139233344	0.916547349232602	0	0
479	L747	0.000846090162838896	0.00481154071984574	1	1
480	L748	0.308232477065638	0.806477981572291	0	0
481	L749	0.440858559927479	0.961537457801095	0	0
482	L750	0.0240305664179721	0.1082169553139	0	0
483	L751	0.940981780319279	0.999724242884966	0	0
484	L752	NA	NA	0	0
485	L753	0.851314533190037	0.999724242884966	0	0
486	L754	0.000207618712369538	0.00128911300558624	1	1
487	L755	0.88927174404115	0.999724242884966	0	0
488	L756	0.495362021012024	0.998484110627101	0	0
489	L757	0.724186440744752	0.999724242884966	0	0
490	L758	0.768043345595044	0.999724242884966	0	0
491	L759	0.951166635772357	0.999724242884966	0	0
492	L760	NA	NA	0	0
493	L761	0.11496470754458	0.410485309420451	0	0
494	L762	NA	NA	0	0
495	L763	0.292320519298089	0.78083956084913	0	0
496	L764	NA	NA	0	0
497	L765	0.85961613162258	0.999724242884966	0	0
498	L766	0.175348453718244	0.559209825054273	0	0
499	L767	0.584440037748471	0.999724242884966	0	0
500	L768	0.549763296299757	0.999724242884966	0	0
501	L769	0.947062719006456	0.999724242884966	0	0
502	L770	0.704479855426534	0.999724242884966	0	0
503	L771	0.343291267866877	0.856481494962372	0	0
504	L772	0.545538612999233	0.999724242884966	0	0
