locus_p	pvalues_p	_q	Comp.1_outl	never_outl	efs1
L6	0.695124037397291	0.999019844983242	0	0	0.0164675732126604
L7	0.0928374430945661	0.974520875039925	0	0	-0.0477534222872093
L8	0.866500378881519	0.999260389225606	0	0	-0.00849971866036979
L9	0.127278815008861	0.997307328883371	0	0	-0.0780153212627743
L11	0.742960042255696	0.999019844983242	0	0	-0.0109365147776289
L12	0.891833003367585	0.999260389225606	0	0	0.00602510564610409
L17	0.98032789958433	0.999260389225606	0	0	0.000689148124013347
L25	0.230081913305476	0.997307328883371	0	0	0.0269017106443465
L26	0.696561849857126	0.999019844983242	0	0	0.0138623877638853
L29	0.0294317238919814	0.835569183833594	0	0	0.0479581484635265
L31	0.284910305676636	0.997307328883371	0	0	0.0371926130146501
L37	0.697656324657423	0.999019844983242	0	0	-0.0217621459416755
L41	0.120802247676966	0.997307328883371	0	0	-0.0426678307211402
L44	0.855771849453619	0.999260389225606	0	0	0.00600603936520456
L47	0.96091438392443	0.999260389225606	0	0	0.00174058113811043
L49	0.032195406003317	0.844527818170772	0	0	0.100434727281549
L53	0.362099105838489	0.997307328883371	0	0	0.0687514263450044
L54	0.980610979818316	0.999260389225606	0	0	0.00127015666381449
L55	0.413298828892594	0.997307328883371	0	0	-0.0262122231448555
L57	0.010346789107993	0.649409198198148	0	0	-0.0898382277713154
L59	0.991827309420878	0.999260389225606	0	0	0.000502824806962152
L64	0.539032858070105	0.997307328883371	0	0	0.0327186933876467
L72	0.194491090862638	0.997307328883371	0	0	-0.0541260664133022
L73	0.106670018253826	0.992636713228211	0	0	-0.0626865003104762
L80	0.835560339620271	0.999260389225606	0	0	0.00765380788403518
L82	0.469792811353229	0.997307328883371	0	0	-0.0256734163153707
L83	0.979574607247129	0.999260389225606	0	0	0.0013134942109338
L86	0.934437166667474	0.999260389225606	0	0	-0.00193107292195404
L88	0.131914325666949	0.997307328883371	0	0	-0.0427174883039042
L91	0.656680884541907	0.998190750915127	0	0	-0.0157150625461845
L92	0.027346644442295	0.819098721150102	0	0	-0.0593981688138751
L94	0.810136025354051	0.999260389225606	0	0	-0.0100972826138912
L97	0.542449070561321	0.997307328883371	0	0	-0.018839058092859
L98	0.747310459207993	0.999019844983242	0	0	0.0169558479350389
L99	0.993625773201355	0.999260389225606	0	0	-0.000311651941422357
L100	0.521506717958165	0.997307328883371	0	0	-0.021712841176357
L103	0.195948019622197	0.997307328883371	0	0	-0.0553222464986612
L109	0.550551162132558	0.997307328883371	0	0	0.0223104186817008
L111	0.711947801411141	0.999019844983242	0	0	0.0123079745489646
L115	0.726635799674254	0.999019844983242	0	0	-0.021058586129037
L116	0.396074920779914	0.997307328883371	0	0	-0.0344407574987966
L117	0.80199409034598	0.999260389225606	0	0	-0.0118959833935658
L118	0.678711981159533	0.99877990475628	0	0	0.0186303827527502
L123	0.297042075202403	0.997307328883371	0	0	0.0471622309417702
L128	0.57205684110656	0.998190750915127	0	0	-0.0240389649247823
L129	0.543182256766966	0.997307328883371	0	0	-0.0246537040360506
L130	0.00870693186316389	0.618785448841092	0	0	0.0591074895835932
L131	0.139790533285033	0.997307328883371	0	0	0.0429182048059304
L140	0.914626233376338	0.999260389225606	0	0	-0.00470193549108371
L144	0.371567713454645	0.997307328883371	0	0	-0.044001192764813
L151	0.614632838361871	0.998190750915127	0	0	-0.0273307984542434
L153	0.0356631310166009	0.861095331664618	0	0	0.099220607058286
L154	0.467636264101383	0.997307328883371	0	0	0.0447869205544181
L157	0.119574344904696	0.997131573918348	0	0	-0.0652256035095448
L159	0.539938774449067	0.997307328883371	0	0	-0.0281477667361102
L164	0.361799150026781	0.997307328883371	0	0	-0.0511078176059966
L165	0.632029586960951	0.998190750915127	0	0	0.0121447462822705
L169	0.346396996565825	0.997307328883371	0	0	-0.0377142511360155
L171	0.323830385626288	0.997307328883371	0	0	0.0582898320234305
L176	0.978570055678256	0.999260389225606	0	0	-0.000894915725209525
L177	0.583287687807644	0.998190750915127	0	0	0.0210876351077404
L178	0.250540956768002	0.997307328883371	0	0	-0.0402514956473651
L183	0.460507875008863	0.997307328883371	0	0	-0.0275267623587831
L185	0.842203311551174	0.999260389225606	0	0	-0.0076402068172718
L188	0.371380114283746	0.997307328883371	0	0	-0.0377653942256132
L190	0.41767596919576	0.997307328883371	0	0	-0.0198783623555993
L193	0.352843007412212	0.997307328883371	0	0	-0.0465909777103995
L194	0.655478068390449	0.998190750915127	0	0	-0.024853697083315
L196	0.697360774847953	0.999019844983242	0	0	0.0165288674478776
L198	0.145374728605541	0.997307328883371	0	0	-0.0451607773760875
L199	0.791653423823674	0.999260389225606	0	0	-0.010501777078406
L201	0.813491009227613	0.999260389225606	0	0	0.00832398378264837
L205	0.477770841441919	0.997307328883371	0	0	-0.0234265578495931
L207	0.26251807211232	0.997307328883371	0	0	0.041622245512607
L209	0.441662153810938	0.997307328883371	0	0	-0.0301624663538082
L211	0.822448121340218	0.999260389225606	0	0	0.00962519532361127
L214	0.849813287192473	0.999260389225606	0	0	-0.00771433668230685
L217	0.703462000916391	0.999019844983242	0	0	-0.0192942553670936
L219	0.395890759080211	0.997307328883371	0	0	-0.0364421968421241
L221	0.800075747440814	0.999260389225606	0	0	0.0106143018272292
L222	0.361008001458624	0.997307328883371	0	0	0.0378806633573216
L224	0.602727245212236	0.998190750915127	0	0	-0.0226545965676707
L226	0.765027968170762	0.999019844983242	0	0	-0.00977365083174398
L227	0.473152939200453	0.997307328883371	0	0	0.0618895348489027
L231	0.239907681932101	0.997307328883371	0	0	-0.0435394216543386
L232	0.960065726001607	0.999260389225606	0	0	-0.00200434510019815
L233	0.178564130947121	0.997307328883371	0	0	-0.0491106021753915
L236	0.675362824230448	0.99877990475628	0	0	0.0155390180905948
L237	0.917175938051018	0.999260389225606	0	0	-0.00435378114756167
L238	0.55336296614285	0.997307328883371	0	0	0.0220109982060131
L240	0.714251901963498	0.999019844983242	0	0	0.0141773347793483
L245	0.2673203155969	0.997307328883371	0	0	-0.0516714846576646
L248	0.447862958993699	0.997307328883371	0	0	0.0350140568306322
L253	0.459910417115057	0.997307328883371	0	0	-0.0315944955714714
L254	0.689925562179055	0.999019844983242	0	0	0.0170399462785078
L256	0.591163967334215	0.998190750915127	0	0	0.0233509745044168
L260	0.497933849551365	0.997307328883371	0	0	-0.0343241884987262
L264	0.680695944052456	0.99877990475628	0	0	-0.0191237020906039
L265	0.589259909762951	0.998190750915127	0	0	-0.0212873992284451
L270	0.120647690944469	0.997307328883371	0	0	-0.0478238147989622
L274	0.478784020124248	0.997307328883371	0	0	-0.0282306684979071
L275	0.868829578600118	0.999260389225606	0	0	-0.00755981224373561
L276	0.964400794492379	0.999260389225606	0	0	-0.00184517421345527
L278	0.602915290062853	0.998190750915127	0	0	-0.0251699756366975
L279	0.127811113719961	0.997307328883371	0	0	0.0860891710215576
L280	0.228151631063098	0.997307328883371	0	0	-0.0536046793279132
L282	0.950096401525704	0.999260389225606	0	0	-0.00267611203073974
L283	0.277128287118239	0.997307328883371	0	0	-0.0443884713068244
L284	0.368550489460848	0.997307328883371	0	0	0.0465431422346514
L287	0.664738997412096	0.998190750915127	0	0	-0.0177094437985282
L288	0.658275460617993	0.998190750915127	0	0	0.0190640062777835
L292	0.0300901215166965	0.836307825000745	0	0	0.0753720107917375
L293	0.651079987805438	0.998190750915127	0	0	0.0144960709389361
L294	0.341576296325044	0.997307328883371	0	0	0.0758812046887424
L298	0.682832396419717	0.99877990475628	0	0	-0.0170961460536536
L300	0.75624878078683	0.999019844983242	0	0	0.0168047618928432
L301	0.0663785043387991	0.937396963348152	0	0	-0.0600779890885528
L302	0.472125520856823	0.997307328883371	0	0	-0.0341997431968979
L304	0.473152939200453	0.997307328883371	0	0	0.0618895348489027
L307	0.080483055087394	0.964958811934737	0	0	0.0701127774476301
L308	0.269276182256841	0.997307328883371	0	0	0.0418313675558801
L309	0.571137002911823	0.998190750915127	0	0	0.0207008177643966
L310	0.608183251009089	0.998190750915127	0	0	0.0201307680245169
L311	0.141224191680494	0.997307328883371	0	0	-0.043990274721611
L314	0.47105299377342	0.997307328883371	0	0	0.0317165725769706
L316	0.549978811869946	0.997307328883371	0	0	-0.0228919272541833
L318	0.438470518754705	0.997307328883371	0	0	0.030252711245908
L319	0.11625167586665	0.994919206084188	0	0	0.0471403949782322
L320	0.89529047908449	0.999260389225606	0	0	0.00678451535388273
L321	0.250108720968428	0.997307328883371	0	0	-0.0293351082394015
L322	0.646218315524435	0.998190750915127	0	0	-0.0150826830653182
L325	0.962950844532915	0.999260389225606	0	0	-0.00178563051184598
L326	0.848025066145768	0.999260389225606	0	0	0.00700559056868708
L327	0.0109219676947875	0.651620536131799	0	0	0.0589350113536484
L328	0.1264445187089	0.997307328883371	0	0	-0.0511965594539643
L329	0.82785678218154	0.999260389225606	0	0	0.00841088378065609
L331	0.768318824792805	0.999019844983242	0	0	-0.0113830055814468
L334	0.662966175117522	0.998190750915127	0	0	0.0224502198196208
L336	0.369965615786896	0.997307328883371	0	0	0.0251574997374567
L339	0.654708513906111	0.998190750915127	0	0	0.0190840252036503
L340	0.610631656213949	0.998190750915127	0	0	0.0228027087151049
L343	0.547337898809716	0.997307328883371	0	0	0.0404870692058335
L350	0.316170490238748	0.997307328883371	0	0	0.0387243403931614
L352	0.463757936953522	0.997307328883371	0	0	-0.0250649444843547
L353	0.664860493585434	0.998190750915127	0	0	-0.0242860305381661
L354	0.469634854027349	0.997307328883371	0	0	-0.0321296922211903
L356	0.555960320453963	0.997307328883371	0	0	0.0494693311144015
L357	0.819265246823093	0.999260389225606	0	0	-0.00914053384314416
L358	0.557314006935765	0.997307328883371	0	0	0.0381988249587449
L360	0.68884583775572	0.999019844983242	0	0	-0.0188548867566562
L363	0.507360299369593	0.997307328883371	0	0	0.0251797742989998
L366	0.972018768641076	0.999260389225606	0	0	-0.00115065794539726
L367	0.545062872965865	0.997307328883371	0	0	-0.0198130698013622
L369	0.975189708178474	0.999260389225606	0	0	-0.00135823649395118
L372	0.292704041591837	0.997307328883371	0	0	0.0353449988639244
L376	0.95648818471856	0.999260389225606	0	0	0.00272875978155393
L377	0.500228182538606	0.997307328883371	0	0	-0.0274482578618838
L379	0.96167990676885	0.999260389225606	0	0	-0.00136078276337778
L382	0.414552400626435	0.997307328883371	0	0	-0.0427436946673048
L383	0.156936243793207	0.997307328883371	0	0	-0.0497503899393631
L384	0.644497705423347	0.998190750915127	0	0	-0.0212282663726593
L385	0.547235897233771	0.997307328883371	0	0	-0.0311378330316624
L389	0.776437096474652	0.999260389225606	0	0	0.0112742002131617
L390	0.343218504021673	0.997307328883371	0	0	-0.032782827464086
L393	0.400982543160548	0.997307328883371	0	0	0.0471224551779327
L394	0.679531919463299	0.99877990475628	0	0	-0.015121927815082
L395	0.934788515750435	0.999260389225606	0	0	-0.00514607632295498
L396	0.918192227061826	0.999260389225606	0	0	0.0050576134882674
L397	0.670117144503036	0.998326473555182	0	0	-0.0125306197549266
L398	0.970084956987844	0.999260389225606	0	0	-0.00182476936805758
L399	0.335917889259246	0.997307328883371	0	0	0.0400893778141791
L400	0.404497741485721	0.997307328883371	0	0	0.0273010301195026
L401	0.162056480393074	0.997307328883371	0	0	-0.0382435986601369
L405	0.979080223793556	0.999260389225606	0	0	-0.00104116896027808
L407	0.136579663128385	0.997307328883371	0	0	-0.0676062022510432
